Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
SAFRA - PRUDENCIAL;1000080109;b1;S2;I;2;SAO PAULO;SP;44440;2728090;124773;551697;1115865;294260;108096;4922782;-2890919;-371631;-103998;0;-39116;-3405664;1517118;482446;151061;-826156;-909767;-138261;361701;975204;-797039;-700810;816308;11602;827910;-234857;0;593053;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;I;3;SAO PAULO;SP;44440;50539;0;907939;2001410;224562;0;3184450;-260412;-2540776;0;0;4340;-2796847;387603;326039;460;-251093;-103832;-36438;0;128272;-22443;40965;428568;0;428568;-202858;-7316;218394;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;I;1;PORTO ALEGRE;RS;44440;1439817;2134;563734;278153;57078;106569;2447485;-1071750;-132439;-1560;0;-47961;-1253710;1193776;184445;213058;-484712;-435674;-103694;54245;254393;-667566;-985506;208270;-10241;198029;-11141;-30286;156602;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44440;1611672;0;191333;65662;549824;0;2418490;-58878;-2020105;0;0;169257;-1909727;508763;24897;812;-69526;-54478;-18645;0;1724;-2119;-117336;391427;205;391632;-199768;-5907;185956;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;I;2;SAO PAULO;SP;44440;1191566;198594;167108;723668;30697;0;2311633;-689245;-641215;-153839;0;-132522;-1616821;694812;40463;33516;-142289;-200492;-56271;14172;195009;-44120;-160012;534800;7247;542047;-166355;-40976;334717;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;I;3;SAO PAULO;SP;44440;521292;14115;705176;699874;44012;45769;2030238;-640553;-730246;-12855;0;6389;-1377264;652974;355387;12985;-281305;-168381;-57452;0;313974;-156314;18893;671867;965;672832;-310050;-42014;320767;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;I;3;SAO PAULO;SP;44440;1076907;0;349524;37209;211308;0;1674947;-329202;-1368496;0;0;-33155;-1730852;-55905;102352;6901;-73066;-48353;-22886;0;359056;-109531;214473;158568;556;159124;31731;-39165;151691;0
BMG - PRUDENCIAL;1000080178;b1;S3;I;2;SAO PAULO;SP;44440;1360158;0;219455;10271;17898;0;1607783;-595537;-7783;0;0;-245529;-848849;758934;17102;3374;-72812;-463086;-32160;53936;242173;-479948;-731421;27513;-65;27448;119070;-24921;121598;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;I;2;SAO PAULO;SP;44440;999765;0;193739;388534;0;22805;1604843;-420252;-3051;0;-25168;-637849;-1086320;518523;894970;91674;-406939;-714056;-235280;1407;770603;-866801;-464421;54101;0;54101;-97943;-3172;-47014;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;I;3;SAO PAULO;SP;44440;233979;0;7659;1133406;115453;0;1490497;-173591;-1169613;0;0;32142;-1311062;179435;360272;0;-178863;-80216;-43300;26848;457938;-379092;163587;343022;951;343973;-155976;0;187997;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;I;3;SAO PAULO;SP;44440;373948;0;166078;525292;353997;0;1419315;-281391;-588007;0;0;47920;-821478;597837;123724;24259;-163222;-185405;-32763;1479;101549;-324890;-455271;142567;5;142571;-67610;-6458;68504;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44440;689754;0;634168;-916;56176;4141;1383322;-174775;-381008;0;0;-82427;-638210;745112;505433;31838;-583118;-396259;-99045;0;610403;-299480;-230228;514884;10494;525378;-322068;-11843;191467;0
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;I;2;PORTO ALEGRE;RS;44440;756187;0;321686;229638;33529;33292;1374332;-638399;-444489;0;0;-10143;-1093032;281300;98796;1417;-27657;-325325;-18056;1840;140915;-48492;-176562;104738;-4;104734;-72242;-2195;30297;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;I;2;RIO DE JANEIRO;RJ;44440;133475;0;815344;339304;0;0;1288124;-751587;-3358;-618;-96230;-10356;-862149;425975;1047814;378661;-519604;-1172381;-134206;2224;863846;-95572;370781;796756;-15;796741;67256;-926340;-62344;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;I;3;SAO PAULO;SP;44440;125885;0;95069;169885;653111;0;1043951;-9268;-595465;0;0;243;-604490;439461;9461;42;-27280;-20408;-6491;0;7925;-375435;-412186;27274;-5;27269;-22492;-729;4048;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;I;2;SAO PAULO;SP;44440;1034361;0;-7930;0;0;0;1026431;-73134;0;0;0;0;-73134;953297;1809367;0;-167743;-595171;-206488;-424;177710;-1510227;-492976;460321;-1349;458973;-91883;-65933;301157;0
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;I;2;SAO PAULO;SP;44440;831778;0;145613;12146;19005;0;1008543;-226325;-169566;0;0;-193197;-589088;419455;234623;19821;-261473;-408821;-62660;-19530;71601;-270274;-696713;-277259;11033;-266226;18448;-17808;-265585;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;I;2;BRASILIA;DF;44440;388487;0;523081;-738;2666;14983;928479;-682709;-37094;0;0;-13835;-733638;194841;340776;24;-45204;-139419;-49183;10102;144873;-338125;-76155;118686;-9181;109505;-51558;-2880;55067;0
BRB - PRUDENCIAL;1000080288;b1;S3;I;1;BRASILIA;DF;44440;797838;0;89705;0;0;6024;893567;-251203;-10431;0;-199;-80377;-342209;551358;42869;52440;-266957;-163258;-38414;26759;57963;-133036;-421634;129724;229270;358994;-142346;-13942;202706;0
CCB - PRUDENCIAL;1000080295;b1;S3;I;3;SAO PAULO;SP;44440;376998;8176;80094;159339;137215;2;761823;-246323;-396272;-6563;0;15972;-633186;128637;10031;1026;-48433;-25956;-5939;-203;36593;-57397;-90277;38360;1064;39425;-22645;0;16779;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;I;3;SAO PAULO;SP;44440;732303;12572;19429;-6471;0;0;757834;-239463;-69185;-10554;0;-123650;-442852;314982;42672;31272;-1125;-86764;-31894;0;72460;-233370;-206749;108233;4576;112809;-73685;0;39124;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;I;2;BELO HORIZONTE;MG;44440;646704;0;31323;17820;10709;1027;707583;-106752;-129;0;0;-83908;-190789;516794;14957;46756;-130901;-197271;-32713;17224;65589;-235955;-452314;64480;13623;78103;-30747;-7213;40143;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44440;700556;0;5859;0;0;0;706415;-20049;0;0;0;-450913;-470961;235454;183999;146839;-42271;-257538;-55630;22132;16914;-124519;-110075;125378;0;125378;-62603;0;62776;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;I;3;SAO PAULO;SP;44440;17282;0;267063;68247;334661;0;687253;-108284;-206693;0;0;712;-314265;372988;366343;1968;-218392;-60320;-37858;0;37934;-152926;-63252;309736;0;309736;-151369;0;158367;0
ALFA - PRUDENCIAL;1000080570;b1;S3;I;2;SAO PAULO;SP;44440;308451;60725;55718;203054;54455;0;682403;-215318;-139917;-48389;0;-18247;-421871;260532;28227;12388;-73101;-34137;-13936;2479;33641;-147957;-192397;68136;41;68176;-27992;-3915;36269;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S4;I;2;SAO PAULO;SP;44440;437146;0;72090;122531;12413;0;644180;-185181;0;0;0;-179143;-364324;279856;71872;5623;-99402;-332332;-21215;-17090;41706;-179468;-530306;-250450;0;-250450;107481;-1305;-144273;0
INTER - PRUDENCIAL;1000080996;b1;S3;I;2;BELO HORIZONTE;MG;44440;359730;0;264923;-7141;1203;0;618713;-149324;-3212;0;0;-120944;-273481;345233;129168;5527;-112347;-254219;-29790;31890;49599;-157607;-337779;7454;1726;9179;21846;0;31025;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;I;1;VITORIA;ES;44440;247490;2186;341244;0;440;7221;598581;-338374;-526;-2166;0;-45458;-386524;212057;36802;50541;-92035;-74883;-19343;6121;12412;-28877;-109261;102796;-15;102781;-37061;-5711;60009;0
OMNI - PRUDENCIAL;1000080460;b1;S4;I;2;SAO PAULO;SP;44440;567464;2359;15798;30;0;0;585651;-84688;-3642;-1378;0;-122907;-212616;373036;33330;32904;-26866;-174874;-19774;3035;17964;-238711;-372993;43;-117;-74;10167;0;10093;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;I;3;SAO PAULO;SP;44440;20445;62050;74079;396219;0;0;552794;-9997;-380465;-34347;-42567;12100;-455275;97518;32372;31;-19990;-21737;-5061;0;10119;-51040;-55306;42212;22;42234;-31734;0;10500;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;I;3;SALVADOR;BA;44440;154467;0;178822;177679;40380;0;551347;-147230;-383385;0;0;-5519;-536135;15212;26101;10921;-42723;-18194;-6419;0;314429;-227603;56511;71724;0;71724;-22563;-6233;42928;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;I;2;SAO PAULO;SP;44440;458926;0;57170;0;271;0;516367;-111;0;0;0;-171161;-171271;345096;1244;10212;-6701;-290508;-31268;0;58434;-10121;-268708;76388;3505;79893;4034;-290;83638;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;I;2;CAMPINAS;SP;44440;485022;0;11251;5821;0;0;502094;-114213;0;0;0;-106529;-220742;281352;11543;8868;-26127;-341968;-21149;12583;1912;-11133;-365471;-84120;50;-84070;44406;-2600;-42264;0
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;44440;482536;0;9391;0;26;0;491952;-15624;0;0;0;-125699;-141323;350629;23767;49084;-9510;-135051;-11310;-301;21118;-273958;-336161;14468;2;14470;-6970;0;7500;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44440;434605;0;48445;0;3512;3211;489774;-106066;-1777;0;0;-3610;-111452;378321;7790;28410;-135822;-119145;-20826;0;13045;-8145;-234692;143629;1161;144790;-62980;-10057;71754;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44440;231835;3489;14762;204724;0;0;454809;-53543;-180484;-2646;0;-15979;-252652;202157;241;14083;-19986;-78792;-11234;0;14853;-6737;-87572;114586;-643;113942;-50717;-7632;55593;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;44440;1279;448333;133;0;0;0;449745;-41824;0;-373856;0;824;-414856;34888;0;0;0;-14447;-1658;0;301;-3150;-18953;15935;988;16923;-7241;0;9682;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44440;105219;0;92690;169868;78384;0;446160;-29469;-239193;0;0;-12064;-280726;165435;5855;0;-18494;-6966;-5528;0;76457;-166915;-115591;49843;0;49843;-25224;0;24619;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;I;3;SAO PAULO;SP;44440;97712;0;60897;150195;121910;0;430713;-23299;-320078;0;0;-266;-343644;87070;14858;2;-21325;-15129;-4157;0;35615;-5536;4328;91398;3;91401;-32071;-1133;58198;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44440;102297;0;20538;172404;104331;0;399570;-27997;-312603;0;0;667;-339932;59638;6235;142;-30168;-26526;-3135;0;8167;-585;-45870;13768;5;13773;-7293;0;6480;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44440;203032;0;187773;0;6575;0;397379;-50115;-151716;0;0;-65530;-267361;130018;127977;48274;-144694;-55489;-32317;0;306156;-89892;160015;290032;634;290666;-168878;0;121787;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;I;2;SAO PAULO;SP;44440;385192;0;8296;0;0;0;393488;-46702;0;0;0;-210566;-257268;136220;290432;66106;-39113;-223663;-50837;0;24320;-118953;-51708;84511;3187;87699;-28669;-4308;54722;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;44440;329210;0;44189;7843;0;0;381242;-258;-191167;0;0;-18849;-210274;170968;6727;0;-53011;-13335;-8312;0;6831;-8143;-69242;101726;2125;103851;-44261;-3997;55593;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;I;3;SAO PAULO;SP;44440;345263;24485;5399;1462;0;0;376609;-146465;-46607;-18363;0;1928;-209508;167100;0;5658;-23678;-30395;-9026;0;8746;-11280;-59974;107126;-2465;104661;-51866;0;52795;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44440;327806;0;22633;0;78;0;350517;-34822;0;0;0;-17503;-52325;298192;94429;33104;-19010;-152215;-25850;0;5821;-168890;-232611;65581;750;66331;-36614;-507;29211;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;I;3;SAO PAULO;SP;44440;4482;0;-54458;392798;0;0;342822;-114030;-12937;0;-2242;1311;-127898;214924;177810;0;-228513;-72140;-31257;0;9060;-64842;-209882;5042;0;5042;-9004;0;-3962;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;I;2;CURITIBA;PR;44440;272273;0;58930;-705;0;0;330498;-132591;0;0;0;-69564;-202155;128343;1089;65;-23663;-75132;-9071;-100;2764;-2649;-106698;21645;63;21708;-1580;-4599;15529;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;44440;25268;0;84792;124508;95410;0;329979;-54251;-228628;0;0;1019;-281860;48119;10353;6;-11464;-9713;-2671;-169;777;-1155;-14036;34083;0;34083;-15410;-222;18451;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44440;185414;94623;1143;45044;0;0;326224;-1615;-151634;-77495;0;-6359;-237103;89121;10;429;-17266;-20993;-5655;1456;14514;-6399;-33903;55218;77;55294;-26670;0;28624;0
GM - PRUDENCIAL;1000080848;b2;S3;I;3;SAO PAULO;SP;44440;305718;6187;10797;0;0;0;322702;-80376;0;-5508;0;-76385;-162269;160433;58102;6347;-40691;-74804;-30005;10392;34800;-16300;-52159;108274;2498;110772;-15070;-7571;88132;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44440;284310;0;37440;0;0;0;321750;-60559;-4692;0;0;-97696;-162947;158803;35202;14280;-43061;-75878;-231;0;682;-21058;-90063;68739;66;68805;0;-5348;63457;0
HONDA - PRUDENCIAL;1000080611;b2;S4;I;3;SAO PAULO;SP;44440;195027;0;21263;104966;0;0;321256;-26855;-88311;0;0;-25568;-140734;180521;321159;17716;-8447;-307555;-57387;0;34108;-8936;-9341;171180;-1111;170069;-73042;0;97026;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S4;I;2;RIO DE JANEIRO;RJ;44440;426713;0;-174100;28745;39357;0;320715;-166434;-460;0;0;-21651;-188545;132170;2994;131;-20019;-109947;-7595;2011;10808;-4329;-125946;6225;-497;5727;-1092;-3462;1173;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44440;170887;0;38130;103309;7623;0;319949;-19553;-180582;0;0;111922;-88213;231736;3686;5431;-30858;-12348;-5471;0;6647;-21788;-54702;177033;-795;176238;-82052;-3504;90682;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44440;314852;5411;6926;-7273;0;0;319916;-72285;-82271;-4638;0;2971;-156223;163693;2410;57;-12908;-21902;-6760;0;22129;-2896;-19869;143824;710;144534;-72547;-1526;70461;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;I;2;SAO PAULO;SP;44440;193540;0;38442;30903;17518;0;280403;-95213;-72960;0;0;-15234;-183407;96996;955;12628;-33708;-35209;-6649;6500;11685;-6957;-50754;46242;40035;86277;-26137;-9555;50585;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44440;264664;0;6479;0;0;0;271142;-10432;-1035;0;0;-147384;-158851;112291;36309;48393;-12589;-80217;-19024;0;1895;-43297;-68530;43761;-45;43716;-13846;0;29870;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44440;262989;0;7670;0;0;0;270660;-13229;-155333;0;0;-22663;-191225;79435;1617;238;-10263;-7166;-4539;0;853;-404;-19664;59770;768;60538;-33922;-1762;24853;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;I;3;SAO PAULO;SP;44440;12126;0;57648;47676;145701;0;263150;-68184;-91894;0;0;0;-160078;103072;262893;0;-113181;-80942;-20737;0;26217;-29538;44712;147785;0;147785;-112630;-2002;33152;0
PINE - PRUDENCIAL;1000080374;b1;S3;I;2;SAO PAULO;SP;44440;129551;0;116925;-56511;66549;0;256514;-210539;-4920;0;0;10005;-205454;51059;6374;2702;-22981;-27221;-1456;246;35119;-40077;-47293;3766;7159;10925;-3403;-4710;2812;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;44440;356;241608;0;0;0;0;241964;0;-13763;-195252;0;744;-208270;33694;0;0;0;-7185;-5380;0;1033;-280;-11811;21883;2235;24117;-11337;0;12780;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;I;2;SAO PAULO;SP;44440;100093;0;119772;14630;4554;0;239048;-196769;-39770;0;0;-2404;-238943;106;6038;3061;-30942;-20941;-1575;408;35998;-7573;-15527;-15421;1229;-14193;9364;-6000;-10829;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;44440;94398;0;7840;49265;72524;0;224028;-162;-205144;0;0;-3140;-208446;15582;0;0;-2598;-1727;-824;0;107;-1277;-6319;9263;0;9263;-4646;0;4617;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;I;2;SAO PAULO;SP;44440;115939;0;11658;16513;76188;0;220298;-50869;-97702;0;0;-7055;-155626;64672;3123;2340;-22322;-10939;-4773;501;587;-3390;-34871;29801;594;30395;-13066;0;17329;0
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;I;2;RIO DE JANEIRO;RJ;44440;14672;0;128728;14113;61918;0;219431;-44904;-26;0;0;-1087;-46017;173414;118778;25;-45238;-75740;-19478;101;3680;-28907;-46779;126636;256;126891;-34765;-16756;75370;0
ING - PRUDENCIAL;1000080501;b1;S3;I;3;SAO PAULO;SP;44440;2754;0;28277;60656;123521;0;215208;-2235;-197901;0;0;71604;-128533;86676;11029;0;-13571;-11410;-1366;0;6374;-2224;-11168;75507;0;75507;-36597;-590;38320;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44440;157739;0;56427;0;0;0;214166;-56000;-6513;0;0;-12120;-74633;139533;14594;625;-36272;-35097;-1237;0;9310;-14742;-62818;76715;-5830;70885;-2920;-2843;65122;0
INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL;1000084057;b1;S4;I;3;SAO PAULO;SP;44440;16654;0;14856;56501;119869;0;207880;-168;-187849;0;0;-360;-188377;19503;1951;0;-5967;-2838;-1201;0;2106;-1729;-7677;11826;0;11826;-4143;-219;7464;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;I;3;CURITIBA;PR;44440;188577;2050;2361;0;0;0;192988;-16211;-93635;-1484;0;-9042;-120371;72617;35246;2852;-12813;-40300;-8991;589;5245;-5214;-23389;49228;-81;49147;-1955;-819;46372;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44440;27093;0;24006;40245;97507;0;188850;-50021;-54380;0;0;-1972;-106373;82477;26182;47;-37850;-20200;-3042;0;27036;-91872;-99699;-17221;18;-17203;7147;-1813;-11869;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;I;1;ARACAJU;SE;44440;145087;0;38935;0;0;3623;187645;-54778;-3665;0;0;-22459;-80903;106742;17761;16815;-46634;-49093;-9224;1529;11595;-13634;-70885;35857;-1476;34381;-10730;-1850;21801;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;I;3;SAO PAULO;SP;44440;78471;42668;1;60267;0;0;181408;-5138;-96515;-29121;0;-2680;-133454;47954;6413;1112;-12423;-8232;-3126;0;3407;-868;-13716;34238;475;34713;-19593;0;15120;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44440;96095;0;69219;0;0;15669;180983;-90054;0;0;0;-40;-90094;90889;0;1764;-25944;-7353;-3802;0;1341;-2849;-36842;54046;179;54225;0;0;54225;0
BMW - PRUDENCIAL;1000080635;n1;S4;I;3;SAO PAULO;SP;44440;73141;77;1755;97032;0;0;172005;-2606;-147621;-71;0;-2560;-152858;19148;0;2646;-4270;-7601;-177;0;61524;-28791;23330;42477;0;42477;-19113;0;23364;0
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;44440;153670;0;8497;0;0;0;162166;-10351;0;0;-16;-82688;-93054;69112;32876;4444;-16845;-74713;-11550;0;21588;-48562;-92762;-23650;132;-23518;12575;-4514;-15457;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;I;3;SAO BERNARDO DO CAMPO;SP;44440;145658;5837;1053;0;0;0;152548;-30635;-54648;-4921;0;-6883;-97086;55462;39782;1700;-10239;-24064;-3273;126;917;-1586;3364;58825;0;58825;-26560;-153;32112;0
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;S4;I;3;SAO PAULO;SP;44440;130497;0;20875;0;0;0;151372;-62939;0;0;0;-43614;-106553;44819;17117;18147;-8401;-39102;-6574;0;663;-9594;-27744;17075;6;17081;3112;0;20192;0
YAMAHA MOTOR - PRUDENCIAL;1000080721;b2;S4;I;3;GUARULHOS;SP;44440;101046;0;2779;47436;0;0;151261;-13951;-28137;0;0;-22934;-65022;86239;32309;10286;-13793;-67653;-9194;0;39196;-11119;-19967;66273;-134;66139;-31346;0;34792;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44440;131921;0;19220;0;0;7;151148;-36146;-5421;0;0;-28071;-69639;81509;11987;9862;-28314;-25561;-764;0;9687;-8846;-31949;49561;-859;48702;-633;-3337;44732;-4215
