Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;I;1;BRASILIA;DF;44440;1959470213;745401380;1822459745;1551411782;137010468;4634106;167786026;0,1934;0,148;3988;719
ITAU - PRUDENCIAL;1000080099;b1;S1;I;2;SAO PAULO;SP;44440;1935715336;768483906;1785602454;1330043047;150112883;5982861;161098702;0,1471;0,1758;2904;958
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;I;1;BRASILIA;DF;44440;1485966190;845013915;1409426772;1223556036;76539418;2832540;123031986;0,2077;0,1285;3377;895
BRADESCO - PRUDENCIAL;1000080075;b1;S1;I;2;OSASCO;SP;44440;1448810802;580194074;1301190429;1042575018;147620373;6653244;141772638;0,1518;0,2942;3112;1388
SANTANDER - PRUDENCIAL;1000080185;b1;S1;I;3;SAO PAULO;SP;44440;983517695;447470397;899622991;694928033;83894703;4445068;85679408;0,143;0,1571;2609;1953
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;44440;724573230;298895433;605505614;211633753;119067616;11254526;182208695;0,3747;0,0647;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;I;2;RIO DE JANEIRO;RJ;44440;366008028;96561392;328138811;263173293;37869217;1743180;36249231;0,1606;0,3099;39;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;I;2;SAO PAULO;SP;44440;238333042;101729739;223172843;191310586;15160199;593053;21114446;0,1423;0,3292;120;4
CITIBANK - PRUDENCIAL;1000080192;b1;S2;I;3;SAO PAULO;SP;44440;137400578;25476698;126673850;70825673;10726728;320767;10517740;0,1698;0,0254;57;8
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;I;2;SAO PAULO;SP;44440;120368338;65154349;108264802;84832872;12103535;377770;12359250;0,1566;0,178;9;29
BANRISUL - PRUDENCIAL;1000080154;b1;S2;I;1;PORTO ALEGRE;RS;44440;101668567;38701792;92919417;77735865;8749150;156602;6831201;0,1446;0,1141;520;127
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;I;3;SAO PAULO;SP;44440;101198589;4303514;94563630;61886757;6634959;218394;6620902;0,1405;0,0116;9;0
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;I;2;PORTO ALEGRE;RS;44440;98206707;16479631;95702310;88750811;2504397;30297;2091621;0,132;0,0479;7;0
CIELO - PRUDENCIAL;1000084710;n4;;I;2;BARUERI;SP;44440;89516718;61234;76610976;3997643;12905741;266827;NA;NA%;NA%;1;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;I;2;RIO DE JANEIRO;RJ;44440;88188534;10547461;83517954;62966349;4670579;-62344;3683130;0,1525;0,0482;6;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;I;2;BRASILIA;DF;44440;81968792;14700756;79752476;67663567;2216316;55067;2209701;0,1386;0,1269;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;I;3;SAO PAULO;SP;44440;80024865;14777281;75528334;23862454;4496531;68504;5032889;0,1355;0,018;7;0
