Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;I;2;SAO PAULO;SP;44440;123546874;17862281;141409155;19689547;161098702;986308670;2871039;969649;11842837;6688812;22372337;86511960;1095192968;1969517470;0,1128;0,1291;0,1471;0,0718;0,1758
BRADESCO - PRUDENCIAL;1000080075;b1;S1;I;2;OSASCO;SP;44440;118453119;9948242;128401361;13371277;141772638;846972061;5839020;117975;8846362;622044;15425401;71593740;933991202;1557582773;0,1268;0,1375;0,1518;0,0824;0,2942
BB - PRUDENCIAL;1000080329;b1;S1;I;1;BRASILIA;DF;44440;114254702;29256775;143511477;24274549;167786026;741373273;8015149;1388691;10093018;0;19496857;106641670;867511800;1993635894;0,1317;0,1654;0,1934;0,072;0,148
SANTANDER - PRUDENCIAL;1000080185;b1;S1;I;3;SAO PAULO;SP;44440;71722200;6993690;78715890;6963518;85679408;519781587;4320697;1370689;11789389;3351077;20831851;58499845;599113284;972995818;0,1197;0,1314;0,143;0,0809;0,1571
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;I;1;BRASILIA;DF;44440;95238812;1713241;96952053;26079933;123031986;508297626;472952;0;6084805;78252;6636010;77401972;592335607;1588140275;0,1608;0,1637;0,2077;0,061;0,1285
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;44440;140065508;0;140065508;42143187;182208695;398493182;28485322;0;306831;0;28792152;59045601;486330935;807278048;0,288;0,288;0,3747;0,1735;0,0647
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;I;2;RIO DE JANEIRO;RJ;44440;32157332;381912;32539244;3709987;36249231;183481648;588329;8033065;12111101;4357129;25089625;17193881;225765154;445589123;0,1424;0,1441;0,1606;0,073;0,3099
SAFRA - PRUDENCIAL;1000080109;b1;S2;I;2;SAO PAULO;SP;44440;14814506;3248872;18063377;3051069;21114446;130990615;320050;0;8308766;833358;9462175;7968997;148421787;257903681;0,0998;0,1217;0,1423;0,07;0,3292
