Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;I;1;BRASILIA;DF;44440;21790686;634068921;309279201;675332927;-41892412;633440515;65294;291926;101261;-3009;455472;238297653;87268531;34970495;1959571474;101261;1959470213
ITAU - PRUDENCIAL;1000080099;b1;S1;I;2;SAO PAULO;SP;44440;42125310;239502359;519406934;663425371;-39994600;623430771;8430458;447259;157521;-243553;8791685;299961847;156019947;46634006;1935872857;157521;1935715336
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;I;1;BRASILIA;DF;44440;12141055;170578044;286780271;834968472;-36740834;798227638;0;0;0;0;0;89542894;109038687;19657600;1485966190;0;1485966190
BRADESCO - PRUDENCIAL;1000080075;b1;S1;I;2;OSASCO;SP;44440;27305290;106464737;428611579;491754484;-41726362;450028123;29154;4546801;1487401;-63180;6000176;264473259;103652089;63762950;1450298203;1487401;1448810802
SANTANDER - PRUDENCIAL;1000080185;b1;S1;I;3;SAO PAULO;SP;44440;15343853;49299674;254702070;373604776;-25218754;348386022;5185;4666548;2105868;-29025;6748577;186328489;105237977;19576900;985623563;2105868;983517695
BNDES - PRUDENCIAL;1000081847;b4;S2;I;1;RIO DE JANEIRO;RJ;44440;2915;77169216;166199681;296766601;-18574791;278191810;0;0;0;0;0;30227839;160193667;12588103;724573230;0;724573230
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;I;2;RIO DE JANEIRO;RJ;44440;2862435;54504950;149090442;88649890;-2936509;85713381;0;0;0;0;0;48008609;11529422;14298789;366008028;0;366008028
SAFRA - PRUDENCIAL;1000080109;b1;S2;I;2;SAO PAULO;SP;44440;1384659;6629729;93384156;84543135;-3210335;81332800;3968;1308004;449901;-6906;1754967;22173006;24966927;7156701;238782943;449901;238333042
CITIBANK - PRUDENCIAL;1000080192;b1;S2;I;3;SAO PAULO;SP;44440;1870241;30012699;43347170;12152404;-105470;12046934;-147;43843;17073;-237;60533;42724448;6917042;438584;137417650;17073;137400578
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;I;2;SAO PAULO;SP;44440;257789;6975162;39469048;57064120;-3904048;53160072;11;67421;5355;-307;72480;15459015;2094517;2885610;120373693;5355;120368338
BANRISUL - PRUDENCIAL;1000080154;b1;S2;I;1;PORTO ALEGRE;RS;44440;1669781;8799128;36859471;35969497;-2544149;33425348;56;42401;27612;-5238;64831;7734832;11597128;1545658;101696179;27612;101668567
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;I;3;SAO PAULO;SP;44440;60914;39922979;35840239;3009630;-140074;2869556;0;0;0;0;0;22364384;62006;78510;101198589;0;101198589
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;I;2;PORTO ALEGRE;RS;44440;567180;4068983;31567948;16198636;-21195;16177441;0;0;0;0;0;5363161;40361636;100357;98206707;0;98206707
CIELO - PRUDENCIAL;1000084710;n4;;I;2;BARUERI;SP;44440;172089;178847;5093051;61234;-36599;24635;0;0;0;0;0;4639246;68681542;10727309;89516718;0;89516718
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;I;2;RIO DE JANEIRO;RJ;44440;1263907;7905888;57261299;8621009;-3523;8617486;0;0;0;0;0;9396764;3072624;670567;88188534;0;88188534
BANCOOB - PRUDENCIAL;1000080879;b1;S3;I;2;BRASILIA;DF;44440;35585;22519080;19345342;7657837;-138357;7519480;0;0;0;0;0;7703007;24558608;287690;81968792;0;81968792
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;I;3;SAO PAULO;SP;44440;295058;3903065;20694418;8890823;-521653;8369170;0;0;0;0;0;46370220;222819;170116;80024865;0;80024865
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;I;2;SAO PAULO;SP;44440;269762;6728548;33477324;7222843;-680921;6541922;0;0;0;0;0;21621790;3229792;1566251;73435390;0;73435390
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44440;159331;5596943;34819437;14471052;-775414;13695638;0;0;0;0;0;4952533;1057572;254184;60535639;0;60535639
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;I;2;SAO PAULO;SP;44440;302465;4642145;9990477;26996674;-1477948;25518726;44875;1770850;264096;-15650;2064170;14200154;328446;1044252;58090835;264096;57826739
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;I;3;SAO PAULO;SP;44440;1710865;5352270;13649938;18485174;-363474;18121700;0;0;0;0;0;9804360;327990;111648;49078770;0;49078770
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44440;220838;4610031;5482114;22437858;-1076426;21361432;0;0;0;0;0;14228268;70992;46752;46020427;0;46020427
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;I;3;SAO PAULO;SP;44440;480120;14321862;10948002;11931194;-55106;11876088;0;0;0;0;0;6812219;6497;972449;45417237;0;45417237
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;I;3;SAO PAULO;SP;44440;16934;4570831;4287274;1695712;-51739;1643974;0;0;0;0;0;31821357;3140;20529;42364039;0;42364039
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;I;3;SAO PAULO;SP;44440;114719;16521770;16136342;1011288;-831;1010457;0;0;0;0;0;4580994;293395;35970;38693646;0;38693646
BANESTES - PRUDENCIAL;1000080147;b1;S3;I;1;VITORIA;ES;44440;444853;10306144;15233292;5744955;-276216;5468739;0;2012;1686;-2;3696;966368;1007425;337399;33767917;1686;33766231
INTER - PRUDENCIAL;1000080996;b1;S3;I;2;BELO HORIZONTE;MG;44440;354227;1404362;13193972;9915008;-340240;9574768;0;0;0;0;0;5632640;2605549;612513;33378031;0;33378031
BMG - PRUDENCIAL;1000080178;b1;S3;I;2;SAO PAULO;SP;44440;542078;19357;11022705;14820268;-766687;14053582;0;0;0;0;0;5522261;398644;1527179;33085806;0;33085806
BRB - PRUDENCIAL;1000080288;b1;S3;I;1;BRASILIA;DF;44440;167389;261209;5146682;19649224;-424791;19224432;0;0;0;0;0;2789655;878634;372396;28840399;0;28840399
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;I;2;SAO PAULO;SP;44440;84552;1261614;3186541;1872202;-1022054;850148;0;51;0;0;51;841392;19400547;2010350;27635193;0;27635193
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;I;3;SAO PAULO;SP;44440;1340158;1676827;20731608;63029;0;63029;0;0;0;0;0;3673366;2416;13788;27501192;0;27501192
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44440;69803;2421637;3066428;1677414;-3961;1673452;0;0;0;0;0;20091247;18055;29264;27369887;0;27369887
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;I;2;SAO PAULO;SP;44440;60182;313696;1121103;66743;-6551;60191;0;0;0;0;0;2887534;19057343;3471040;26971089;0;26971089
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;I;3;SAO PAULO;SP;44440;401;1223984;278979;21944604;-685785;21258819;177;56893;14402;-9796;61676;3777297;69799;33137;26704093;14402;26689691
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;I;3;SAO PAULO;SP;44440;7531;8403915;9972987;2217066;0;2217066;0;0;0;0;0;5186292;311;93035;25881138;0;25881138
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;I;2;SAO PAULO;SP;44440;80245;3146377;5887730;7741575;-462014;7279561;0;0;0;0;0;4402260;3299829;1023271;25119274;0;25119274
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44440;84615;872649;11637003;9319282;-334721;8984561;0;0;0;0;0;1746993;648192;240375;24214388;0;24214388
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;I;3;SAO PAULO;SP;44440;231797;3807662;1345168;619330;-5618;613712;173;253927;30551;-13315;271336;15034284;1641;3996;21309597;30551;21279046
ALFA - PRUDENCIAL;1000080570;b1;S3;I;2;SAO PAULO;SP;44440;100655;262398;6698729;10140277;-128919;10011357;213;819994;261421;-5634;1075993;2508995;90868;380389;21129386;261421;20867965
BANCO C6 - PRUDENCIAL;1000084844;b1;S4;I;2;SAO PAULO;SP;44440;385864;207390;4637586;8896281;-336521;8559760;0;0;0;0;0;4522211;1052087;327491;19692389;0;19692389
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44440;590489;404033;5683973;677081;-2157;674924;0;0;0;0;0;10479287;1164;73983;17907853;0;17907853
CCB - PRUDENCIAL;1000080295;b1;S3;I;3;SAO PAULO;SP;44440;533315;1534534;4041493;8360809;-272946;8087863;0;93280;22102;-5472;109910;3416292;158044;18333;17899784;22102;17877682
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;44440;1095;853554;2109488;13192460;-331176;12861284;0;0;0;0;0;470208;64377;56096;16416103;0;16416103
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;44440;222846;3022361;3248116;943758;-1360;942398;0;0;0;0;0;8107660;34230;12697;15590309;0;15590309
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;I;3;SAO PAULO;SP;44440;11564;125033;267163;12832632;-570634;12261998;1004;146104;7562;-4689;149982;1939527;17744;10737;14783748;7562;14776186
PINE - PRUDENCIAL;1000080374;b1;S3;I;2;SAO PAULO;SP;44440;279069;78245;8171748;3524986;-218842;3306143;0;0;0;0;0;2409246;368997;147598;14761046;0;14761046
BS2 - PRUDENCIAL;1000080422;b1;S3;I;2;BELO HORIZONTE;MG;44440;324795;952435;1447025;439038;-13198;425840;0;0;0;0;0;920468;9503744;219653;13793959;0;13793959
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;I;2;RIO DE JANEIRO;RJ;44440;439;902039;12151564;0;0;0;0;0;0;0;0;377053;6;340368;13771469;0;13771469
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44440;215563;2955010;1006958;7898320;-172652;7725667;0;0;0;0;0;597533;546004;179970;13226704;0;13226704
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44440;5002;0;368370;3930385;-1302474;2627911;0;0;0;0;0;9256861;97024;843870;13199038;0;13199038
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44440;37212;1076352;76382;9946683;-309637;9637045;27;37436;8330;-134;45659;2254450;19275;8628;13155005;8330;13146674
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;I;2;SAO PAULO;SP;44440;42781;80971;428655;4007765;-555038;3452727;0;0;0;0;0;8522896;33095;1187;12562312;0;12562312
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;I;2;BELO HORIZONTE;MG;44440;1252747;556388;1083689;7892202;-372193;7520009;0;0;0;0;0;995664;234647;421393;12064535;0;12064535
BOCOM - PRUDENCIAL;1000084624;b1;S3;I;3;SALVADOR;BA;44440;216851;444931;3828683;6762326;-43003;6719323;0;0;0;0;0;769029;36624;39287;12054727;0;12054727
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44440;23019;5786673;1482610;1179669;-979;1178690;0;0;0;0;0;3430690;1083;12577;11915342;0;11915342
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;I;2;SAO PAULO;SP;44440;84271;34054;3668145;3278173;-43187;3234986;0;0;0;0;0;2677363;1650942;38201;11387962;0;11387962
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;44440;29749;2180152;4715726;1029900;-2187;1027712;0;0;0;0;0;3094429;2293;23912;11073974;0;11073974
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44440;2;2981199;2401401;2817492;-38827;2778665;0;0;0;0;0;81491;2720554;22140;10985451;0;10985451
MERCADOPAGO PRUDENCIAL;1000084820;n1;S4;I;2;OSASCO;SP;44440;308323;129401;5007043;63547;-21321;42225;0;0;0;0;0;1194502;3878829;376510;10936834;0;10936834
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44440;13677;6398359;3482306;189477;-947;188530;0;0;0;0;0;38886;67614;455678;10645051;0;10645051
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44440;5529;7548891;2713537;2239;-11;2227;0;0;0;0;0;928;2484;163990;10437587;0;10437587
