Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44440;2987525;1021314;2688352;5756690;0;2252367;14706249;2310582;0;0;13949;0;0;13949;2517323;19548103;916;33672864;53221884;186102;7127653;60535639
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;I;2;SAO PAULO;SP;44440;1400080;0;769318;13735214;0;17295;15921907;3539066;1531106;2352336;10194864;2589678;0;16667984;8466654;44595612;154363;7617835;52367810;116086;5342842;57826739
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;I;3;SAO PAULO;SP;44440;345276;0;531948;8000002;0;0;8877226;1085669;1245847;3251419;7646388;0;7202;12150857;11985081;34098832;2589422;7814644;44502898;20180;4555692;49078770
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44440;89819;0;0;1093052;0;0;1182872;1126244;209271;1221722;231645;0;0;1662638;24679370;28651123;1745073;10947798;41343995;0;4676432;46020427
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;I;3;SAO PAULO;SP;44440;19910;0;0;3312074;0;480299;3812284;7665084;0;0;132773;0;1962047;2094820;10874992;24447180;3815399;10893575;39156154;68798;6192286;45417237
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;I;3;SAO PAULO;SP;44440;34833;0;0;447655;0;0;482489;294344;0;0;3445;0;0;3445;7771331;8551609;869073;30574806;39995488;879;2367672;42364039
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;I;3;SAO PAULO;SP;44440;1273131;0;161166;13042062;0;0;14476360;2831598;0;0;0;0;0;0;119654;17427612;12733415;4888175;35049202;2059;3642384;38693646
BANESTES - PRUDENCIAL;1000080147;b1;S3;I;1;VITORIA;ES;44440;1617535;4185794;84136;12110657;0;7530;18005653;12485063;78516;94589;0;0;0;173105;21859;30685679;0;1237739;31923418;5050;1837763;33766231
INTER - PRUDENCIAL;1000080996;b1;S3;I;2;BELO HORIZONTE;MG;44440;9227381;1138085;291480;6627123;0;0;17284069;610389;3085618;0;7702;0;0;3093320;25509;21013286;81359;3880386;24975031;29;8402970;33378031
BMG - PRUDENCIAL;1000080178;b1;S3;I;2;SAO PAULO;SP;44440;105844;0;81820;16730463;100290;0;17018417;7000537;38781;91356;1190127;0;0;1320264;509239;25848456;140725;2962425;28951606;0;4134200;33085806
BRB - PRUDENCIAL;1000080288;b1;S3;I;1;BRASILIA;DF;44440;1199975;2675312;683421;14645859;21018;3100;19228685;1470527;564071;28114;726986;0;0;1319171;799193;22817576;0;3514418;26331994;28220;2480185;28840399
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;I;2;SAO PAULO;SP;44440;0;0;0;0;988680;0;988680;0;0;0;0;0;0;0;1246563;2235243;92;18764721;21000056;0;6635137;27635193
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;I;3;SAO PAULO;SP;44440;0;0;145375;5140535;0;0;5285910;2776992;0;0;0;0;195167;195167;847338;9105407;12030434;4120641;25256482;0;2244710;27501192
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44440;106941;0;0;2139114;0;0;2246054;163286;0;0;0;0;0;0;3584035;5993375;889010;19168647;26051033;705;1318149;27369887
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;I;2;SAO PAULO;SP;44440;0;0;0;6714257;412335;0;7126592;0;0;0;0;0;0;0;0;7126592;0;10554843;17681434;200984;9088670;26971089
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;I;3;SAO PAULO;SP;44440;0;0;1547353;9121011;0;0;10668363;0;0;0;7347521;0;0;7347521;1035420;19051304;55;4741283;23792641;116674;2780375;26689691
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;I;3;SAO PAULO;SP;44440;0;0;0;2686461;0;0;2686461;0;0;0;0;0;3742333;3742333;114044;6542837;6113919;8991342;21648098;0;4233040;25881138
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;I;2;SAO PAULO;SP;44440;637707;0;1090561;8996189;4799113;0;15523570;3341;2322604;2196515;522935;0;61953;5104006;0;20630917;12773;1802766;22446456;3350;2669467;25119274
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44440;2421175;814270;97395;1715249;0;1578185;6626275;249981;0;253546;0;0;0;253546;772765;7902567;0;13454213;21356780;0;2857608;24214388
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;I;3;SAO PAULO;SP;44440;19933;0;0;53602;0;0;73534;11512;0;0;0;0;0;0;4778405;4863452;786928;14057124;19707504;3540;1568002;21279046
ALFA - PRUDENCIAL;1000080570;b1;S3;I;2;SAO PAULO;SP;44440;73140;0;817175;4016140;0;0;4906455;2088779;19650;967833;7216481;0;35936;8239899;1965914;17201047;304563;696989;18202599;14666;2650699;20867965
BANCO C6 - PRUDENCIAL;1000084844;b1;S4;I;2;SAO PAULO;SP;44440;1974374;0;0;10003561;274124;0;12252059;1350000;13306;0;349051;0;0;362358;0;13964416;18;3649370;17613803;20317;2058269;19692389
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44440;42233;0;311154;3438659;0;0;3792046;880803;0;0;0;0;0;0;436858;5109707;2514840;9238853;16863399;2789;1041665;17907853
CCB - PRUDENCIAL;1000080295;b1;S3;I;3;SAO PAULO;SP;44440;115246;2931;51217;4822946;0;0;4992340;3039964;1284;307012;256957;544040;0;1109293;4729922;13871519;43623;2836489;16751631;9816;1116235;17877682
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;I;1;PORTO ALEGRE;RS;44440;0;0;0;30380;0;0;30380;0;0;0;0;0;0;0;11860009;11890389;2261;1232684;13125334;2325;3288443;16416103
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;44440;568309;0;0;2824613;0;0;3392922;19999;0;0;0;0;0;0;2322328;5735249;1118195;7106929;13960373;7775;1622161;15590309
