Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE PRAIA GRANDE E REGIÃO - SICOOB COOPERACE;9639338;b3S;I;2;PRAIA GRANDE;SP;44440;Não;Sim;Sim;34914;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.;10143499;b3S;I;2;JATAI;GO;44440;Não;Sim;Sim;78011;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC;10143743;b3S;I;2;GUARAMIRIM;SC;44440;Não;Sim;Sim;132644;NI;;S5
COOPERATIVA DE CRéDITO MúTUO DE LIVRE ADMISSãO DA REGIãO ADMINISTRATIVA DE SOROCABA – SICOOB COOPERASO;10175348;b3S;I;2;SOROCABA;SP;44440;Não;Sim;Sim;54902;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.;10209619;b3S;I;2;GOIANIA;GO;44440;Não;Sim;Sim;406073;NI;;S5
COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA;10218474;b3S;I;2;SAO BENTO DO SUL;SC;44440;Não;Sim;Sim;430560;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;10262276;b3S;I;2;PRESIDENTE PRUDENTE;SP;44440;Não;Sim;Sim;541540;NI;;S5
COOPERATIVA DE CRÉDITO DA REGIÃO DO SUDOESTE DO PARANÁ - EVOLUA;10311218;b3S;I;2;FRANCISCO BELTRAO;PR;44440;Não;Sim;Sim;421201;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS;10319386;b3S;I;2;DOURADOS;MS;44440;Não;Sim;Sim;137521;NI;;S5
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE POUSO REDONDO - CRESOL POUSO REDONDO;10453077;b3S;I;2;POUSO REDONDO;SC;44440;Não;Sim;Sim;88660;NI;;S5
COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE RONDÔNIA - CRESOL RONDÔNIA;10520232;b3S;I;2;JI-PARANA;RO;44440;Não;Sim;Sim;285005;NI;;S5
COOPERATIVA DE CRÉDITO DE SERVIDORES DA UESC - UESCOOP;10548608;b3S;I;2;ILHEUS;BA;44440;Não;Sim;Sim;1056;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICA E MATERIAL ELÉTRICO DE SÃO LEOPOLDO E REGIÃO - COOPERMETAL;10719496;b3S;I;2;SAO LEOPOLDO;RS;44440;Não;Sim;Sim;87;NI;;S5
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM;10808037;b3S;I;2;MANAUS;AM;44440;Não;Sim;Sim;33288;NI;;S5
COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA PERPART, DO IPA E DA ADAGRO - COOPEMATER;11356599;b3S;I;2;RECIFE;PE;44440;Não;Sim;Sim;2934;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA PARAÍBA - SICOOB PARAÍBA;11907520;b3S;I;2;CAMPINA GRANDE;PB;44440;Não;Sim;Sim;627959;NI;;S5
COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DA COSTA OESTE - CRESOL COSTA OESTE;11969853;b3S;I;2;MEDIANEIRA;PR;44440;Não;Sim;Sim;221609;NI;;S5
COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DE ALAGOAS;12272183;b3S;I;2;MACEIO;AL;44440;Não;Sim;Sim;22048;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JARAGUÁ DO SUL E REGIÃO - SICOOB CEJASCRED;12384953;b3S;I;2;JARAGUA DO SUL;SC;44440;Não;Sim;Sim;121023;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA;14046512;b3S;I;2;CHAPADA GAUCHA;MG;44440;Não;Sim;Sim;123824;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPRESÁRIOS, PROFISSIONAIS DO MERCADO IMOBILIÁRIO E DA CMI / SECOVI - SICOOB SECOVICRED MG;14913919;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;147411;NI;;S5
COOPERATIVA DE ECONOMIA E CRéDITO MúTUO DOS APOSENTADOS, PENSIONISTAS E IDOSOS – SICOOB COOPERNAPI;16564240;b3S;I;2;SAO PAULO;SP;44440;Não;Sim;Sim;11349;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE ITABIRA LTDA. - SICOOB COSEMI;16651002;b3S;I;2;ITABIRA;MG;44440;Não;Sim;Sim;9652;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SECRETARIA DE ESTADO DA FAZENDA E ÓRGÃOS OFICIAIS DO ESTADO DE MINAS GERAIS LTDA – SICOOB COOPSEF;16721078;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;245056;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE;16779741;b3S;I;2;IBIRAMA;SC;44440;Não;Sim;Sim;885149;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA AÇO MINAS GERAIS S.A. - AÇOMINAS E EMPRESAS SUBSIDIÁRIAS EM OURO BRANCO LTDA. - COOPAÇO;17314501;b3S;I;2;OURO BRANCO;MG;44440;Não;Sim;Sim;16925;NI;;S5
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA RAIZ – CRESOL RAIZ;17343510;b3S;I;2;FREDERICO WESTPHALEN;RS;44440;Não;Sim;Sim;312467;NI;;S5
COOPERATIVA DE CRÉDITO DA REGIÃO E COLAR METROPOLITANO DO VALE DO AÇO LTDA. - SICOOB COSMIPA;17361536;b3S;I;2;IPATINGA;MG;44440;Não;Sim;Sim;261065;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS PLASCAR;17411307;b3S;I;2;JUNDIAI;SP;44440;Não;Sim;Sim;6353;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CEMIG E DAS INDÚSTRIAS METALÚRGICAS E DE MATERIAL ELÉTRICO E DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JUIZ DE FORA LTDA. - SICOOB CECREMEC;17502881;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;12542;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MOSAIC FERTILIZANTES DE UBERABA - COPERURA LTDA.;17607375;b3S;I;2;UBERABA;MG;44440;Não;Sim;Sim;5351;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CBMM LTDA.;18140913;b3S;I;2;ARAXA;MG;44440;Não;Sim;Sim;27588;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS EM JOÃO MONLEVADE LTDA. - COPREMON;18310649;b3S;I;2;JOAO MONLEVADE;MG;44440;Não;Sim;Sim;15269;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA INDÚSTRIA DE PAPÉIS SUDESTE LTDA . - CREDESTE;18340695;b3S;I;2;JUIZ DE FORA;MG;44440;Não;Sim;Sim;957;NI;;S5
COOPERATIVA DE CRéDITO COPERSUL LTDA - SICOOB COPERSUL;18966739;b3S;I;2;TRES PONTAS;MG;44440;Não;Sim;Sim;247375;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FUNDAÇÃO HOSPITALAR E EMPREGADOS DOS ESTABELECIMENTOS HOSPITALARES DE BELO HORIZONTE, REGIÃO METROPOLITANA E ZONA DA MATA LTDA.- SICOOB CECREF;19402130;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;68062;NI;;S5
COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER;19449602;b3S;I;2;CARATINGA;MG;44440;Não;Sim;Sim;550919;NI;;S5
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DA COMPANHIA INDUSTRIAL CATAGUASES E DA BAUMINAS LTDA. - SICOOB COOPECIC;19495266;b3S;I;2;CATAGUASES;MG;44440;Não;Sim;Sim;4642;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVENTUÁRIOS DA CIMENTO TUPI S.A. E EMPRESAS COLIGADAS LTDA. - TUPICRED;19551787;b3S;I;2;CARANDAI;MG;44440;Não;Sim;Sim;1890;NI;;S5
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO;19869338;b3S;I;2;IPATINGA;MG;44440;Não;Sim;Sim;353801;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DAS EMPRESAS, EMPREGADOS E PRESTADORES DE SERVIÇO DAS METALÚRGICAS, SIDERÚRGICAS E INDUSTRIAIS – SICOOB COPESITA;19875244;b3S;I;2;TIMOTEO;MG;44440;Não;Sim;Sim;68324;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DO GRUPO EMPRESARIAL A COSTA LTDA.;20062766;b3S;I;2;VISCONDE DO RIO BRANCO;MG;44440;Não;Sim;Sim;16379;NI;;S5
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES DO GRUPO EMPRESARIAL ITATIAIA LTDA. - COOPERITA;20177390;b3S;I;2;UBA;MG;44440;Não;Sim;Sim;1366;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA SAMARCO MINERAÇÃO S.A. LTDA - CREDISAM;20622809;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;9844;NI;;S5
COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE TIMÓTEO LTDA. - COOPERTIM;20833976;b3S;I;2;TIMOTEO;MG;44440;Não;Sim;Sim;10962;NI;;S5
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA;20833992;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;770;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA VALE S.A LTDA. – SICOOB CREDIVALE;20961629;b3S;I;2;ITABIRA;MG;44440;Não;Sim;Sim;24632;NI;;S5
COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED;21110927;b3S;I;2;JI-PARANA;RO;44440;Não;Sim;Sim;27695;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA - COOPCREDER;21130869;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;2982;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA., LTDA.;21597133;b3S;I;2;JUIZ DE FORA;MG;44440;Não;Sim;Sim;2346;NI;;S5
