cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/15;1.048.491.372;5.025.562;17.948.894;46.712.301;52.744.501;25.118.911;2.660.123;547.376;150.757.668;710.997;2.061.535;7.141.437;16.478.262;18.717.610;27.966.230;6.259.556;79.335.627;1.361.470;4.474.618;4.823.304;508.516;8.340;0;40.368;11.216.616;634.389;9.692.427;2.901.961;285.440;122.705;69.388;2.474;13.708.784;568.479;7.552.352;18.792.693;6.037.655;1.684.230;2.900.556;3.523;37.539.488;4.374.404;8.271.950;11.167.969;16.035.328;18.546.974;10.874.261;280.665;69.551.551;2.153.662;30.764.366;66.703.590;136.381.469;99.842.213;197.705.746;47.235.264;580.786.309;220.680;2.346.794;9.604.687;3.563.822;2.563.651;4.048.112;16.769;22.364.515;108.259;5.160.601;4.992.530;7.017.409;1.192.480;425.983;481;18.897.744;
1%;1 - Público;dez/15;48,11%;51,29%;27,53%;41,61%;46,96%;63,50%;47,66%;63,98%;43,62%;45,51%;19,47%;28,22%;47,26%;83,21%;94,26%;74,41%;59,69%;32,95%;13,17%;38,99%;46,18%;3,89%;0,00%;24,72%;21,51%;36,59%;13,35%;13,77%;14,63%;10,45%;20,23%;29,42%;13,86%;32,77%;21,69%;30,54%;19,65%;14,40%;54,19%;31,67%;25,74%;51,27%;43,67%;47,60%;57,13%;85,13%;85,91%;21,95%;60,62%;66,36%;68,90%;68,40%;72,71%;83,32%;91,55%;94,47%;80,80%;81,45%;27,95%;29,25%;38,05%;48,98%;82,49%;90,21%;36,64%;33,30%;68,46%;35,93%;32,91%;26,25%;13,21%;4,56%;37,16%;
2;2 - Privado Nacional;dez/15;815.833.857;3.212.519;29.344.696;45.500.501;42.825.173;9.787.793;1.878.750;6.548;132.555.979;602.496;5.219.583;11.422.591;11.639.442;2.303.804;270.196;7.797;31.465.910;2.206.718;22.777.309;4.358.093;201.720;62.475;124.574;4.307;29.735.195;829.636;35.109.067;6.820.863;838.480;475.905;241.965;332;44.316.248;689.477;12.696.480;17.044.633;14.704.572;8.331.364;1.149.783;0;54.616.310;2.708.071;7.298.119;8.444.367;7.546.504;2.233.639;1.444.978;324.779;30.000.458;508.926;9.391.656;19.589.557;33.322.604;14.477.942;15.617.987;2.720.878;95.629.550;29.312;4.478.218;18.215.381;4.649.504;2.168.183;547.596;0;30.088.194;88.596;1.119.007;4.845.383;10.525.526;3.132.727;1.336.995;8.159;21.056.392;
2%;2 - Privado Nacional;dez/15;37,44%;32,79%;45,00%;40,53%;38,13%;24,74%;33,66%;0,77%;38,36%;38,57%;49,29%;45,13%;33,38%;10,24%;0,91%;0,09%;23,68%;53,41%;67,06%;35,23%;18,32%;29,17%;66,57%;2,64%;57,04%;47,85%;48,37%;32,36%;42,97%;40,54%;70,53%;3,95%;44,82%;39,74%;36,47%;27,70%;47,86%;71,21%;21,48%;0,00%;37,44%;31,74%;38,53%;35,99%;26,89%;10,25%;11,42%;25,40%;26,15%;15,68%;21,03%;20,09%;17,76%;12,08%;7,23%;5,44%;13,30%;10,82%;53,33%;55,47%;49,64%;41,43%;11,16%;0,00%;49,30%;27,25%;14,84%;34,88%;49,36%;68,96%;41,47%;77,25%;41,40%;
3;3 - Privado com Controle Estrangeiro;dez/15;314.863.179;1.559.428;17.914.741;20.053.360;16.756.306;4.648.709;1.042.513;301.656;62.276.712;248.714;3.309.265;6.746.513;6.747.591;1.472.264;1.433.149;2.144.726;22.102.221;563.632;6.713.573;3.190.207;390.884;143.369;62.555;118.649;11.182.869;269.871;27.790.220;11.352.875;827.341;575.428;31.699;5.602;40.853.035;476.912;14.563.872;25.690.063;9.982.122;1.683.713;1.302.200;7.601;53.706.482;1.449.457;3.372.674;3.847.929;4.484.774;1.005.401;338.835;673.309;15.172.379;582.914;4.493.139;11.224.491;17.871.141;5.511.560;2.624.346;41.846;42.349.437;20.954;1.572.816;5.018.936;1.153.172;502.119;311.631;1.820;8.581.449;128.226;1.258.957;4.055.641;3.783.170;217.811;1.461.076;1.921;10.906.803;
3%;3 - Privado com Controle Estrangeiro;dez/15;14,45%;15,92%;27,47%;17,86%;14,92%;11,75%;18,68%;35,26%;18,02%;15,92%;31,25%;26,65%;19,35%;6,55%;4,83%;25,50%;16,63%;13,64%;19,77%;25,79%;35,50%;66,94%;33,43%;72,65%;21,45%;15,56%;38,28%;53,87%;42,40%;49,01%;9,24%;66,63%;41,32%;27,49%;41,83%;41,75%;32,49%;14,39%;24,33%;68,33%;36,82%;16,99%;17,80%;16,40%;15,98%;4,61%;2,68%;52,65%;13,23%;17,96%;10,06%;11,51%;9,53%;4,60%;1,22%;0,08%;5,89%;7,73%;18,73%;15,28%;12,31%;9,59%;6,35%;9,79%;14,06%;39,44%;16,70%;29,19%;17,74%;4,79%;45,32%;18,19%;21,44%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;1.687.449.768;9.118.158;60.822.718;105.759.766;106.320.119;38.320.773;5.160.188;854.083;326.355.805;1.394.604;7.967.891;20.179.876;28.767.088;20.887.287;29.235.153;8.393.171;116.825.071;4.049.187;32.469.584;10.725.674;1.052.811;195.095;175.343;159.016;48.826.710;1.510.560;64.903.526;15.193.342;1.389.776;1.165.222;340.025;8.077;84.510.528;1.734.009;34.780.196;61.411.190;30.719.751;11.688.313;5.333.418;6.344;145.673.221;8.411.417;17.955.406;21.850.915;27.057.951;21.538.127;12.564.853;1.261.281;110.639.950;1.896.260;25.751.857;49.809.534;85.542.989;40.702.966;65.943.276;21.627.427;291.274.310;249.986;7.951.045;31.492.975;7.605.789;3.788.790;3.137.777;18.390;54.244.753;325.069;7.538.325;13.800.165;21.323.879;4.542.877;3.223.712;10.561;50.764.588;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;77,43%;93,07%;93,27%;94,20%;94,65%;96,88%;92,45%;99,83%;94,43%;89,27%;75,24%;79,73%;82,51%;92,86%;98,54%;99,78%;87,90%;98,00%;95,60%;86,70%;95,61%;91,09%;93,70%;97,36%;93,65%;87,12%;89,41%;72,09%;71,22%;99,25%;99,12%;96,06%;85,47%;99,95%;99,91%;99,81%;99,99%;99,91%;99,64%;57,03%;99,87%;98,59%;94,79%;93,14%;96,41%;98,86%;99,26%;98,63%;96,44%;58,43%;57,68%;51,08%;45,60%;33,97%;30,54%;43,26%;40,52%;92,26%;94,68%;95,90%;81,20%;72,39%;63,94%;98,93%;88,88%;100,00%;100,00%;99,33%;99,99%;100,00%;99,99%;100,00%;99,81%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;48.431.675;75.550;1.642.658;1.197.830;841.156;137.957;20.906;0;3.916.056;92.485;1.707.643;2.953.802;2.695.044;441.163;3.821;0;7.893.959;0;0;0;0;0;0;0;0;93.420;4.122.709;5.381.452;546.910;7.779;0;0;10.152.270;859;32.508;116.200;4.598;10.994;19.121;4.780;189.059;10.180;371.367;73.971;212.116;14.417;1.104;0;683.155;471.657;2.662.280;6.949.730;11.373.185;3.142.797;551.816;31.259;25.182.724;3.171;19.317;72.458;129.278;69.912;20.667;0;314.803;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;2,22%;0,77%;2,52%;1,07%;0,75%;0,35%;0,37%;0,00%;1,13%;5,92%;16,12%;11,67%;7,73%;1,96%;0,01%;0,00%;5,94%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,39%;5,68%;25,53%;28,03%;0,66%;0,00%;0,00%;10,27%;0,05%;0,09%;0,19%;0,01%;0,09%;0,36%;42,97%;0,13%;0,12%;1,96%;0,32%;0,76%;0,07%;0,01%;0,00%;0,60%;14,53%;5,96%;7,13%;6,06%;2,62%;0,26%;0,06%;3,50%;1,17%;0,23%;0,22%;1,38%;1,34%;0,42%;0,00%;0,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
