cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/15;816.629.613;2.729.194;10.983.497;29.520.974;57.905.832;27.638.659;9.878.616;277.644;138.934.416;1.956.374;5.480.085;12.358.176;14.104.491;4.541.714;1.918.139;405.789;40.764.768;572.991;2.654.357;6.446.099;8.710.688;1.163.465;4.939;24.383;19.576.921;2.226.746;12.286.519;32.524.244;74.283.696;59.217.858;160.433.461;69.764.803;410.737.328;3.743.580;25.778.558;4.679.406;231.641;310;0;318.798;34.752.293;2.629.175;10.622.740;46.815.478;31.948.029;22.121.416;25.248.562;251.224;139.636.625;3.062.992;8.081.015;8.174.051;4.722.415;2.467.832;2.396.781;327.047;29.232.134;2.995.129
1%;1 - Público;dez/15;51,98%;67,36%;45,12%;46,61%;50,76%;53,64%;63,99%;99,60%;50,88%;25,82%;26,70%;37,18%;43,45%;55,05%;73,37%;96,83%;38,79%;15,79%;10,86%;11,26%;12,28%;15,03%;9,14%;91,77%;11,93%;92,61%;84,50%;85,98%;85,70%;85,36%;82,26%;74,34%;82,20%;20,48%;21,83%;13,62%;14,01%;0,20%;0,00%;94,18%;20,10%;77,19%;70,19%;60,99%;67,29%;74,80%;84,91%;99,98%;69,01%;31,86%;29,14%;32,60%;23,75%;31,99%;57,93%;74,76%;30,91%;5,04%
2;2 - Privado Nacional;dez/15;539.044.420;939.159;11.079.447;28.007.786;47.331.162;20.792.386;4.796.129;915;112.946.984;4.460.163;12.238.012;16.211.184;13.325.865;2.600.328;632.027;11.978;49.479.557;2.137.265;13.200.789;30.416.085;37.704.457;4.051.287;35.333;0;87.545.216;123.079;1.077.744;2.462.261;6.349.495;5.862.985;22.184.401;18.166.155;56.226.121;11.194.729;67.781.930;23.863.848;579.704;36.600;5.610;440;103.462.862;410.744;3.610.850;21.232.378;8.929.770;3.947.291;3.023.249;60;41.154.341;4.213.711;14.437.631;9.972.554;9.312.149;2.952.294;1.089.040;104.108;42.081.487;46.147.852
2%;2 - Privado Nacional;dez/15;34,31%;23,18%;45,52%;44,22%;41,49%;40,35%;31,07%;0,33%;41,36%;58,86%;59,62%;48,78%;41,05%;31,52%;24,17%;2,86%;47,09%;58,90%;54,01%;53,13%;53,17%;52,32%;65,35%;0,00%;53,36%;5,12%;7,41%;6,51%;7,33%;8,45%;11,37%;19,36%;11,25%;61,25%;57,40%;69,44%;35,07%;23,56%;15,64%;0,13%;59,83%;12,06%;23,86%;27,66%;18,81%;13,35%;10,17%;0,02%;20,34%;43,82%;52,07%;39,78%;46,84%;38,27%;26,32%;23,80%;44,49%;77,70%
3;3 - Privado com Controle Estrangeiro;dez/15;215.473.273;383.497;2.277.344;5.813.691;8.842.453;3.094.284;763.401;190;21.174.860;1.161.590;2.807.236;4.667.180;5.028.916;1.107.996;64.221;1.312;14.838.451;918.164;8.588.128;20.381.388;24.504.110;2.528.363;13.792;2.187;56.936.132;54.553;1.175.908;2.838.990;6.046.362;4.290.475;12.420.679;5.918.525;32.745.490;3.339.886;24.534.256;5.824.765;841.558;118.468;30.254;19.255;34.708.443;366.309;900.869;8.714.429;6.600.568;3.505.281;1.464.812;0;21.552.267;2.338.375;5.209.251;6.924.945;5.847.818;2.293.639;651.621;6.299;23.271.947;10.245.683
3%;3 - Privado com Controle Estrangeiro;dez/15;13,71%;9,46%;9,36%;9,18%;7,75%;6,01%;4,94%;0,07%;7,75%;15,33%;13,68%;14,04%;15,49%;13,43%;2,46%;0,31%;14,12%;25,30%;35,13%;35,60%;34,55%;32,65%;25,51%;8,23%;34,70%;2,27%;8,09%;7,51%;6,98%;6,18%;6,37%;6,31%;6,55%;18,27%;20,78%;16,95%;50,91%;76,25%;84,36%;5,69%;20,07%;10,75%;5,95%;11,35%;13,90%;11,85%;4,93%;0,00%;10,65%;24,32%;18,79%;27,62%;29,41%;29,73%;15,75%;1,44%;24,60%;17,25%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;1.458.596.061;4.020.363;23.782.588;61.882.842;111.819.528;50.623.302;15.098.168;278.128;267.504.918;4.937.709;15.664.028;26.660.052;27.382.580;6.968.205;2.130.975;407.137;84.150.687;3.237.234;19.948.291;46.322.786;57.834.814;6.344.781;46.806;26.570;133.761.282;2.397.715;14.487.914;37.688.186;86.375.846;69.096.152;194.677.453;93.698.767;498.422.033;16.163.600;109.751.930;31.137.676;1.449.470;148.661;35.862;338.054;159.025.254;3.130.228;12.582.918;61.671.679;39.790.240;25.992.696;27.013.255;251.085;170.432.102;9.010.193;24.435.519;22.040.849;18.742.604;7.384.411;3.920.840;376.705;85.911.121;59.388.664
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/15;92,84%;99,22%;97,71%;97,70%;98,02%;98,25%;97,80%;99,78%;97,97%;65,16%;76,32%;80,21%;84,36%;84,46%;81,51%;97,15%;80,08%;89,22%;81,61%;80,92%;81,55%;81,94%;86,58%;100,00%;81,53%;99,72%;99,64%;99,64%;99,65%;99,60%;99,81%;99,84%;99,74%;88,43%;92,94%;90,60%;87,69%;95,68%;100,00%;99,87%;91,96%;91,90%;83,14%;80,34%;83,81%;87,89%;90,84%;99,92%;84,23%;93,71%;88,13%;87,91%;94,27%;95,73%;94,76%;86,11%;90,83%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;36.713.951;681;8.817;19.118;21.489;2.001;0;0;52.106;2.838;32.342;53.050;42.823;5.140;802;0;136.995;267.660;3.682.369;8.815.443;10.343.051;1.115.420;1.363;0;24.225.306;0;0;0;0;0;0;0;0;925.519;2.703.222;1.258.337;147.360;0;0;0;5.034.438;79.290;220.487;1.807.097;2.920.306;1.555.759;508.043;0;7.090.982;10.595;30.288;62.780;58.022;11.021;1.419;0;174.125;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/15;2,34%;0,02%;0,04%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,16%;0,16%;0,13%;0,06%;0,03%;0,00%;0,13%;7,38%;15,06%;15,40%;14,58%;14,41%;2,52%;0,00%;14,77%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,06%;2,29%;3,66%;8,92%;0,00%;0,00%;0,00%;2,91%;2,33%;1,46%;2,35%;6,15%;5,26%;1,71%;0,00%;3,50%;0,11%;0,11%;0,25%;0,29%;0,14%;0,03%;0,00%;0,18%;0,00%
