cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/20;985.410.916;2.562.490;11.920.696;32.673.263;63.783.911;38.475.392;27.293.223;198.135;176.907.111;1.522.602;5.200.351;12.791.307;14.382.405;6.259.974;3.045.189;417.134;43.618.962;89.016;605.790;1.387.895;1.898.518;415.402;198;93.329;4.490.148;1.441.825;13.918.541;37.344.419;86.792.585;71.210.296;206.708.641;96.653.962;514.070.268;3.557.612;30.403.523;7.251.102;466.980;17.929;16.755;180.451;41.894.353;2.680.456;21.972.055;52.394.410;45.803.556;27.741.910;23.085.538;262.921;173.940.845;2.554.849;8.346.594;7.489.770;4.197.887;2.294.956;2.291.824;235.737;27.411.618;3.077.609
1%;1 - Público;mar/20;46,44%;56,42%;38,07%;38,90%;42,28%;47,43%;60,61%;98,76%;44,56%;21,16%;20,22%;28,83%;32,60%;47,42%;60,77%;92,74%;31,14%;2,77%;2,21%;2,05%;1,96%;2,86%;0,52%;96,00%;2,14%;84,14%;75,84%;74,80%;75,42%;76,60%;79,76%;86,73%;79,25%;14,38%;18,23%;11,70%;7,06%;2,28%;13,21%;99,98%;16,04%;82,53%;54,43%;63,86%;64,36%;69,87%;76,89%;99,77%;65,19%;23,19%;22,45%;23,33%;15,12%;20,80%;34,19%;67,61%;21,73%;4,28%
2;2 - Privado Nacional;mar/20;832.337.825;1.161.867;14.957.467;39.450.789;66.635.488;32.475.793;12.255.516;711;166.937.630;4.743.561;18.847.388;28.201.141;24.559.812;5.352.682;1.617.788;15.791;83.338.163;2.053.339;16.291.738;40.136.014;57.223.426;8.039.058;15.130;2;123.758.706;226.004;3.272.306;9.049.531;20.347.263;15.665.223;37.845.735;10.445.883;96.851.946;16.375.928;104.206.695;43.072.618;4.549.962;529.651;12.881;1;168.747.735;315.052;12.992.561;23.764.818;15.757.581;6.229.161;4.516.158;616;63.575.946;5.921.825;20.822.693;15.321.258;14.404.760;4.141.091;2.205.611;64.081;62.881.318;66.246.381
2%;2 - Privado Nacional;mar/20;39,22%;25,58%;47,77%;46,97%;44,17%;40,03%;27,22%;0,35%;42,05%;65,92%;73,27%;63,56%;55,67%;40,55%;32,29%;3,51%;59,50%;63,82%;59,52%;59,21%;58,94%;55,26%;39,42%;0,00%;58,89%;13,19%;17,83%;18,13%;17,68%;16,85%;14,60%;9,37%;14,93%;66,21%;62,47%;69,52%;68,80%;67,44%;10,16%;0,00%;64,60%;9,70%;32,19%;28,96%;22,14%;15,69%;15,04%;0,23%;23,83%;53,76%;56,01%;47,71%;51,87%;37,53%;32,91%;18,38%;49,84%;92,12%
3;3 - Privado com Controle Estrangeiro;mar/20;304.232.748;817.736;4.434.897;11.862.223;20.428.997;10.168.051;5.481.259;1.782;53.194.946;929.249;1.674.172;3.379.957;5.173.144;1.588.153;347.909;16.874;13.109.458;1.074.842;10.472.723;26.258.766;37.962.006;6.092.084;23.055;3.885;81.887.361;45.725;1.161.884;3.533.315;7.942.399;6.094.302;14.597.169;4.341.429;37.716.224;4.799.540;32.194.022;11.637.231;1.596.673;237.796;97.158;33;50.562.452;252.343;5.400.561;5.888.815;9.602.626;5.735.683;2.420.710;0;29.300.739;2.538.974;8.009.442;9.299.093;9.168.995;4.598.828;2.205.065;48.864;35.869.262;2.592.308
3%;3 - Privado com Controle Estrangeiro;mar/20;14,34%;18,00%;14,16%;14,12%;13,54%;12,53%;12,17%;0,89%;13,40%;12,91%;6,51%;7,62%;11,73%;12,03%;6,94%;3,75%;9,36%;33,41%;38,26%;38,74%;39,10%;41,88%;60,06%;4,00%;38,97%;2,67%;6,33%;7,08%;6,90%;6,56%;5,63%;3,90%;5,81%;19,41%;19,30%;18,78%;24,14%;30,28%;76,63%;0,02%;19,36%;7,77%;13,38%;7,18%;13,49%;14,45%;8,06%;0,00%;10,98%;23,05%;21,54%;28,96%;33,02%;41,68%;32,90%;14,01%;28,43%;3,60%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;1.933.008.416;4.467.740;30.305.486;81.340.245;146.312.286;78.631.727;42.957.702;200.316;384.215.502;5.872.799;19.784.579;34.133.084;34.189.974;10.458.013;3.915.454;434.385;108.788.288;2.857.520;22.859.209;56.477.700;80.799.173;12.359.312;31.524;97.216;175.481.653;1.656.121;18.255.231;49.679.866;114.593.586;92.611.031;258.212.922;111.093.615;646.102.373;19.474.941;141.674.347;52.469.803;5.727.466;777.482;126.793;180.485;220.431.318;2.980.505;28.348.030;64.737.131;58.553.321;34.046.726;27.211.160;263.343;216.140.215;9.626.901;32.344.390;27.710.730;24.628.745;9.688.717;5.599.142;334.145;109.932.769;71.916.298
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;91,09%;98,36%;96,78%;96,85%;96,99%;96,93%;95,40%;99,84%;96,77%;81,62%;76,92%;76,92%;77,50%;79,22%;78,14%;96,57%;77,67%;88,82%;83,52%;83,32%;83,23%;84,96%;82,13%;100,00%;83,51%;96,65%;99,47%;99,50%;99,58%;99,61%;99,64%;99,69%;99,61%;78,74%;84,93%;84,68%;86,60%;98,99%;100,00%;100,00%;84,39%;91,77%;70,23%;78,90%;82,28%;85,75%;90,64%;99,93%;81,01%;87,39%;87,00%;86,30%;88,68%;87,80%;83,54%;95,83%;87,14%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;49.604.755;3.869;45.663;119.693;197.836;79.687;30.819;0;477.567;79.933;109.365;174.580;101.402;13.201;5.069;0;483.551;289.014;3.565.597;8.851.612;12.293.278;1.467.910;2.471;0;26.469.882;1.444;9.497;25.523;46.240;29.961;41.953;2.343;156.961;1.719.001;6.306.184;2.791.500;526.778;15;0;0;11.343.477;27.598;1.730.542;1.060.880;4.036.936;2.479.391;832.658;0;10.168.005;9.068;70.840;82.186;151.043;92.134;99.649;393;505.313;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;2,34%;0,09%;0,15%;0,14%;0,13%;0,10%;0,07%;0,00%;0,12%;1,11%;0,43%;0,39%;0,23%;0,10%;0,10%;0,00%;0,35%;8,98%;13,03%;13,06%;12,66%;10,09%;6,44%;0,00%;12,60%;0,08%;0,05%;0,05%;0,04%;0,03%;0,02%;0,00%;0,02%;6,95%;3,78%;4,51%;7,97%;0,00%;0,00%;0,00%;4,34%;0,85%;4,29%;1,29%;5,67%;6,24%;2,77%;0,00%;3,81%;0,08%;0,19%;0,26%;0,54%;0,83%;1,49%;0,11%;0,40%;0,00%
