cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/20;720.061.841;2.337.923;8.878.559;27.651.929;34.858.498;8.111.015;1.910.737;507.225;84.255.886;383.290;2.545.078;6.279.953;15.087.813;11.056.174;30.776.081;292.592;66.420.981;422.634;3.004.010;1.865.000;375.722;967.741;0;11.796;6.646.902;147.039;5.083.008;1.600.300;297.468;14;0;5;7.127.833;564.665;10.203.604;19.021.016;7.223.737;8.830.126;110.744;0;45.953.892;3.239.242;6.746.554;6.315.216;5.886.261;3.082.566;4.311.933;917.954;30.499.726;2.310.989;17.792.160;37.384.181;81.885.215;58.533.617;169.453.003;42.302.931;409.662.096;90.508;2.129.131;5.709.125;5.248.191;2.393.417;3.061.807;26;18.632.206;824.059;1.302.076;3.726.440;4.290.257;280.637;136.702;68.608;10.628.779;
1%;1 - Público;mar/20;35,68%;49,00%;17,42%;26,92%;30,91%;31,91%;24,96%;56,94%;27,61%;45,69%;19,23%;19,64%;28,49%;50,44%;87,46%;23,03%;42,20%;17,58%;9,77%;20,44%;24,46%;44,33%;0,00%;4,39%;14,11%;16,49%;5,51%;4,30%;13,89%;0,00%;0,00%;0,00%;5,33%;50,73%;18,85%;22,04%;18,39%;25,69%;1,65%;0,00%;20,71%;37,35%;32,37%;24,75%;29,89%;34,79%;51,43%;33,06%;32,19%;87,21%;78,00%;75,81%;80,04%;88,34%;94,46%;95,45%;87,71%;66,93%;33,85%;30,01%;63,79%;66,85%;77,18%;41,05%;45,20%;63,42%;61,44%;64,82%;53,85%;26,61%;58,63%;96,52%;57,47%;
2;2 - Privado Nacional;mar/20;963.075.680;1.922.271;30.564.865;59.866.146;63.986.330;13.734.430;4.525.445;104.852;174.704.339;267.189;6.022.827;13.974.176;19.821.017;5.411.551;1.117.287;21.104;46.635.151;1.683.650;22.551.257;5.249.622;972.595;1.146.394;778.359;99;32.381.976;562.053;53.171.254;15.659.533;1.046.852;556.682;17.072;414.142;71.427.587;276.432;23.749.107;32.199.849;18.891.011;17.281.628;6.242.371;14.925;98.655.323;4.091.835;10.447.218;13.286.660;9.692.105;4.501.842;3.610.782;1.572.016;47.202.458;141.960;3.423.962;7.820.310;13.993.714;5.803.662;9.239.775;1.915.564;42.338.947;22.417;2.646.835;7.186.746;1.725.057;621.046;586.240;38;12.788.379;400.054;607.087;1.452.927;3.295.959;748.858;67.727;2.474;6.575.085;
2%;2 - Privado Nacional;mar/20;47,72%;40,29%;59,98%;58,29%;56,73%;54,03%;59,11%;11,77%;57,24%;31,85%;45,52%;43,70%;37,43%;24,69%;3,18%;1,66%;29,63%;70,02%;73,35%;57,52%;63,32%;52,51%;90,60%;0,04%;68,72%;63,05%;57,59%;42,07%;48,89%;88,52%;22,52%;98,49%;53,42%;24,84%;43,87%;37,31%;48,10%;50,29%;92,80%;100,00%;44,45%;47,18%;50,13%;52,07%;49,21%;50,81%;43,06%;56,62%;49,82%;5,36%;15,01%;15,86%;13,68%;8,76%;5,15%;4,32%;9,07%;16,58%;42,08%;37,77%;20,97%;17,35%;14,78%;58,95%;31,02%;30,79%;28,65%;25,27%;41,37%;71,00%;29,04%;3,48%;35,55%;
3;3 - Privado com Controle Estrangeiro;mar/20;335.181.490;511.031;11.513.511;15.193.685;13.946.364;3.573.709;1.219.990;278.667;46.236.957;188.387;4.664.667;11.720.959;18.050.228;5.452.845;3.294.214;956.535;44.327.834;298.218;5.189.411;2.011.347;187.677;69.121;80.794;256.725;8.093.292;182.374;34.077.410;19.960.612;797.090;72.202;58.730;6.336;55.154.754;271.904;20.184.953;35.080.044;13.159.830;8.254.139;373.775;0;77.324.645;1.341.535;3.647.091;5.914.161;4.117.641;1.275.308;461.954;286.292;17.043.982;196.954;1.594.427;4.105.818;6.424.494;1.924.513;702.317;99.401;15.047.923;22.311;1.513.945;6.130.626;1.253.613;565.846;319.170;0;9.805.510;75.199;209.970;569.298;380.789;25.178;28.750;0;1.289.184;
3%;3 - Privado com Controle Estrangeiro;mar/20;16,61%;10,71%;22,59%;14,79%;12,36%;14,06%;15,93%;31,28%;15,15%;22,46%;35,25%;36,66%;34,08%;24,88%;9,36%;75,30%;28,17%;12,40%;16,88%;22,04%;12,22%;3,17%;9,40%;95,57%;17,18%;20,46%;36,91%;53,63%;37,22%;11,48%;77,48%;1,51%;41,25%;24,43%;37,28%;40,65%;33,51%;24,02%;5,56%;0,00%;34,84%;15,47%;17,50%;23,18%;20,91%;14,39%;5,51%;10,31%;17,99%;7,43%;6,99%;8,33%;6,28%;2,90%;0,39%;0,22%;3,22%;16,50%;24,07%;32,22%;15,24%;15,80%;8,05%;0,00%;23,78%;5,79%;9,91%;9,90%;4,78%;2,39%;12,33%;0,00%;6,97%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;1.613.463.236;4.302.286;43.792.518;89.838.840;97.912.930;21.132.225;6.057.267;785.755;263.821.821;695.225;8.996.611;21.357.565;35.221.301;15.581.749;34.232.008;1.267.655;117.352.114;2.199.072;28.462.046;6.572.218;1.389.472;2.179.334;838.537;268.520;41.909.199;637.609;81.935.800;28.762.176;2.025.104;594.459;34.298;420.436;114.409.882;1.113.000;54.074.198;85.937.428;39.274.578;34.365.893;6.726.890;14.925;221.506.911;8.412.566;19.463.720;23.568.724;17.434.299;7.816.298;7.653.894;2.760.743;87.110.245;1.085.963;12.648.968;23.768.292;44.562.917;27.226.511;60.961.479;13.904.523;184.158.653;126.808;5.485.556;17.532.597;5.878.746;2.154.286;2.215.836;38;33.393.867;1.299.311;2.119.120;5.748.629;7.921.539;1.054.572;233.074;71.082;18.447.327;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;79,94%;90,17%;85,94%;87,47%;86,81%;83,14%;79,12%;88,21%;86,44%;82,88%;67,99%;66,79%;66,51%;71,08%;97,28%;99,80%;74,56%;91,46%;92,58%;72,02%;90,46%;99,82%;97,60%;99,96%;88,94%;71,52%;88,74%;77,28%;94,57%;94,52%;45,25%;99,99%;85,57%;100,00%;99,88%;99,58%;100,00%;100,00%;100,00%;100,00%;99,81%;97,00%;93,39%;92,37%;88,52%;88,22%;91,28%;99,44%;91,94%;40,98%;55,45%;48,20%;43,56%;41,09%;33,98%;31,37%;39,43%;93,77%;87,21%;92,15%;71,46%;60,17%;55,85%;58,95%;81,00%;100,00%;100,00%;100,00%;99,43%;99,99%;99,95%;100,00%;99,75%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;54.302.468;26.694;2.261.136;1.361.136;637.825;162.878;44.207;0;4.493.876;69.438;2.663.565;6.546.460;11.107.229;3.951.679;100.706;20;24.439.098;0;0;0;0;0;0;0;0;86.994;6.016.711;7.523.627;106.599;27.690;29.311;0;13.790.933;0;63.467;363.482;0;0;0;0;426.948;22.936;300.395;163.698;143.124;50.108;15.072;8.887;704.218;73.348;1.118.385;2.859.060;4.443.991;1.133.431;127.329;99.387;9.854.931;156;68.637;59.989;183.001;128.453;48.061;0;488.298;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;2,69%;0,56%;4,44%;1,33%;0,57%;0,64%;0,58%;0,00%;1,47%;8,28%;20,13%;20,47%;20,97%;18,03%;0,29%;0,00%;15,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,76%;6,52%;20,21%;4,98%;4,40%;38,67%;0,00%;10,31%;0,00%;0,12%;0,42%;0,00%;0,00%;0,00%;0,00%;0,19%;0,26%;1,44%;0,64%;0,73%;0,57%;0,18%;0,32%;0,74%;2,77%;4,90%;5,80%;4,34%;1,71%;0,07%;0,22%;2,11%;0,12%;1,09%;0,32%;2,22%;3,59%;1,21%;0,00%;1,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
