cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;mar/20;320.525.888
C%;C - Conglomerado;mar/20;70,76%
I;I - Instituição independente;mar/20;132.431.241
I%;I - Instituição independente;mar/20;29,24%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;354.141.063
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;78,18%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;12.231.857
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;2,70%
b3S;b3S - Cooperativa de Crédito Singulares;mar/20;11.278.024
b3S%;b3S - Cooperativa de Crédito Singulares;mar/20;2,49%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/20;423
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/20;0,00%
b4;b4 - Banco de Desenvolvimento;mar/20;111.859
b4%;b4 - Banco de Desenvolvimento;mar/20;0,02%
n1;n1 - Não Bancário de Crédito;mar/20;53.702.502
n1%;n1 - Não Bancário de Crédito;mar/20;11,86%
n2;n2 - Não Bancário de Mercado de Capitais;mar/20;185
n2%;n2 - Não Bancário de Mercado de Capitais;mar/20;0,00%
n4;n4 - Instituições de Pagamento;mar/20;21.491.216
n4%;n4 - Instituições de Pagamento;mar/20;4,74%
1;1 - Público;mar/20;81.380.157
1%;1 - Público;mar/20;17,97%
2;2 - Privado Nacional;mar/20;294.116.858
2%;2 - Privado Nacional;mar/20;64,93%
3;3 - Privado com Controle Estrangeiro;mar/20;77.460.114
3%;3 - Privado com Controle Estrangeiro;mar/20;17,10%
