Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;522104274;2210529;5630017;14193656;23722710;10631937;4405146;110;60794106;600543;713312;1725491;1318041;155370;1926;8832;4523514;204018;705799;1389193;922439;24237;56;733;3246475;1373473;12865601;34352264;78637357;63156158;171665555;65684403;427734811;1403453;5793277;1737155;128283;14042;12753;0;9088962;186996;672123;1653280;773719;226889;116621;0;3629627;1698832;3660451;2935026;2462903;1207897;1066282;55388;13086778;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;330862453;277947;4483158;12351754;26114066;16736032;9857347;429453;70249758;515360;2423413;7342175;8680319;3823835;1925315;1035325;25745741;34629;480061;1189163;1602078;297609;60;104938;3708538;63145;609429;1319705;3496611;3472528;17267955;21297848;47527221;866047;19939883;3969132;285497;0;0;435514;25496074;2359541;15877671;43868045;36830660;25152573;20005896;150968;144245354;604429;1189166;3033175;3196049;1954099;1429623;291794;11698335;2191433
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;260462984;417322;3995387;9833787;18878252;10098704;2560732;104;45784287;551312;1874515;3639242;4975812;1678641;44662;0;12764184;168303;1708510;4196445;7587789;1577786;2619;0;15241453;79577;710513;1630517;4222011;3979953;15664036;12999920;39286527;4633427;45660605;17659389;707234;2220;0;0;68662875;3173;282441;398535;184788;43655;24341;0;936932;1741719;5692162;3257931;4784066;1523148;224423;0;17223448;60563278
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;183755900;231938;4885073;12316282;20118991;8424867;2568261;505;48545916;816446;5511956;5752933;3827925;572624;110077;182;16592143;251490;3302829;7800916;9993007;1290316;4031;0;22642590;72252;690853;1521096;3904138;3667620;14556827;11525771;35938557;4060660;21089979;7300111;269078;5596;123;0;32725547;251745;2693801;5224799;3868504;1274646;554505;0;13868001;1387891;4939289;2583988;2790365;845646;283916;13695;12844791;598355
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;176597540;495197;2892634;7434509;12064491;5507934;2661245;723;31056733;885573;1355238;2929277;4092968;1354280;270085;17716;10905137;547298;5357373;13157195;18804314;2916971;12864;3313;40799328;39774;1283847;3034859;6405138;4670549;11324427;4736248;31494841;2006967;19159763;5851542;599112;129264;48590;27;27795264;41871;835230;2475200;1376288;655829;465670;0;5850088;1800778;5251831;3701960;4068048;2037144;1124387;28389;18012537;10683611
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;36653343;65304;315489;723368;895557;206206;31384;0;2237308;16622;31762;148850;28018;950;14;0;226216;627981;4576625;10650668;14440791;1638664;577;0;31935306;0;0;0;0;0;0;0;0;325868;1237831;472151;16775;0;0;0;2052625;455;5875;25506;23712;3753;1207;0;60508;738;12861;22444;77067;18811;9323;135;141380;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2018;21674833;71805;927283;2505576;4723088;2807977;1372709;84;12408520;27286;630761;361907;181049;80875;10412;25;1292315;292;3909;9325;9166;1609;8;0;24309;2819;59577;146377;378256;355387;1377665;1026954;3347034;45784;896192;221064;2629;0;0;0;1165667;47759;176189;628726;363251;270654;198663;9235;1694478;119087;1019648;224149;209057;98505;72000;62;1742509;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;18763391;19344;696462;1896904;3629554;2056935;481466;0;8780665;5569;188369;326512;262772;50578;11884;0;845684;55256;1100465;2740371;4010318;512392;409;0;8419211;22;81;399;733;822;208;0;2265;4315;173008;52995;81;0;0;0;230399;7;21723;69139;40481;20033;8441;0;159824;4395;187105;96308;11008;3396;0;0;302212;23131
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;17565910;97810;680228;1802784;3231339;1681426;653460;0;8147047;7467;28213;54156;37378;321;0;0;127536;174831;892987;2089520;2882944;315071;45;0;6355398;720;5005;12457;27594;20495;43892;7536;117700;273762;1772163;198942;15856;2006;36;0;2262764;0;0;0;0;0;0;0;0;65410;34429;92789;152532;85388;120523;4394;555465;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2018;12403695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73397;951045;1696968;1568629;699674;390070;0;5379784;139978;1104183;1998914;2284626;1155235;340974;0;7023911;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;10393259;68830;625947;1766766;3069135;1296261;236757;0;7063696;9194;44274;79621;23094;0;0;0;156183;0;2;6;11;0;0;0;19;0;0;0;0;0;0;0;0;137739;2022120;665500;149570;273;0;0;2975203;0;3179;1080;2095;0;0;0;6354;20335;39745;64508;63609;3608;0;0;191805;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2018;7894041;0;20760;52014;75271;24527;3009;0;175582;0;33;40;152;156;181;0;563;0;4081;10385;20379;15685;2626;0;53156;0;3792;5463;13919;13620;58422;48398;143615;0;0;0;0;0;0;0;0;0;465080;984420;2390571;1999519;1666752;278;7506620;174;1945;3627;5612;1788;1359;0;14505;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2018;7873259;63497;360792;885547;1809352;1020790;614179;0;4754157;15511;298949;390597;723001;298093;116401;0;1842552;2002;11682;25557;26916;3009;0;0;69166;506;14274;31428;80684;76145;318239;229185;750461;1;369;14;0;0;0;0;385;2888;28749;47901;50695;29226;19850;0;179309;7595;23586;105435;17980;10444;7854;104335;277229;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;7432948;14565;41933;91405;100596;27118;8403;55;284074;146721;197204;207558;58681;72;0;0;610236;1559;1583;1924;229;2;0;0;5297;0;0;0;0;0;0;0;0;291310;5794588;89202;45477;6367;0;0;6226943;0;0;0;0;0;0;0;0;2231;5505;3787;14363;4548;10313;0;40747;265651
