Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2018;298794490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1176345;11705318;30544969;63069779;49707286;115860241;26255224;298319161;0;21625;56548;154140;124882;118135;0;475329;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;292742391;739706;5341817;10696765;17461484;5459377;1775931;713463;42188544;365041;1007695;5888188;13605960;9146676;28947301;1066120;60026981;163841;1402340;878085;90844;0;0;41608;2576717;157574;4630836;1447561;203540;54556;0;0;6494067;548282;11720908;12388256;4784800;11620568;6635793;5339;47703947;1942961;3027582;3430928;3786427;2401088;3018048;978623;18585656;445335;4445482;10494072;12036187;7668499;13068007;8840867;56998447;75792;3201957;6305084;6967846;1222281;1257973;28;19030962;348213;347577;1399394;952264;25359;0;0;3072806;36064263
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;288037248;354238;6596992;11400288;13360869;2672252;402507;0;34787145;13485;519893;1161935;1741474;382603;26216;0;3845606;581742;7775293;231707;105457;0;0;0;8694199;148193;8347244;3862108;122862;26056;5266;0;12511728;68728;3628999;6613468;3247530;982140;5082106;0;19622970;735594;2510806;3557791;3246617;1463278;784644;0;12298731;201926;2051130;4601477;7674810;3640511;2595683;176041;20941578;3392;1682195;3507109;447524;223233;206004;0;6069459;98389;562170;1283237;1587679;155094;4755;192;3691515;165574316
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;264969058;755867;7072535;13326971;15410995;3113551;296457;0;39976377;112742;1823772;3583360;3780922;684530;148834;0;10134159;374588;6459463;1231925;101;0;0;0;8066077;126157;12692666;2888760;152707;7299;1820;0;15869409;186169;8577654;15921073;5629334;3103067;3919675;0;37336973;1503012;4260001;3446897;3453316;1134929;1405635;844576;16048367;120215;2430221;4554980;8199663;4393004;7475820;279898;27453801;9723;1367188;2085171;1510603;144058;90311;0;5207053;190953;354459;1288121;3968961;1200771;86313;6519;7096097;97780745
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;160615008;2191505;3562776;7893111;15309332;7722402;2856281;4850;39540256;42539;91511;214907;329339;258205;218393;1978;1156872;430871;365090;1145823;80418;0;0;0;2022202;41367;346853;18571;0;0;0;0;406791;63319;769244;1953182;4048476;7226;0;0;6841447;1697259;890762;1113536;1572474;757969;516261;1259;6549520;321540;5001518;10065726;18582142;12544209;34785824;8954533;90255493;10013;327051;3286639;113390;9529;4880;0;3751503;481442;1941930;3510746;3759573;215783;181335;117;10090925;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;120675994;621212;4365835;6778218;7508704;2043962;966816;338395;22623143;55039;978375;2073455;2546317;653999;234667;463;6542315;304338;3556407;1039587;229085;109439;65137;8652;5312645;68075;14872128;6125947;339589;39683;5865;6197;21457485;142039;6466294;6326018;1644235;614168;3301923;0;18494678;644546;1637265;1772068;2647043;915791;300731;174057;8091501;103217;854432;1845250;2754776;2109119;2143687;2041994;11852476;4292;1515945;3821411;463916;161671;67483;0;6034718;154628;565916;1133238;544814;9728;5989;517;2414829;17852205
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;49405138;28836;3238507;5332802;4100724;1227744;178097;0;14106709;4809;501723;832385;747275;99236;26016;0;2211444;28548;780666;45562;11413;2480;0;0;868669;1333;5856530;1693204;24754;0;0;0;7575822;6538;2234684;3090383;2240542;550332;1883675;0;10006153;8089;127625;434934;138256;6936;0;0;715840;1137;485100;590972;1124630;604683;185697;0;2992218;864;397648;1129567;218259;135991;68106;0;1950435;0;14763;82901;189332;26960;0;0;313955;8663892
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2018;17721186;79720;507720;1074267;795052;280647;1172142;0;3909548;0;0;0;0;0;0;0;0;0;0;10059;0;0;0;0;10059;6404;51204;71006;96297;7372;905;0;233187;0;152804;691644;668979;115820;0;0;1629247;423089;135762;162301;23584;5051;686;0;750473;0;21818;46685;137383;155162;937907;1587664;2886619;0;1088;5013;5013;0;0;0;11114;0;0;0;0;0;0;0;0;8290938
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;13249331;13642;311937;686321;950701;273010;33654;0;2269264;13503;187819;474166;469765;43239;37;0;1188529;0;0;0;0;0;0;0;0;1583;1594349;412099;69068;74034;26639;0;2177771;39801;530467;1177226;850375;266038;4487;0;2868394;1340;16330;34414;35913;27257;68049;674314;857617;2211;286567;346466;661865;394677;189141;0;1880928;0;31693;194633;101704;26790;3935;0;358755;0;0;0;0;0;0;0;0;1648073
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2018;12492898;5573;1250377;926663;296232;247697;0;0;2726542;114;5874;10062;20818;7716;52;0;44635;0;365009;148705;0;0;0;0;513715;110;3598767;711911;89042;60870;109560;0;4570260;0;829686;1507134;971219;260316;10008;0;3578364;20792;166434;32154;0;0;0;0;219380;0;29822;1460;2040;0;0;0;33323;0;226926;440637;139117;0;0;0;806680;0;0;0;0;0;0;0;0;0
