Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;682719282;115422193;488152877;29842857;0;0;32;35097884;0;0;447222;3624748;0;0;10069017;62451;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;623604844;367565803;61038166;15405499;2189881;77413;6333;90990972;0;41215428;2160097;286435;0;0;4326276;86845;38255696
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;548500232;229529512;46571801;7656018;1568092;919087;10793497;24080772;36011;355166;427129;37586;0;0;5243;382725;226137593
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;448724958;216434742;55990136;16630676;1658688;18867;16452799;39918703;0;219189;2559851;0;0;22235;0;439972;98379101
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2018;298796087;55742278;31616;203916988;3300999;6850907;9029495;1780971;9009485;0;44465;9088884;0;0;0;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;297273533;198166110;42751824;6309525;605816;406;166633;18696107;1012563;0;436900;381766;0;2510;76159;131398;28535816
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;68168528;39333988;316238;1430779;349309;0;12165;17685728;312731;0;35634;135;0;3659;0;1140;8687022
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;49902673;41782292;701861;605357;34193;100864;342324;4329836;83189;0;0;40056;0;0;227757;6870;1648073
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2018;30916211;21991580;5323186;199309;10309;0;9904;3127226;20457;0;46726;0;0;0;48805;17352;121356
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2018;20476156;16789309;94017;265014;40706;0;0;3284370;0;0;0;0;0;0;2739;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;19411406;17974425;326219;0;0;0;0;652879;0;0;311032;74475;0;0;58108;14268;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2018;18198583;1687987;66282;2562689;0;172601;0;5110722;0;0;48200;32789;0;0;70642;0;8446671
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;17510095;11948104;0;4816;0;0;3974642;1560496;0;0;0;0;0;0;1469;20568;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;16473523;12052931;3114;71527;117589;0;162447;2192741;607544;242908;138;8033;0;1892;717466;1960;293233
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2018;13897039;9530775;0;1310943;656334;0;0;2200406;1320;0;0;0;0;0;197200;61;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2018;13476872;8816222;62016;3213796;0;0;0;0;514968;0;543971;0;0;335;325563;2;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2018;12550001;9384327;0;21953;0;0;0;3134387;9334;0;0;0;0;0;0;1;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;12499858;2603246;0;284064;84757;0;959;6673616;56467;0;0;18297;0;0;631178;2;2147272
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2018;10446830;6070760;29444;986811;0;0;1358222;585993;0;22;1395382;0;0;19682;0;515;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2018;9738088;8405396;143615;321233;161811;0;374786;331142;0;0;0;0;0;0;0;105;0
