Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;26399372;89145392
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;22888128;84728104
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;14848782;38949546
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;14230384;32346869
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;11730589;32449685
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/09/2018;3344444;21838079
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/09/2018;3304821;6468426
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;3268585;7093314
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;2989902;4348144
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;2775692;8440956
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;2317278;5297914
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/09/2018;2260529;6155873
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/09/2018;2118562;71904119
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2018;1835405;9734684
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/09/2018;1279880;2080451
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;1246494;1997759
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2018;1074811;1674100
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/09/2018;853985;1972010
