Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;682719282;362691353;66363763;112215132;76269766;28367294;7202182;10210754;3866361;15532677;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;623604844;295265464;59113136;128042196;53267429;12777380;9767925;4739740;4116010;18259868;38255696
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;548500232;126222320;132456965;16882759;14650264;8229306;4088317;3878921;4011241;11942545;226137593
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;448724958;108257157;128305940;39035147;37966734;7046085;5489934;3817555;3285415;17141889;98379101
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2018;298796087;42368911;88998874;112116836;27079886;4280807;13337396;289638;0;10323738;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;297273533;95044425;98568030;23672395;21885872;11413231;4783036;2383806;1779790;9207132;28535816
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;68168528;35753915;17102094;3437018;1130495;787791;71972;52388;48785;1097048;8687022
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;49902673;4440241;21460908;8635763;8475175;1261346;894881;395202;1138174;1552910;1648073
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2018;30916211;2304944;20122297;3619041;1154694;943375;607779;225928;297285;1519511;121356
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2018;20476156;2519778;4307053;11139486;834552;730374;386812;59718;27769;470615;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;19411406;0;16158259;701993;536789;418623;336722;287671;211954;759394;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2018;18198583;1406681;3222276;1539504;1393006;1274768;381628;308674;41993;183383;8446671
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;17510095;5222001;10218344;1183675;191659;74555;48209;184481;44302;342870;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;16473523;399;7540277;6308664;1253330;285524;77265;66970;55017;592843;293233
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2018;13897039;811131;8156977;2369059;1409238;397897;264912;99818;36660;351346;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2018;13476872;6301133;5576049;599463;407392;147400;111282;31784;50409;251961;0
