Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/09/2018;21966803;834268;9668000;162412;1257459;1205617;35094559;-18436358;-2258701;-861341;0;-4027830;-25584231;9510328;5157478;3016024;-4643323;-5357568;-1264380;1709893;7652990;-7529559;-1258445;8251883;68495;8320378;-1048041;-1920905;5351432;-810790
BB;49906;b1;S1;C;1;BRASILIA;DF;01/09/2018;20827372;44958;10398809;138965;854573;627639;32892317;-15523607;-5466655;-29028;0;-4527946;-25547236;7345081;3316124;2672951;-5017414;-4068784;-935872;1731539;3264870;-3803980;-2840565;4504516;13390;4517905;-963903;-407557;3146445;-1399410
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/09/2018;19744066;0;6090351;384445;277412;1689847;28186121;-10992297;-4536034;0;0;-2710070;-18238401;9947720;5412631;1698206;-5241698;-2661159;-979535;538763;1876833;-4526409;-3882368;6065353;-236237;5829115;-716457;-735136;4377522;-872519
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/09/2018;18628894;348774;7928966;-1177766;872448;1022623;27623938;-11674526;-3760745;-288099;0;-4845800;-20569169;7054769;3180600;2654760;-4221045;-5343366;-1364893;2316153;4249583;-3620950;-2149158;4905611;-324186;4581424;470135;0;5051559;-1795479
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/09/2018;16213053;0;3197894;946111;54657;0;20411714;-658549;-12375155;0;0;-6540052;-19573756;837958;51009;0;-309335;-73827;-137182;1974623;280687;-243670;1542306;2380264;3265;2383529;-780469;-59;1603001;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/09/2018;12470024;419165;4992773;-1084212;43600;991123;17832473;-8027836;-1828355;-337991;0;-2947473;-13141654;4690819;2378504;1188589;-1816186;-2403813;-974593;285536;6650827;-6370281;-1061416;3629403;13562;3642965;-93941;-430346;3118679;-600000
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/09/2018;2054170;179531;1626717;-49588;108960;89921;4009709;-2447557;-279494;-150802;0;-165524;-3043377;966332;253942;103906;-573588;-510801;-98253;257770;345051;-190544;-412517;553815;21498;575313;-124033;0;451280;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/09/2018;2690046;51925;762787;-40575;54490;14656;3533329;-1734883;-180294;-42331;0;-449657;-2407166;1126163;130949;209816;-336748;-355204;-93182;87010;299173;-541299;-599483;526679;-1727;524952;-205899;-50658;268395;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/09/2018;1590721;6716;493344;91750;48510;192436;2423477;-886128;-118590;-6230;0;117716;-893232;1530246;39349;265965;-501263;-383550;-96401;84432;95715;-568715;-1064467;465779;-549;465230;-140925;-34083;290222;-88300
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/09/2018;316891;0;2021854;-867190;14482;31506;1517543;-1361890;-1194259;0;0;36906;-2519243;-1001701;413465;2272;-161829;-262399;-135203;65173;1269471;-268094;922856;-78844;5342;-73502;435038;-94696;266839;-592449
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/09/2018;1327739;24;48784;57330;3865;0;1437742;-928294;-3;-30;0;-238551;-1166878;270863;29092;58348;-105613;-399500;-38400;12974;431952;-157121;-168268;102595;-6491;96104;-46979;0;49125;-19217
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;01/09/2018;332046;6349;738298;-13181;261206;24690;1349407;-290558;-479384;-4940;0;8865;-766018;583390;326778;18033;-152612;-286433;-45578;0;131855;-159957;-167914;415476;-674;414802;-166248;-25493;223061;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;01/09/2018;440568;0;714492;57669;85133;6209;1304071;-274225;-569572;0;0;-71465;-915262;388809;609323;19764;-490698;-304776;-74113;0;463585;-263618;-40535;348274;285;348560;-142098;-11538;194924;-46152
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;01/09/2018;704751;0;217960;295607;77132;0;1295450;-310773;-404205;0;0;-63644;-778621;516829;83472;29084;-125408;-342524;-33726;8696;124059;-195608;-451955;64874;-279;64595;-27344;-7503;29748;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;01/09/2018;28262;0;589779;73372;588891;2230;1282533;-225697;-746570;0;0;144;-972124;310409;124039;169;-188643;-61065;-40021;0;12350;-38718;-191888;118521;-282;118239;-161789;-5336;-48886;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;01/09/2018;858100;0;91719;60649;148720;0;1159188;-51793;-754240;0;0;-174058;-980091;179097;19793;4277;-48653;-26407;-14438;0;35093;-10604;-40939;138158;-25;138133;-62934;-4301;70898;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;01/09/2018;745214;94958;121070;131070;50358;0;1142669;-371904;-104791;-62054;0;-119042;-657792;484878;13279;25124;-88227;-129342;-33513;10204;100953;-46102;-147623;337255;-1334;335921;-123935;-17799;194187;-49500
BMG;30290;b1;S3;C;2;SAO PAULO;SP;01/09/2018;909965;1604;56664;26143;7903;0;1002277;-468315;-7795;-1599;0;-106521;-584230;418047;7146;2485;-46754;-271001;-25322;-2902;151816;-147340;-331873;86174;159;86333;-26194;-5037;55102;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;01/09/2018;366318;0;450848;47957;0;0;865123;-317964;-453028;0;-39377;-33129;-843498;21625;92654;6743;-51229;-30501;-15014;1030;121403;-38299;86787;108412;-57;108356;44366;-36610;116112;-53627
