Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2018;298794490;16161782;1477714;3598736;277556257;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2018;292742391;3661836;24318703;52682973;176013325;0;1290;36064263
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2018;288037248;2468296;13775880;43648109;62560432;0;10216;165574316
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2018;264969058;25378857;24370941;50081544;67346836;0;10134;97780745
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2018;160615008;9365337;17194672;26568853;107483997;0;2148;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2018;120675994;4035068;15582808;35893257;47307389;0;5267;17852205
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;49405138;672773;1382319;10378432;28307633;0;89;8663892
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2018;17721186;1043308;124027;585696;7677217;0;0;8290938
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2018;13249331;920640;415910;415668;9849039;0;0;1648073
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2018;12492898;1107444;8453;917124;10459877;0;1;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2018;12215214;142645;1410934;4733407;3824995;0;2;2103231
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2018;10593647;862523;258264;4146607;5041112;0;58;285083
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2018;9953124;531744;777963;3977596;4665821;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2018;9241379;433931;1351598;3471037;3862967;0;489;121356
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2018;8508713;253576;815212;4556391;2883533;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2018;8398788;533277;1626488;4630482;1608539;0;2;0
