Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42430;1406846003;702258266;1333222675;1103651578;73623328;2407111;128443802;0,1624;0,1579;5434;1468
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42430;1242204968;684162065;1215336819;1081541801;26868149;554794;75440876;0,137;0,1448;3411;840
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42430;1156830982;441394805;1045869041;760982936;110961941;4428356;122871620;0,1768;0,2736;3700;944
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42430;925173490;393120661;888141067;588333634;37032422;1598148;105227825;0,1551;0,1346;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42430;875135677;353718025;781791241;618785252;93344437;4121720;100452488;0,1686;0,3399;4526;1170
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42430;669686496;248532775;609398768;431412678;60287729;1239371;58671691;0,1644;0,1886;2759;1181
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42430;223474441;53260561;203121203;118402145;20353238;1008510;25254560;0,152;0,4034;11;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42430;173081168;67120148;162919016;109896292;10162152;-287207;14742216;0,1383;0,1409;853;433
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42430;140759068;45225042;131505471;112757828;9253597;461505;12206161;0,154;0,2417;112;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42430;109398783;48506858;101318780;69034929;8080003;86211;9741968;0,1439;0,0392;94;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42430;81885984;21226970;73955512;41920612;7930472;105950;7697191;0,1314;0,0668;134;17
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42430;65861633;31373523;59538981;50568066;6322653;188077;7313620;0,1826;0,0427;536;206
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42430;51196707;7138331;47549297;28465054;3647410;51071;4971807;0,1362;0,0784;10;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42430;44386540;12032008;41563039;16401482;2823501;-4799;3465485;0,127;0,023;10;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42430;41994900;13326366;39025130;16981766;2969770;77808;4523276;0,1209;0,051;315;2
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42430;39864696;2307035;35592121;15633895;4272574;136167;4245875;0,1621;0,0281;8;1
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42430;35167414;3466386;33788967;11452518;1378447;7037;1377616;0,2308;0,0684;5;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42430;31683508;14596647;30465056;29220483;1218452;18232;1351528;0,1882;0,0793;5;0
