Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42430;65336289;24641228;89977517;38466286;128443802;731373597;24971345;7172;2640989;0;27619507;31708475;790701579;1208822847;0,0826;0,1138;0,1624;0,0744;0,1579
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42430;99220203;69851;99290053;23581566;122871620;637179005;3040454;623514;15778805;913327;20356099;37363592;694898696;1198446136;0,1428;0,1429;0,1768;0,0828;0,2736
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42430;70151884;0;70151884;35075942;105227825;583809224;57790148;0;7033078;0;64823226;29806020;678438470;964936355;0,1034;0,1034;0,1551;0,0727;0,1346
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42430;76704327;0;76704327;23748161;100452488;543276415;5533358;951947;7506901;3650;13995856;38501528;595773799;969926182;0,1287;0,1287;0,1686;0,0791;0,3399
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42430;52714616;0;52714616;22726260;75440876;504853603;132455;0;1688724;0;1821178;44156342;550831124;1340339417;0,0957;0,0957;0,137;0,0393;0,1448
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42430;49497910;4506837;54004747;4666944;58671691;309367060;9325031;0;21225904;144172;30695107;16779267;356841434;623230465;0,1387;0,1513;0,1644;0,0867;0,1886
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42430;17259589;4585888;21845477;3409083;25254560;115522490;3705896;18960435;19900476;5843078;48409886;2167323;166099699;243739628;0,1039;0,1315;0,152;0,0896;0,4034
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42430;8589050;0;8589050;6153165;14742216;88813204;737657;0;4894109;2545;5634311;12154379;106601893;182078552;0,0806;0,0806;0,1383;0,0472;0,1409
