Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42430;22382180;362785028;120480186;644588141;-34281877;610306264;308038;760404;313223;-59053;1322612;190887102;70969013;28026841;1407159226;313223;1406846003
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42430;10917308;190250938;179706231;672513474;-34265907;638247567;0;0;0;0;0;71276825;138774695;13031404;1242204968;0;1242204968
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42430;18165907;234365377;201067139;388934552;-32274939;356659612;1410875;6902228;4372729;-169041;12516791;224525278;73860796;40042810;1161203710;4372729;1156830982
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42430;520031;52298063;151142216;391690457;-4648752;387041705;0;0;0;0;0;34983730;285009481;14178263;925173490;0;925173490
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42430;18507288;165410092;163222352;317674622;-27331127;290343495;92913;5322777;2810141;-160139;8065692;133688488;55087561;43620851;877945819;2810141;875135677
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42430;5461302;51411943;147770247;212221267;-15592399;196628868;22484;5416046;2708886;-58992;8088423;187088898;59527171;16418531;672395382;2708886;669686496
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42430;19368792;28815915;64850868;52170003;-1857768;50312235;0;0;0;0;0;46734343;2130429;11261858;223474441;0;223474441
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42430;2659907;21425127;31084923;55621505;-5045596;50575909;8598;793109;101674;-94669;808712;48827927;14785775;3014562;173182842;101674;173081168
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42430;1477174;41122970;45681478;38554323;-2500166;36054156;55729;2908686;1467479;-49703;4382190;8372369;2160237;2975972;142226546;1467479;140759068
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42430;209869;17030634;34046356;46202953;-2897664;43305289;4232;165713;39941;-17779;192108;13171894;1036897;445678;109438724;39941;109398783
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42430;678935;11609498;29259285;16008417;-872914;15135504;847;240316;22336;-4600;258900;21274946;3021615;669638;81908320;22336;81885984
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42430;851571;701632;19940414;29807995;-2214393;27593602;193;114365;57118;-6756;164920;6806722;9540538;319353;65918751;57118;65861633
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42430;1860794;20762947;14352397;6465885;-327598;6138287;0;0;0;0;0;7371183;11201;699897;51196707;0;51196707
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42430;38634;4452971;6277608;7333195;-458957;6874238;0;0;0;0;0;26210888;426668;105533;44386540;0;44386540
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42430;213554;9646723;16583709;12678428;-999676;11678752;0;0;0;0;0;3317031;318926;236206;41994900;0;41994900
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42430;105444;12698679;13496157;1262591;-2605;1259986;0;0;0;0;0;12145735;39455;119240;39864696;0;39864696
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42430;5832;8686773;2369493;544188;-50834;493354;12404;953423;78779;-23165;1021441;22567227;7041;95033;35246193;78779;35167414
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42430;70721;10570284;5047521;14442009;-9559;14432450;0;0;0;0;0;866397;588808;107328;31683508;0;31683508
