Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42430;2970963;136377;1450082;-856697;1206958;342048;5249731;-2812213;-151442;-103580;0;-1272080;-4339315;910416;334753;360596;-894990;-1038148;-215245;86649;704666;-629429;-1291149;-380732;-1809;-382541;95912;-578;-287207;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42430;3362427;46152;932573;-197932;0;3040;4146259;-2896334;-62455;-50328;-122982;-162056;-3294155;852105;117952;138688;-341785;-269929;-88440;42579;802516;-895487;-493905;358199;-434;357765;-225594;-45960;86211;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42430;1693901;9494;635912;-10059;0;265288;2594537;-1276902;-60538;-7068;-64203;-267984;-1676695;917841;67187;332086;-402714;-359481;-107180;-16598;352367;-466544;-600877;316964;-4488;312476;-99083;-25316;188077;-76204
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42430;724665;36478;1235430;-1158719;841897;39336;1719086;-696351;-187257;-29349;0;-191318;-1104275;614811;219048;80990;-305153;-393062;-61209;25615;559390;-455475;-329857;284954;-69237;215717;-91144;-18623;105950;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42430;516420;0;843677;-130693;41261;17831;1288496;-363301;-429576;0;0;-171433;-964310;324186;519737;12369;-426027;-261007;-69764;0;673676;-543647;-94663;229523;377;229899;-148590;-3501;77808;-26147
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42430;1529167;6789;115993;-384717;11636;0;1278868;-1287167;-9224;-6573;0;-296031;-1598995;-320127;37625;82231;-92466;-465194;-40807;-1038;826459;-182840;163971;-156156;-13286;-169443;73340;0;-96103;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42430;252765;0;965196;28812;0;0;1246773;-907940;-866354;0;-38532;-56905;-1869731;-622958;201801;0;-182101;-93347;-16573;-100085;1053039;-104525;758208;135250;1954;137204;-86132;0;51071;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42430;763;0;887884;126998;173132;0;1188776;-113675;-16960;0;0;0;-130635;1058142;47450;0;-66180;-32391;-15424;-23687;65274;-902486;-927444;130698;0;130698;-68624;0;62074;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42430;24796;0;345396;-593271;1042415;0;819336;-68815;-90797;0;0;322;-159290;660046;129209;1032;-138520;-50880;-14339;0;47380;-491470;-517589;142457;-138;142319;-59797;0;82522;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42430;734802;0;103329;-28193;0;3764;813702;-338780;-97;0;-3442;-208300;-550619;263083;14088;40449;-87432;-129977;-28085;-4370;75225;-119585;-239688;23395;-2450;20945;-11582;-94;9269;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42430;255330;0;544953;-3135;1447;11602;810197;-658389;-33892;0;0;-2537;-694818;115378;46143;21;-27705;-105167;-11520;4764;75516;-68188;-86137;29241;-149;29092;-10861;0;18232;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42430;746536;0;58322;0;0;0;804858;0;0;0;0;-211005;-211005;593853;0;0;-4858;-247184;-41527;0;109232;-12;-184349;409504;-54;409450;-168637;-572;240241;-31000
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42430;645645;0;76332;0;459;6593;729029;-275349;-2244;0;0;-126542;-404135;324894;19530;38254;-222005;-111974;-25744;9235;26747;-70437;-336393;-11500;-2609;-14108;12077;-2563;-4594;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42430;231205;0;461588;0;0;4520;697312;-592830;-16749;0;0;-2526;-612105;85207;109449;19;-22055;-49399;-16685;1586;25854;-73563;-24795;60412;390;60802;-26226;-1196;33380;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42430;200902;8043;435299;0;4058;9443;657743;-446170;-6206;-6815;0;-57183;-516374;141369;43885;23651;-79967;-55094;-15513;7429;13672;-19651;-81588;59781;53;59834;-16705;-4746;38383;-14100
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42430;710514;64832;149384;-289793;10434;0;645369;-377883;-27643;-46890;0;-163980;-616397;28972;6259;16463;-62182;-111862;-42622;-433;399498;-105093;100029;129001;5879;134880;-37864;-11783;85232;-51267
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42430;540149;31251;21566;0;0;0;592966;-345633;0;-31215;0;-53799;-430648;162318;46623;21246;-31414;-105316;-30213;6234;32595;-22847;-83092;79226;400;79626;-28598;-3567;47462;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42430;41844;466608;43608;0;0;0;552060;-124850;-1715;-390928;0;-11598;-529090;22970;0;0;0;-9697;-1596;0;10869;-17758;-18182;4788;0;4788;-2730;0;2058;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42430;382493;55531;174307;-105858;3083;0;509556;-301557;-33430;-43784;0;-21631;-400402;109154;9950;5966;-40626;-25561;-9825;5558;59137;-66455;-61855;47299;-105;47194;-16626;-1893;28675;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42430;478065;0;7524;0;0;0;485589;-7302;0;0;0;-221786;-229088;256501;77486;70627;-25266;-124212;-41169;0;8929;-52796;-86401;170099;1;170101;-76307;0;93794;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42430;673800;88;96924;-301899;0;0;468913;-501678;-17174;-60;-1480;-130564;-650956;-182043;5832;14621;-46182;-193802;-13735;-4982;623953;-190251;195454;13411;252;13663;3749;-10524;6888;-59000
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42430;21506;0;229039;183351;0;0;433896;-300025;-5244;0;-99;-965;-306333;127563;7226;0;-21824;-12601;-3932;-33694;1794;-20942;-83973;43590;89;43678;-32501;-706;10471;-4600
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42430;699313;28130;63053;-379310;0;0;411186;-233361;-128107;-22286;0;-228255;-612010;-200824;60104;17512;-1494;-95650;-37305;0;370704;-133415;180457;-20367;-4006;-24373;19132;0;-5241;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42430;136278;0;227632;-2435;0;0;361475;-75641;-86185;0;-4561;-32045;-198431;163044;148176;22039;-130794;-64518;-24977;0;174068;-199798;-75804;87240;847;88088;-95830;0;-7743;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42430;346224;0;20227;-20924;0;0;345527;-21964;-3551;0;-34;-323;-25872;319654;49056;11822;-4349;-68295;-21298;0;22138;-233455;-244380;75274;16;75290;-33581;-643;41067;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42430;300912;0;39457;0;1029;673;342070;-102827;-1;0;0;-20918;-123746;218324;2581;15530;-67197;-66774;-12697;0;2822;-5246;-130980;87343;-889;86455;-47525;-6298;32632;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42430;285402;0;316310;-327959;64179;0;337932;-302171;-34114;0;0;-45714;-381999;-44068;50584;5524;-53258;-24951;-7121;-100564;458148;-68064;260298;216231;-7880;208350;-91668;-25533;91149;-45643
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42430;246951;0;87021;-4043;0;0;329929;0;-119092;0;0;-49928;-169019;160909;11551;0;-43098;-9855;-10285;0;4504;-4983;-52166;108743;453;109196;-49289;0;59908;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42430;315363;0;8801;0;0;0;324165;-12395;0;0;-12;-166037;-178444;145721;7212;23617;-10434;-44691;-12939;0;14506;-50961;-73689;72032;-7274;64758;-31004;0;33754;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42430;9475;0;293340;0;0;0;302815;-293281;0;0;0;-2;-293282;9532;0;0;-4565;46950;1;25;1529;-53467;-9527;5;-2;2;0;0;2;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42430;243476;0;47059;-1441;684;0;289778;-153664;-2186;0;0;-35593;-191444;98334;1754;1866;-14049;-49676;-6442;11132;2807;-5830;-58438;39896;1;39897;-8951;0;30945;-8242
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42430;186164;0;37362;53059;396;0;276981;-131534;-2477;0;0;-25624;-159635;117346;4802;59;-35748;-39449;-5828;509;121360;-101377;-55672;61674;12650;74324;9706;-65912;18118;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42430;248594;1865;-7944;7802;0;0;250317;-86295;0;-1368;0;-40391;-128054;122263;5295;19671;-8258;-78514;-9903;-676;19504;-69935;-122816;-552;433;-119;7884;0;7765;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42430;59705;0;155083;29448;0;0;244235;-113479;-11483;0;-287997;-70309;-483268;-239033;20894;1320;-40602;-23580;-14569;0;1152537;-754644;341355;102322;-20;102303;-49002;-3065;50236;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42430;225632;5621;4055;0;0;0;235308;-32063;-74929;-3885;0;-86696;-197573;37735;10;2493;-17251;-26007;-9130;0;20100;-21727;-51513;-13778;-9252;-23030;13600;0;-9430;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42430;261298;43;40943;-75041;0;0;227243;-76732;-23939;-43;0;-54826;-155540;71703;248953;13472;-7201;-217640;-34815;0;31296;-23451;10614;82317;294;82611;-15061;0;67550;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42430;2287;223734;0;0;0;0;226021;0;-18070;-180694;0;4725;-194039;31981;0;0;0;-6102;-2028;0;5913;-844;-3061;28920;2686;31607;-14209;0;17398;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42430;134640;0;84775;-2007;0;0;217408;-151720;-9213;0;-3139;-27442;-191515;25893;6259;657;-23239;-18117;-3258;148;135485;-128327;-30392;-4499;-238;-4737;7779;0;3042;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42430;72841;0;162348;-387878;368827;0;216138;-63073;-41705;0;0;-2309;-107087;109051;47296;279;-48582;-31373;-4681;2425;29297;-55821;-61160;47891;-404;47487;-31874;0;15613;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42430;120813;0;78930;-1611;0;0;198133;-158993;-15013;0;-33173;-26429;-233607;-35475;16175;95;-19977;-15897;-6407;71;117800;-35840;56020;20545;8719;29264;-15857;-5108;8299;-19000
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42430;160030;8796;26375;-909;0;0;194292;-47020;-26298;-7181;0;-30101;-110600;83692;2382;3;-10820;-13051;-6250;0;5951;-12917;-34703;48989;-850;48139;-22788;-1194;24157;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42430;67658;0;102066;0;0;17805;187530;-101924;0;0;0;-6051;-107975;79555;0;1424;-24581;-10260;-4669;0;2162;-6583;-42507;37048;233;37281;0;0;37281;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42430;190647;0;13666;-24188;0;0;180124;-29126;-797;0;0;-58800;-88723;91401;119247;32487;-24703;-77590;-22584;0;31898;-64597;-5841;85560;0;85560;-34150;-3703;47707;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42430;102706;392;56223;5439;2017;0;166777;-103866;-2904;-327;0;-4508;-111605;55172;193;5048;-16278;-15226;-3851;-7387;31171;-21826;-28156;27016;4;27020;-14426;-4231;8362;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42430;3745;0;160210;0;0;0;163955;-160210;0;0;0;4;-160206;3749;0;0;-4731;31630;0;13;1084;-31747;-3751;-2;2;0;0;0;0;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42430;120901;0;39537;0;0;2257;162696;-70529;-1266;0;0;-21963;-93759;68937;30686;5573;-46559;-37146;-10866;0;37583;-17168;-37898;31039;787;31827;-14123;-1096;16608;-3650
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42430;123405;0;38174;0;0;0;161579;-60266;-2664;0;0;-24370;-87300;74279;8486;5537;-20034;-28530;-106;0;513;-3354;-37487;36792;-89;36703;0;-1735;34969;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42430;109204;0;49106;0;0;0;158310;-49346;-19857;0;0;-11695;-80897;77413;1805;296;-18191;-16400;-250;0;1812;-521;-31447;45965;-22;45943;-556;-1587;43800;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42430;143503;0;10712;0;0;0;154215;-71951;-538;0;-9;-18857;-91355;62860;1927;1891;-14391;-28729;-4075;-1684;110;-2787;-47738;15122;-1682;13439;-3907;0;9533;-6083
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42430;112509;0;25284;-1951;0;0;135843;-48126;-3822;0;0;-29777;-81725;54118;16361;23422;-30956;-37813;-7720;787;9249;-3585;-30256;23863;298;24161;-6638;-2984;14539;-4920
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42430;80120;37943;16400;0;0;0;134463;0;-21367;-33618;0;-28402;-83387;51076;4942;12;-13562;-22008;-3850;0;5564;-5781;-34683;16393;-681;15712;-6882;0;8830;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42430;174677;0;36763;-78553;0;0;132888;-29971;-92949;0;-150;-43470;-166539;-33652;6060;2693;-25963;-8250;-5341;0;100906;-29205;40901;7249;51;7301;-7102;0;199;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42430;45572;0;38279;40516;0;0;124367;-100456;-5663;0;-9449;-18274;-133843;-9476;11347;3778;-17596;-20795;-2620;1637;24487;-17437;-17199;-26675;-1846;-28522;9240;-4239;-23520;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42430;118502;0;3163;0;0;0;121665;-2128;-32863;0;0;-58830;-93822;27843;8226;55;-7967;-4580;-4193;0;64319;-59534;-3674;24169;122;24291;-10936;-668;12686;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;42430;824;0;117070;0;0;2893;120787;-110187;-4739;0;0;703;-114223;6563;52;0;-6276;-3311;-5;5606;14716;-5185;5598;12161;4;12165;-10;-110;12045;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;42430;1408;0;115764;0;0;2139;119311;-117095;-2226;0;0;89;-119233;78;14;0;-3345;-2759;-20;0;9062;-2479;473;551;0;551;0;0;551;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42430;147123;197;23124;-55970;0;0;114473;-111988;-5148;-172;0;-23328;-140637;-26164;1893;15;-5036;-17797;-2338;0;58348;-8204;26880;716;-917;-200;-929;-751;-1881;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42430;0;0;114170;0;0;0;114170;-108357;0;0;0;0;-108357;5813;0;0;-933;-591;-6;2629;2875;-3022;954;6767;6;6773;-2;0;6771;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42430;109526;8803;24;-8979;0;0;109374;-30010;-23366;-6569;0;-47838;-107784;1591;1352;605;-10061;-9248;-3409;0;18933;-1050;-2878;-1288;2085;797;-705;0;92;0
AGIPLAN FINANCEIRA S.A. - CFI - PRUDENCIAL;1000083694;n1;;C;2;;;42430;94583;0;7407;1241;0;0;103231;-12260;0;0;-915;-21629;-34804;68427;2119;2852;-5499;-40957;-4496;0;311;-426;-46096;22331;-32;22298;-8506;0;13792;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;42430;86064;5051;11412;0;0;0;102527;-227;-38160;-4176;0;-34331;-76894;25633;11241;1649;-9502;-19690;-4467;166;3059;-3788;-21333;4300;-121;4179;-2688;-898;593;0
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;;I;3;SAO PAULO;SP;42430;0;0;41210;4313;55900;0;101423;-43921;-606;0;0;0;-44527;56896;10645;0;-22029;-5977;-2382;0;29550;-34837;-25029;31867;0;31867;-10736;-891;20240;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;42430;3670;0;95913;0;0;0;99583;-97428;0;0;0;38;-97391;2192;0;0;-2544;-1111;-15;2001;4970;-1949;1351;3543;0;3543;0;-88;3455;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;I;2;BELO HORIZONTE;MG;42430;54473;0;52300;-13227;5484;0;99029;-45206;-2;0;0;-1557;-46765;52264;1393;1022;-8779;-37905;-3049;-2314;53736;-24263;-20158;32106;-109;31997;-15027;0;16970;0
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;42430;18450;0;49587;18419;11400;0;97856;-54035;-6521;0;0;-879;-61434;36421;20750;6778;-17852;-24909;-5361;29;2695;-7436;-25306;11116;643;11759;-5271;-1192;5295;0
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;42430;53587;14774;27879;1140;0;0;97382;-31222;-4853;-9826;-9;-3107;-49018;48364;115561;520;-18013;-44174;-13518;-1036;6048;-11312;34076;82440;11;82451;-26677;-3183;52591;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;;I;3;SAO PAULO;SP;42430;20324;0;12984;-32;62909;0;96185;-5244;-76833;0;0;-584;-82661;13524;37;14;-3075;-2128;-449;0;637;-4716;-9679;3845;-5;3840;-1204;0;2636;0
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;;C;2;VITORIA;ES;42430;79543;0;11729;323;0;0;91596;-25326;0;0;0;-55080;-80406;11190;8803;6021;-4457;-41869;-5261;0;26589;-7198;-17373;-6183;5;-6177;-1943;0;-8120;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42430;24203;0;79292;-43019;28785;0;89261;-47308;-698464;0;0;-13492;-759264;-670003;7361;60;-22682;-11555;-440;-59;891719;-174632;689770;19767;0;19767;-13206;-582;5979;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;42430;71868;0;16266;0;0;0;88134;-43918;-247;0;0;-11354;-55519;32615;0;0;-9093;-6217;-50;0;680;-803;-15482;17133;-8;17125;0;0;17125;-2722
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;42430;66673;0;19515;0;0;26;86214;-25564;-7434;0;0;-16095;-49093;37121;11883;5247;-17556;-19328;-357;0;2321;-9898;-27689;9432;-149;9284;-1497;0;7787;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;42430;64096;0;18298;334;0;0;82728;-28919;-13123;0;0;-17039;-59081;23647;857;650;-7485;-8632;-42;0;6134;-9810;-18329;5318;-713;4605;-39;0;4566;0
COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE;33667205;b3C;;I;2;CUIABA;MT;42430;1988;0;77228;0;0;0;79216;-77088;0;0;0;26;-77063;2153;0;0;-4387;18084;0;11;555;-16416;-2152;1;-1;0;0;0;0;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;42430;59558;0;19281;0;0;0;78839;0;-28937;0;0;-34396;-63333;15506;2061;300;-9558;-4927;-2477;0;3305;-13510;-24807;-9301;0;-9301;3931;0;-5370;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;42430;58269;0;20070;0;0;0;78339;-15304;-15208;0;0;-27606;-58118;20221;8457;3071;-11622;-8653;-211;0;24385;-31718;-16291;3930;-58;3871;-621;0;3250;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;42430;24360;0;12534;-11942;50544;0;75495;-15157;-526;0;0;-2681;-18364;57131;18885;343;-32671;-25538;-4978;0;15101;-14653;-43509;13622;1261;14883;-6075;-832;7975;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;42430;39724;0;31463;0;0;1;71188;-32369;-1856;0;0;-13333;-47558;23629;6253;4923;-13226;-9077;-499;0;2513;-6474;-15586;8044;-166;7877;-441;0;7436;0
