cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/14;854.842.323;4.151.273;21.054.248;50.070.903;59.195.624;15.157.197;2.384.325;119.907;152.133.477;812.942;2.378.784;7.558.057;13.026.553;16.340.284;23.110.836;4.001.994;67.229.449;1.135.419;5.797.101;6.160.256;659.325;17.200;0;0;13.769.302;719.629;14.193.104;3.776.615;981.797;9.496;736;454.033;20.135.410;129.719;5.440.488;10.783.376;1.661.814;1.281.012;405.101;0;19.701.511;888.191;5.172.472;4.145.110;4.650.198;1.584.963;5.402.735;138.741;21.982.409;812.304;20.657.982;49.151.872;111.158.983;79.026.131;157.118.913;35.740.069;453.666.255;120.378;5.617.425;17.222.229;13.440.846;7.490.001;4.416.307;98.795;48.405.982;38.559;2.926.045;3.692.223;5.372.814;989.751;405.429;12.961;13.437.781;
1%;1 - Público;jun/14;49,17%;50,70%;30,50%;41,07%;49,47%;55,28%;45,91%;24,51%;43,23%;49,78%;18,95%;26,80%;38,39%;78,79%;91,38%;87,32%;52,96%;34,56%;15,13%;41,08%;52,04%;6,86%;0,00%;0,00%;23,36%;48,84%;22,98%;22,47%;58,58%;6,57%;0,40%;98,84%;24,41%;16,90%;19,44%;24,00%;7,22%;20,71%;14,50%;0,00%;18,64%;22,74%;36,10%;30,04%;30,72%;34,00%;84,39%;61,76%;37,60%;64,65%;61,63%;61,49%;66,44%;78,54%;92,82%;95,51%;76,98%;79,94%;39,16%;51,09%;72,39%;76,15%;71,48%;100,00%;58,40%;21,83%;57,90%;31,11%;24,79%;15,46%;6,46%;10,31%;26,05%;
2;2 - Privado Nacional;jun/14;625.125.163;2.623.831;33.572.203;54.463.342;45.700.246;8.488.469;1.903.850;8.950;146.760.891;588.693;5.804.885;13.329.155;13.399.624;3.348.935;1.256.850;8.909;37.737.051;1.561.059;25.572.040;5.987.696;29.832;880;1.740;598.881;33.752.128;499.357;26.675.749;4.331.518;433.012;110.743;165.825;249;32.216.454;268.226;11.438.697;16.041.308;12.617.377;2.801.069;1.338.432;0;44.505.108;2.353.046;6.306.600;6.210.296;6.335.758;1.809.154;609.133;27.100;23.651.087;205.448;7.891.871;20.473.081;38.596.928;14.718.844;10.364.270;1.644.694;93.895.137;23.488;6.932.986;13.017.174;3.977.659;1.984.745;1.589.432;0;27.525.484;32.333;993.243;4.363.209;12.601.477;5.150.770;3.862.150;112.729;27.115.911;
2%;2 - Privado Nacional;jun/14;35,95%;32,04%;48,64%;44,67%;38,19%;30,96%;36,66%;1,83%;41,71%;36,05%;46,24%;47,26%;39,49%;16,15%;4,97%;0,19%;29,73%;47,52%;66,76%;39,93%;2,35%;0,35%;1,87%;81,49%;57,27%;33,89%;43,20%;25,77%;25,83%;76,63%;90,77%;0,05%;39,05%;34,94%;40,87%;35,70%;54,83%;45,28%;47,92%;0,00%;42,11%;60,25%;44,01%;45,01%;41,85%;38,81%;9,51%;12,06%;40,46%;16,35%;23,55%;25,61%;23,07%;14,63%;6,12%;4,40%;15,93%;15,60%;48,33%;38,62%;21,42%;20,18%;25,72%;0,00%;33,21%;18,30%;19,66%;36,77%;58,14%;80,47%;61,53%;89,69%;52,58%;
3;3 - Privado com Controle Estrangeiro;jun/14;258.684.230;1.413.238;14.399.033;17.383.274;14.767.391;3.771.166;904.839;360.385;52.999.327;231.561;4.369.634;7.314.809;7.507.668;1.048.975;922.125;572.209;21.966.982;588.703;6.938.160;2.846.485;577.830;232.774;91.458;136.026;11.411.437;254.570;20.881.911;8.700.523;261.304;24.278;16.130;5.087;30.143.803;369.801;11.107.930;18.106.425;8.732.659;2.103.505;1.049.809;11.047;41.481.177;664.315;2.849.498;3.442.489;4.152.611;1.267.270;390.363;58.801;12.825.348;238.616;4.967.374;10.312.009;17.561.037;6.876.617;1.794.482;36.564;41.786.701;6.711;1.796.115;3.467.838;1.147.988;360.522;172.962;0;6.952.136;105.762;1.133.948;3.812.183;3.699.906;260.148;2.009.374;0;11.021.320;
3%;3 - Privado com Controle Estrangeiro;jun/14;14,88%;17,26%;20,86%;14,26%;12,34%;13,75%;17,42%;73,66%;15,06%;14,18%;34,81%;25,94%;22,12%;5,06%;3,65%;12,49%;17,31%;17,92%;18,11%;18,98%;45,61%;92,79%;98,13%;18,51%;19,36%;17,28%;33,82%;51,76%;15,59%;16,80%;8,83%;1,11%;36,54%;48,17%;39,69%;40,30%;37,95%;34,01%;37,58%;100,00%;39,25%;17,01%;19,89%;24,95%;27,43%;27,19%;6,10%;26,18%;21,94%;18,99%;14,82%;12,90%;10,50%;6,83%;1,06%;0,10%;7,09%;4,46%;12,52%;10,29%;6,18%;3,67%;2,80%;0,00%;8,39%;59,87%;22,44%;32,12%;17,07%;4,06%;32,01%;0,00%;21,37%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;1.350.290.764;7.886.672;65.307.919;116.128.040;114.981.206;26.414.597;4.836.474;487.839;336.042.747;1.471.559;9.721.387;22.386.001;27.196.534;19.275.462;24.732.212;4.561.076;109.344.231;3.227.898;37.328.854;13.744.774;1.249.959;249.974;91.849;136.046;56.029.355;1.321.071;52.506.940;12.242.446;1.569.264;143.256;182.207;459.370;68.424.555;767.747;27.947.546;44.723.679;22.868.867;6.185.412;2.783.927;7.012;105.284.189;3.838.692;13.755.690;13.344.220;14.699.841;4.553.664;6.327.856;207.010;56.726.972;995.467;19.318.101;46.216.173;86.094.601;37.436.100;50.923.948;17.366.973;258.351.363;146.210;13.964.976;32.987.192;17.314.305;8.937.953;4.965.743;98.609;78.414.988;176.594;5.053.231;11.797.592;21.604.332;6.400.125;6.276.916;125.690;51.434.481;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;77,66%;96,32%;94,61%;95,25%;96,09%;96,34%;93,13%;99,71%;95,50%;90,10%;77,44%;79,38%;80,15%;92,95%;97,80%;99,52%;86,14%;98,26%;97,45%;91,67%;98,66%;99,65%;98,55%;18,51%;95,07%;89,65%;85,03%;72,83%;93,63%;99,13%;99,74%;100,00%;82,94%;100,00%;99,86%;99,54%;99,38%;100,00%;99,66%;63,47%;99,62%;98,29%;96,00%;96,71%;97,10%;97,69%;98,84%;92,15%;97,04%;79,23%;57,64%;57,82%;51,46%;37,20%;30,08%;46,41%;43,84%;97,10%;97,34%;97,86%;93,26%;90,88%;80,37%;99,81%;94,61%;99,97%;100,00%;99,41%;99,68%;99,99%;100,00%;100,00%;99,73%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;53.882.234;72.226;1.537.707;1.230.592;680.052;242.817;9.152;0;3.772.545;97.481;2.085.289;3.911.204;3.559.385;451.437;29.669;0;10.134.465;0;0;0;0;0;0;0;0;88.960;6.182.552;4.245.254;94.659;0;0;0;10.611.425;0;39.464;206.644;140.886;0;9.416;4.035;400.444;14.809;317.009;99.466;127.548;13.270;1.176;0;573.278;176.396;3.200.860;7.241.450;12.185.538;4.366.085;597.932;34.884;27.803.146;2.532;22.570;83.752;157.156;91.512;24.632;0;382.153;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;3,10%;0,88%;2,23%;1,01%;0,57%;0,89%;0,18%;0,00%;1,07%;5,97%;16,61%;13,87%;10,49%;2,18%;0,12%;0,00%;7,98%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,04%;10,01%;25,26%;5,65%;0,00%;0,00%;0,00%;12,86%;0,00%;0,14%;0,46%;0,61%;0,00%;0,34%;36,53%;0,38%;0,38%;2,21%;0,72%;0,84%;0,28%;0,02%;0,00%;0,98%;14,04%;9,55%;9,06%;7,28%;4,34%;0,35%;0,09%;4,72%;1,68%;0,16%;0,25%;0,85%;0,93%;0,40%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
