cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/14;679.691.288;2.293.459;9.105.681;25.183.343;51.262.171;26.118.593;7.007.706;259;120.971.212;1.993.312;6.214.845;12.381.821;13.673.637;3.833.920;1.243.327;20;39.340.882;414.884;2.259.341;5.787.451;8.890.108;1.545.718;4.243;0;18.901.744;1.688.180;10.035.304;26.477.733;60.256.586;47.881.843;124.524.603;46.316.281;317.180.529;2.269.981;22.350.040;4.080.461;221.058;433;3;0;28.921.977;1.321.683;17.169.208;30.120.304;31.354.939;18.219.725;22.459.674;764.248;121.409.781;2.518.847;8.337.651;9.344.985;4.639.687;2.476.409;2.925.347;1.004.161;31.247.087;1.718.077
1%;1 - Público;jun/14;50,44%;61,07%;43,47%;44,93%;50,05%;58,44%;79,61%;28,22%;51,11%;32,08%;28,45%;34,57%;42,37%;56,41%;63,07%;0,18%;37,49%;9,27%;8,51%;8,88%;10,44%;15,09%;6,85%;0,00%;9,86%;91,61%;83,70%;87,12%;87,00%;86,78%;83,65%;74,47%;83,53%;16,14%;22,33%;14,29%;12,45%;0,23%;0,01%;0,00%;19,99%;78,17%;65,53%;61,61%;69,66%;72,93%;85,26%;100,00%;69,82%;34,59%;27,20%;39,94%;27,66%;38,54%;71,46%;61,23%;34,62%;6,69%
2;2 - Privado Nacional;jun/14;472.459.936;905.645;9.939.760;25.909.827;43.367.387;16.121.726;1.448.586;478;97.693.409;2.573.998;12.322.881;17.688.087;12.589.651;1.831.232;639.912;5.006;47.650.767;2.938.776;15.492.336;37.488.178;48.781.884;5.451.232;47.325;6;110.199.738;116.791;1.088.372;1.895.193;4.655.555;4.231.476;15.412.321;11.859.701;39.259.409;9.060.125;57.942.702;19.773.461;784.274;2.548;96;2.706;87.565.912;217.257;7.025.277;13.892.995;8.083.783;3.828.009;2.729.743;25;35.777.091;2.723.298;15.721.008;9.450.983;8.170.582;2.263.250;705.945;622.603;39.657.669;14.655.942
2%;2 - Privado Nacional;jun/14;35,06%;24,12%;47,45%;46,23%;42,34%;36,07%;16,46%;52,24%;41,28%;41,43%;56,41%;49,38%;39,01%;26,94%;32,46%;43,62%;45,41%;65,64%;58,35%;57,54%;57,28%;53,21%;76,43%;0,31%;57,50%;6,34%;9,08%;6,24%;6,72%;7,67%;10,35%;19,07%;10,34%;64,40%;57,90%;69,25%;44,17%;1,37%;0,29%;96,62%;60,52%;12,85%;26,81%;28,42%;17,96%;15,32%;10,36%;0,00%;20,58%;37,40%;51,28%;40,39%;48,72%;35,22%;17,25%;37,96%;43,93%;57,08%
3;3 - Privado com Controle Estrangeiro;jun/14;195.357.060;556.248;1.900.967;4.956.269;7.800.355;2.456.280;346.555;179;18.016.853;1.645.855;3.307.254;5.749.803;6.007.664;1.131.643;88.020;6.450;17.936.689;1.123.604;8.798.747;21.874.299;27.497.810;3.248.722;10.348;1.816;62.555.346;37.891;865.869;2.018.067;4.352.143;3.063.541;8.921.095;4.020.593;23.279.199;2.738.517;19.789.272;4.699.737;770.177;182.588;32.796;95;28.213.181;151.945;2.006.708;4.875.863;5.570.062;2.933.317;1.154.114;0;16.692.008;2.039.491;6.596.029;4.601.873;3.960.952;1.686.705;462.251;13.231;19.360.532;9.303.252
3%;3 - Privado com Controle Estrangeiro;jun/14;14,50%;14,81%;9,08%;8,84%;7,62%;5,50%;3,94%;19,54%;7,61%;26,49%;15,14%;16,05%;18,62%;16,65%;4,47%;56,20%;17,09%;25,10%;33,14%;33,58%;32,29%;31,71%;16,71%;99,69%;32,64%;2,06%;7,22%;6,64%;6,28%;5,55%;5,99%;6,46%;6,13%;19,47%;19,77%;16,46%;43,38%;98,39%;99,70%;3,38%;19,50%;8,99%;7,66%;9,97%;12,38%;11,74%;4,38%;0,00%;9,60%;28,01%;21,52%;19,67%;23,62%;26,25%;11,29%;0,81%;21,45%;36,23%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;1.250.956.013;3.728.960;20.459.576;54.715.508;100.418.260;43.963.840;8.619.845;500;231.906.489;5.072.708;17.760.857;30.396.380;27.931.867;5.674.474;1.443.917;6.507;88.286.710;4.166.396;22.261.296;54.235.936;71.512.273;8.557.679;53.963;1.822;160.789.365;1.835.307;11.909.802;30.278.936;69.037.866;55.002.392;148.478.249;62.113.611;378.656.162;12.751.241;93.892.298;26.478.746;1.447.312;185.032;32.895;95;134.787.618;1.484.288;21.845.996;39.927.715;38.605.766;21.767.904;23.555.104;763.850;147.950.623;6.963.540;27.876.383;21.120.321;15.799.187;6.141.484;3.952.911;1.047.947;82.901.774;25.677.271
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/14;92,83%;99,30%;97,68%;97,62%;98,04%;98,36%;97,92%;54,60%;97,98%;81,64%;81,30%;84,86%;86,55%;83,49%;73,25%;56,70%;84,14%;93,06%;83,85%;83,25%;83,96%;83,52%;87,15%;100,00%;83,89%;99,59%;99,33%;99,63%;99,67%;99,68%;99,74%;99,87%;99,72%;90,64%;93,82%;92,73%;81,52%;99,71%;100,00%;3,38%;93,15%;87,78%;83,38%;81,67%;85,77%;87,14%;89,42%;99,94%;85,09%;95,63%;90,94%;90,27%;94,20%;95,57%;96,56%;63,90%;91,84%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;35.440.257;312;7.910;20.482;21.691;1.802;0;0;52.196;1.695;22.901;50.152;49.860;5.165;2.387;0;132.161;233.058;3.524.532;9.042.145;11.036.946;1.290.631;1.561;0;25.128.873;0;0;0;0;0;0;0;0;593.515;2.051.448;874.770;80.664;0;0;0;3.600.397;42.476;386.827;1.343.929;2.485.099;1.464.258;404.842;0;6.127.431;17.595;105.282;100.351;145.694;25.201;5.075;0;399.198;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/14;2,63%;0,01%;0,04%;0,04%;0,02%;0,00%;0,00%;0,00%;0,02%;0,03%;0,10%;0,14%;0,15%;0,08%;0,12%;0,00%;0,13%;5,21%;13,27%;13,88%;12,96%;12,60%;2,52%;0,00%;13,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,22%;2,05%;3,06%;4,54%;0,00%;0,00%;0,00%;2,49%;2,51%;1,48%;2,75%;5,52%;5,86%;1,54%;0,00%;3,52%;0,24%;0,34%;0,43%;0,87%;0,39%;0,12%;0,00%;0,44%;0,00%
