Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44075;1649999;0;37507;11607;738;0;1699852;-314387;-5;0;0;-366198;-680590;1019262;43520;74667;-145302;-647015;-65569;1281;218295;-261374;-781496;237766;20901;258667;-88490;0;170178;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44075;1185438;0;118750;-43737;423855;0;1684306;-36321;-1039142;0;0;-233654;-1309117;375189;23456;1723;-60963;-54971;-18193;0;565;-167052;-275435;99754;161;99914;-41936;-5938;52040;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44075;958361;148139;70689;299086;176747;0;1653023;-309583;-229049;-108507;0;-187291;-834429;818593;27822;31395;-112995;-137367;-48784;4779;94312;-184645;-325482;493112;13521;506633;-188795;-29686;288152;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44075;813262;0;352421;94304;134413;0;1394400;-128158;-893379;0;0;-64548;-1086084;308315;73627;5561;-60566;-38629;-11877;0;134866;-331560;-228579;79737;-23;79714;22510;-28749;73475;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44075;421830;0;203560;237493;512590;0;1375472;-189626;-510416;0;0;-77553;-777595;597878;90025;23204;-151731;-213449;-35980;789;133796;-463127;-616473;-18596;-6818;-25414;5846;-7956;-27524;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44075;1217600;0;83010;-63437;10090;0;1247261;-294958;-3886;0;0;-239417;-538260;709001;13293;3055;-64836;-408535;-32562;16925;192461;-308131;-588331;120670;-1070;119600;-13305;-10672;95623;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44075;602391;0;185491;7380;228595;4345;1028202;-87087;-285877;0;0;-17842;-390807;637395;674807;25473;-595934;-325079;-88291;0;626059;-355354;-38320;599075;1072;600147;-276124;-18685;305338;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44075;201835;0;-138180;578475;159281;0;801410;-94273;-742582;0;0;-28319;-865174;-63764;306747;0;-147669;-76589;-27757;23999;192720;-72299;199151;135387;-1;135386;-31578;0;103808;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44075;505393;0;228226;18091;21964;14586;788260;-300313;-215663;0;0;-3532;-519509;268752;90592;1022;-25653;-284474;-21643;513;78832;-53690;-214502;54250;0;54250;-28122;-2160;23968;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44075;700918;0;34869;1517;870;4702;742876;-92426;-834;0;0;-67946;-161206;581669;28119;51430;-218918;-137310;-37928;16742;56341;-107587;-349111;232558;740;233299;-75840;-19462;137996;0
