Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44075;113912508;18362480;132274988;14621764;146896751;947971134;8821520;661896;14253117;4147963;27884497;92792430;1068648060;1914231351;0,1066;0,1238;0,1375;0,0691;0,255
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44075;103152628;9422153;112574781;19328448;131903229;787660415;10553866;128770;7292105;765159;18739900;64413820;870814134;1460985531;0,1185;0,1293;0,1515;0,0771;0,3309
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44075;100867766;32631761;133499526;29755480;163255006;682593421;13320335;449074;5635604;0;19405013;67683128;769681562;1269967148;0,1311;0,1734;0,2121;0,1051;0,1383
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44075;69316237;1713241;71029478;29370861;100400338;469515152;418314;0;16470428;76510;16965252;77269928;563750333;1576831948;0,123;0,126;0,1781;0,045;0,1029
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44075;70187172;7252510;77439683;7221222;84660905;484308238;3707923;29227;11865752;2685584;18288486;57419401;560016125;910929201;0,1253;0,1383;0,1512;0,085;0,1492
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44075;138700790;0;138700790;47411085;186111875;404738045;24260651;0;1555214;0;25815865;37814843;468368754;842819723;0,2961;0,2961;0,3974;0,1646;0,054
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44075;21529285;376415;21905700;4729898;26635597;110036814;1133098;3760763;20403563;9783588;35081011;7025255;152143079;268413337;0,1415;0,144;0,1751;0,0816;0,3741
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44075;12806074;2974086;15780160;3349989;19130149;115028360;1268654;0;2976100;377438;4622192;5463280;125113832;216700581;0,1024;0,1261;0,1529;0,0728;0,3423
