Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;44075;Sim;Sim;Não;1460985531;21495740;;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;44075;Sim;Sim;Não;1914231351;139136080;;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;44075;Sim;Sim;Não;910929201;42998009;;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;44075;Sim;Sim;Não;1269967148;40542148;;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;44075;Sim;Sim;Não;268413337;9978978;;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;44075;Sim;Sim;Não;1576831948;NI;;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;44075;Sim;Sim;Não;216700581;5389299;;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;44075;Sim;Sim;Não;92472921;169422;;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;44075;Sim;Sim;Não;104276079;NI;;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;44075;Sim;Sim;Não;141406293;1772268;;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;44075;Sim;Sim;Não;100986722;NI;;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;44075;Sim;Sim;Não;842819723;NI;;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;44075;Sim;Sim;Não;13828856;NI;;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;44075;Sim;Sim;Não;7075912;NI;;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;44075;Sim;Sim;Não;103668746;NI;;S3
