Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44075;128367836;172397175;3822990;470096727;52211;604787;775341726;315847690;3349297;17592523;45387814;63891415;9561746;139782795;89575023;1320547234;78446662;355883627;1754877523;3131035;142357551;1900366109
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44075;90143932;210008950;28280361;260962063;390773;8449615;598235695;576068195;12524432;73352330;535335;34850282;2340;121264719;74653429;1370222037;5012031;266947958;1642182027;211798;112314964;1754708788
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44075;54079467;387614419;260280;169332413;0;10743396;622029975;209255707;41694056;248986;1598562;2978966;958958;47479528;335776182;1214541392;1530639;199110352;1415182383;950000;57287174;1473419557
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44075;46721784;129669702;1038289;347558898;302518;424449;525715639;263358025;26305674;16256339;99464364;12006942;8900167;162933487;51973044;1003980196;24747992;206216346;1234944534;198874;137468424;1372611833
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44075;42930914;59443489;5571401;275265114;288052;529056;384028027;119588556;26162840;15062524;18015495;9353807;4953501;73548166;67529286;644694036;38526270;217559289;900779595;574249;78941741;980295585
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44075;0;0;0;0;0;6656302;6656302;31362988;0;0;640380;9038845;1670933;11350158;233394787;282764235;402849;376785714;659952799;0;104454384;764407182
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44075;2062481;0;768838;50383536;0;0;53214854;56162811;2854478;2019425;22540165;13563586;242937;41220591;5251928;155850184;9710619;58036597;223597400;282667;25997812;249877879
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44075;1275587;3841656;503691;62386836;289397;18;68297185;28427557;582362;9599070;23607227;2444481;4955944;41189085;14295858;152209685;6887528;22026543;181123756;74821;13063056;194261633
