Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44075;1900366109;690219962;1758008558;1320547234;142357551;4379090;146896751;0,1375;0,255;3009;902
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44075;1754708788;667973127;1642393825;1370222037;112314964;3133643;163255006;0,2121;0,1383;4380;773
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44075;1473419557;759239659;1416132383;1214541392;57287174;1773080;100400338;0,1781;0,1029;3374;787
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44075;1372611833;489176453;1235143408;1003980196;137468424;4195676;131903229;0,1515;0,3309;4051;1382
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44075;980295585;397505988;901353844;644694036;78941741;3824693;84660905;0,1512;0,1492;2789;1842
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44075;764407182;300284050;659952799;282764235;104454384;8726464;186111875;0,3974;0,054;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44075;249877879;46454894;223880067;155850184;25997812;1001969;26635597;0,1751;0,3741;22;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44075;194261633;84700137;181198577;152209685;13063056;453265;19130149;0,1529;0,3423;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44075;119910311;56173203;109407729;82207472;10502583;261467;10563589;0,1518;0,1849;95;63
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44075;118839270;5241321;113031182;77895230;5808088;247184;5790205;0,14;0,0142;11;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44075;114521738;20466053;104200886;53937199;10320852;355741;10103197;0,1795;0,0143;87;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44075;90218746;36257718;81864108;68907163;8354638;117828;6905468;0,1623;0,089;523;139
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44075;84279338;13698702;82714133;77918589;1565205;23968;1690192;0,1489;0,0809;7;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44075;83165807;51194;70369086;6920630;12796721;124510;NA;NA%;NA%;1;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44075;79510305;11045598;77502001;68126039;2008304;49718;1954828;0,1539;0,1106;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44075;75581557;20345638;71005154;29459217;4576403;-27524;4936472;0,1317;0,0184;7;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44075;67482986;1376290;64628302;39454624;2854684;39728;2354082;0,1669;0,046;6;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44075;64957079;12062032;59992559;27172684;4964520;103808;4700212;0,1498;0,0329;10;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44075;64073132;4975465;61754307;11221277;2318824;-12134;2111541;0,1848;0,0164;5;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44075;59504796;4378859;58538210;16094511;966586;-23760;958182;0,0904;0,005;4;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44075;57668881;11257859;51459415;21668329;6209466;305338;8919132;0,1383;0,0259;296;2
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44075;53038019;28195740;48872846;33521290;4165173;52040;6669868;0,1582;0,0031;19;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44075;45497159;19231249;41309603;30758582;4187556;73475;5343739;0,1571;0,005;13;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44075;44894939;28055764;40540766;34268257;4354173;288152;4795767;0,1559;0,2177;50;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;44075;40731301;14305029;39266447;23882234;1464854;-63829;*;*%;*%;3;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44075;37432209;2547200;36145092;9651041;1287117;13180;1267584;0,2261;0,0105;2;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44075;35472057;4927574;33833087;32768791;1638970;44808;1482618;0,1444;0,1262;110;46
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44075;35072431;25299941;29851014;25599463;5221418;170178;3404474;0,1646;0,1315;5;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44075;30583547;414484;27437129;12415495;3146418;166047;3115126;0,2009;0,0161;3;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44075;25184224;13094779;21063058;18148005;4121167;95623;3036905;0,1923;0,4489;37;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44075;24691503;1588764;20726694;10104099;3964809;28429;3925945;0,2682;0,0061;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44075;23504482;18010787;20648196;15776115;2856286;120466;3495978;0,1881;0,0015;3;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44075;23416852;3028643;21882286;6625657;1534566;47889;1524753;0,3208;0,0034;4;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44075;21962830;14544625;19839937;16819902;2122893;137996;1790657;0,1407;0,0827;128;12
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;44075;20859316;1128756;16684425;793123;4174891;63926;*;*%;*%;3;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44075;20835935;4680872;18537650;6969459;2298285;15242;2739260;0,1139;0,0542;121;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44075;20110941;11545503;19080278;16312281;1030663;-33798;1996598;0,1497;0,0134;14;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44075;19470221;12402;17407034;6565637;2063187;35496;2063187;0,17;0,007;4;0
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;44075;19238675;485563;10747741;2964489;8490934;266280;*;*%;*%;3;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44075;17990953;10100288;15436799;14191163;2554153;28087;2511340;0,1609;0,1461;44;2
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44075;17363061;978493;16257269;5666711;1105792;5974;1055794;0,2182;0,0104;2;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;44075;16464051;6957542;13164462;11565786;3299588;-10341;3005966;0,3622;0,0148;28;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44075;16234942;7281030;14083681;12721276;2151261;-60413;1040197;0,1022;0,1422;4;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44075;16111679;13444815;13096176;12298292;3015503;45983;3002430;0,1842;0,0132;4;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44075;14250414;12639257;12196376;11429284;2054038;67313;2046629;0,1502;0,0045;4;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44075;13873176;0;13552778;0;320398;0;234837;0,4595;0,0223;0;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44075;13313653;2767789;12180044;4973565;1133609;-11873;1131475;0,2003;0,0038;2;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44075;12822912;2238302;11229093;4731316;1593819;-32607;1495868;0,2056;0,0097;2;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44075;12173224;3331315;11358533;8741370;814691;-11237;782285;0,1315;0,1595;4;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44075;12060872;8684408;9196779;6316836;2864093;64672;2735240;0,3304;0,0687;3;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44075;11594508;10539278;10248820;9763546;1345688;36336;1341624;0,1276;0,004;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44075;11373088;6171570;9889127;9537511;1483961;49302;1356015;0,216;0,0521;128;34
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44075;11175352;10102565;8447186;1583378;2728166;-9038;1955531;0,1591;0,0201;2;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44075;11136811;4013312;9934826;8916959;1201985;5923;830660;0,1265;0,0189;2;0
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;44075;11028948;647892;10538866;4202976;490082;13162;452876;0,1054;0,2153;8;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;44075;10963038;4955870;10247929;8977689;715109;28322;887853;0,1325;0,0125;8;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44075;10407175;54643;9816046;127117;591130;10058;340311;0,1282;0,1645;0;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44075;10218736;5529533;9192960;7844797;1025776;28349;1066869;0,1836;0,2665;99;170
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44075;10053284;2019709;2197764;2070231;7855520;16128;930267;0,294;0,0182;63;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44075;9619020;0;2614763;66;7004258;66515;7004258;0,4624;0,0487;2;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44075;9573496;1957869;8821028;6038202;752468;2521;721274;0,1613;0,0065;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44075;9439824;8774856;8338294;2385055;1101530;30795;1100849;0,1122;0,0011;5;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;44075;9393201;60752;8833544;1624330;559657;22142;381957;0,2021;0,0145;0;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44075;9251758;8642254;7756804;7633429;1494954;25834;1488674;0,1779;0,0017;2;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44075;8683940;6128133;7612850;6767226;1071090;64189;986623;0,1701;0,0096;2;0
MERCADOPAGO PRUDENCIAL;1000084820;n4;;I;2;OSASCO;SP;44075;8459954;0;8181274;4697721;278680;7487;NA;NA%;NA%;1;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44075;8292936;5333008;7107110;6721424;1185826;-7708;1040461;0,2623;0,0847;4;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44075;8145074;2131607;6312443;5266101;1832631;10809;1823364;0,2933;0,0017;2;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44075;7577037;5736711;5614932;4732183;1962105;-2753;1272945;0,1865;0,0134;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44075;7438802;3745;7153756;15870;285046;8102;189642;0,1444;0,0239;0;1
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;44075;7420529;241704;7126020;697;294509;2472;180990;0,1248;0,0685;0;1
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;44075;7409736;4287547;5666849;5340984;1742888;84473;1742793;0,3154;0,0235;0;100
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44075;7246619;3770812;5492346;4816681;1754273;39331;1751913;0,326;0,0513;0;78
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44075;7211650;4467877;6381304;5936393;830345;36620;756646;0,1604;0,1062;18;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;44075;7191176;0;6774551;0;416625;0;183138;1,083;0,028;0;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44075;6997687;6574754;5898789;5331476;1098898;33402;1098791;0,1841;0,0175;3;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44075;6952236;2937873;6408955;5631124;543281;9044;507558;0,1409;0,1697;64;9
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44075;6510138;1782037;634145;115662;5875993;35457;5864427;0,6043;0,0042;4;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44075;6460348;611261;5936657;5561937;523692;3013;431883;0,1733;0,0218;6;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44075;6429273;4135134;4362122;3197891;2067152;92659;1486849;0,2837;0,0016;5;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44075;6159984;3708406;5161299;3104356;998685;6385;864882;0,2111;0,0219;2;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44075;5848196;5477816;4648996;4426301;1199199;34575;1193665;0,2132;0,008;3;0
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44075;5739471;3477323;5402016;4785532;337455;1034;255871;0,1196;0,3801;6;2
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;44075;5451684;41981;5253439;3602322;198245;-4224;198245;0,1882;0,1879;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44075;5132722;2805504;4596306;3200278;536416;33038;521158;0,1587;0,2851;0;110
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44075;4989326;3070675;4204266;3231483;785061;23792;775113;0,1892;0,0565;0;33
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;44075;4943496;36499;4779853;0;163642;1084;162444;0,1448;0,1464;0;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;44075;4904565;244691;4477164;203754;427401;0;327176;0,3087;0,0871;0;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;44075;4762613;3403857;3862241;3705446;900372;32827;894642;0,3037;0,0009;3;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44075;4653523;4226714;4078457;3715521;575067;21398;590736;0,1314;0,0146;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44075;4536882;2962209;3760521;2166715;776362;48022;768237;0,2259;0,0498;0;32
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;44075;4388188;97289;4159272;207836;228916;8761;176201;0,1448;0,102;0;0
