cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/19;753.548.666;2.501.781;9.809.695;23.375.667;34.158.856;10.299.160;3.549.950;803.307;84.498.415;590.844;5.088.208;6.001.485;14.048.288;9.896.564;27.749.970;212.794;63.588.153;534.403;3.103.506;2.219.611;49.109;111;0;28.751;5.935.491;151.172;4.991.718;1.356.143;151.326;44.454;0;0;6.694.813;754.884;12.706.901;15.621.078;7.996.746;6.114.002;3.971.212;0;47.164.823;3.464.535;4.934.882;4.158.509;5.511.999;3.145.049;3.887.297;1.140.435;26.242.706;1.314.132;22.810.307;44.286.360;95.407.896;65.999.491;168.980.196;47.863.740;446.662.122;111.097;3.900.133;9.075.980;7.553.941;2.971.576;2.816.905;300;26.429.932;885.143;2.089.533;4.179.334;4.812.487;407.351;171.063;69.963;12.614.874;
1%;1 - Público;mar/19;42,47%;42,43%;20,22%;27,16%;34,76%;42,17%;47,01%;61,94%;31,06%;56,62%;36,58%;25,31%;38,64%;63,22%;95,68%;37,28%;52,88%;25,30%;10,71%;24,95%;9,24%;0,12%;0,00%;9,86%;14,02%;16,93%;6,27%;5,05%;15,94%;13,30%;0,00%;0,00%;6,13%;48,81%;25,82%;22,94%;27,58%;35,69%;26,36%;0,00%;26,18%;47,55%;27,71%;23,28%;26,51%;40,33%;52,17%;40,90%;32,09%;71,34%;76,81%;74,04%;78,43%;84,48%;91,86%;94,11%;84,93%;77,82%;44,75%;45,32%;68,63%;70,13%;75,75%;100,00%;55,24%;76,90%;67,02%;57,40%;47,71%;25,87%;47,88%;91,30%;53,35%;
2;2 - Privado Nacional;mar/19;767.645.205;2.671.891;27.864.218;49.235.249;50.949.230;11.187.401;3.085.793;44.030;145.037.812;329.521;4.628.113;9.834.228;11.852.413;2.551.068;449.976;10.977;29.656.297;1.285.043;21.019.727;5.045.937;149.518;7.670;1.359.294;7.798;28.874.988;398.185;45.927.920;10.632.951;379.376;157.290;17.140;418.455;57.931.317;593.251;19.701.524;31.918.142;13.557.605;9.357.340;7.891.682;14.563;83.034.107;2.754.050;9.883.087;10.616.481;9.134.030;3.428.805;3.137.357;1.578.666;40.532.476;275.890;4.543.575;10.219.800;17.898.068;8.733.056;11.437.933;2.275.320;55.383.643;24.055;3.164.185;6.503.090;2.146.719;643.322;528.939;0;13.010.309;197.117;542.992;2.276.597;4.779.580;1.146.390;155.439;6.413;9.104.528;
2%;2 - Privado Nacional;mar/19;43,26%;45,32%;57,43%;57,21%;51,84%;45,81%;40,86%;3,39%;53,32%;31,57%;33,27%;41,47%;32,60%;16,30%;1,55%;1,92%;24,66%;60,83%;72,55%;56,71%;28,13%;8,41%;95,04%;2,67%;68,22%;44,59%;57,66%;39,61%;39,96%;47,07%;17,94%;98,57%;53,06%;38,36%;40,04%;46,87%;46,75%;54,62%;52,39%;9,95%;46,08%;37,79%;55,49%;59,42%;43,94%;43,97%;42,10%;56,62%;49,56%;14,98%;15,30%;17,09%;14,71%;11,18%;6,22%;4,47%;10,53%;16,85%;36,31%;32,47%;19,50%;15,18%;14,22%;0,00%;27,19%;17,13%;17,42%;31,27%;47,38%;72,81%;43,51%;8,37%;38,50%;
3;3 - Privado com Controle Estrangeiro;mar/19;253.278.699;722.042;10.842.548;13.444.060;13.165.174;2.934.727;915.628;449.677;42.473.857;123.251;4.195.329;7.875.752;10.453.153;3.207.722;802.044;347.099;27.004.351;293.193;4.850.475;1.631.981;332.888;83.430;70.900;255.167;7.518.034;343.645;28.731.364;14.851.723;418.685;132.396;78.422;6.064;44.562.298;198.324;16.798.685;20.558.696;7.442.963;1.659.877;3.200.952;131.825;49.991.322;1.068.243;2.991.505;3.091.834;6.143.474;1.224.919;426.689;69.124;15.015.788;251.930;2.343.429;5.304.613;8.335.466;3.393.768;3.537.388;721.471;23.888.065;7.606;1.650.909;4.445.861;1.306.621;622.201;372.988;0;8.406.186;68.772;485.321;825.655;495.321;20.826;30.754;254;1.926.904;
3%;3 - Privado com Controle Estrangeiro;mar/19;14,27%;12,25%;22,35%;15,62%;13,40%;12,02%;12,13%;34,67%;15,61%;11,81%;30,16%;33,21%;28,75%;20,49%;2,77%;60,80%;22,46%;13,88%;16,74%;18,34%;62,63%;91,47%;4,96%;87,47%;17,76%;38,48%;36,07%;55,33%;44,10%;39,62%;82,06%;1,43%;40,81%;12,82%;34,14%;30,19%;25,67%;9,69%;21,25%;90,05%;27,74%;14,66%;16,80%;17,30%;29,55%;15,71%;5,73%;2,48%;18,36%;13,68%;7,89%;8,87%;6,85%;4,34%;1,92%;1,42%;4,54%;5,33%;18,94%;22,20%;11,87%;14,68%;10,03%;0,00%;17,57%;5,97%;15,57%;11,34%;4,91%;1,32%;8,61%;0,33%;8,15%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;1.365.134.201;5.497.543;42.276.495;75.710.051;87.017.589;21.399.231;6.591.292;1.185.414;239.677.615;922.112;10.145.979;16.833.463;26.180.655;12.369.118;28.398.263;562.373;95.411.961;1.942.982;26.886.731;6.738.388;442.927;85.965;1.416.292;283.919;37.797.202;522.713;68.731.721;19.746.837;827.435;237.211;29.563;424.519;90.519.998;1.546.458;49.177.790;68.097.907;28.997.314;17.126.361;15.044.414;146.388;180.136.632;7.114.364;16.698.465;16.420.112;18.823.646;7.096.984;6.942.024;2.763.048;75.858.643;1.051.033;14.854.938;29.478.276;51.596.247;30.960.710;63.424.955;19.264.733;210.630.893;129.026;8.170.099;18.289.390;8.666.235;2.683.468;2.248.215;11;40.186.444;1.151.030;3.117.834;7.281.555;10.067.337;1.574.487;356.979;76.629;23.625.851;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;76,93%;93,25%;87,14%;87,98%;88,55%;87,63%;87,29%;91,40%;88,11%;88,36%;72,93%;70,99%;72,02%;79,01%;97,92%;98,51%;79,35%;91,97%;92,80%;75,73%;83,33%;94,25%;99,03%;97,33%;89,29%;58,53%;86,29%;73,57%;87,15%;70,99%;30,94%;100,00%;82,90%;100,00%;99,94%;100,00%;100,00%;99,97%;99,87%;100,00%;99,97%;97,63%;93,76%;91,90%;90,54%;91,00%;93,16%;99,10%;92,75%;57,06%;50,02%;49,29%;42,42%;39,63%;34,48%;37,88%;40,05%;90,38%;93,75%;91,33%;78,73%;63,33%;60,45%;3,67%;83,99%;100,00%;100,00%;100,00%;99,80%;99,99%;99,92%;100,00%;99,91%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;45.403.719;34.393;1.972.272;1.161.252;740.009;155.808;24.763;0;4.088.497;50.488;2.472.874;3.712.589;5.424.139;1.678.430;47.967;365;13.386.851;0;0;0;0;0;0;0;0;254.678;6.810.302;6.454.769;116.145;96.412;65.830;0;13.798.137;0;29.320;10;0;4.858;19.431;0;53.620;6.223;297.672;101.977;433.897;23.590;3.962;8.890;876.211;86.543;1.565.063;3.690.339;5.502.447;1.655.945;149.633;107.643;12.757.614;1.069;60.239;57.939;170.150;105.217;48.175;0;442.790;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;2,56%;0,58%;4,07%;1,35%;0,75%;0,64%;0,33%;0,00%;1,50%;4,84%;17,78%;15,66%;14,92%;10,72%;0,17%;0,06%;11,13%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;28,52%;8,55%;24,05%;12,23%;28,85%;68,89%;0,00%;12,64%;0,00%;0,06%;0,00%;0,00%;0,03%;0,13%;0,00%;0,03%;0,09%;1,67%;0,57%;2,09%;0,30%;0,05%;0,32%;1,07%;4,70%;5,27%;6,17%;4,52%;2,12%;0,08%;0,21%;2,43%;0,75%;0,69%;0,29%;1,55%;2,48%;1,30%;0,00%;0,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
