cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/19;923.189.500;3.331.128;11.588.045;30.981.011;59.041.003;32.836.226;18.774.039;376.367;156.927.821;1.211.165;4.931.417;11.710.558;12.521.285;5.063.203;2.420.932;815.749;38.674.309;170.425;942.553;2.044.672;2.122.641;351.268;235;103.684;5.735.478;1.437.568;13.666.021;36.178.217;83.615.011;68.072.729;194.872.260;90.609.813;488.451.619;2.539.373;28.676.912;6.726.005;424.021;16.115;15.320;342.829;38.740.575;2.462.854;19.182.627;51.752.726;41.097.420;28.372.041;22.291.882;199.071;165.358.621;2.381.231;7.778.352;7.175.534;4.302.584;2.347.541;1.993.753;320.810;26.299.805;3.001.273
1%;1 - Público;mar/19;48,65%;66,38%;39,05%;40,07%;43,25%;48,44%;60,70%;99,55%;45,14%;18,40%;21,62%;29,97%;35,29%;47,91%;64,92%;97,19%;32,48%;6,48%;3,88%;3,47%;2,63%;3,20%;0,84%;96,73%;3,22%;85,06%;82,25%;83,93%;83,84%;83,44%;81,05%;73,91%;80,63%;13,86%;18,39%;12,65%;12,18%;8,25%;21,68%;99,99%;16,74%;81,83%;52,73%;65,74%;65,57%;72,67%;77,97%;100,00%;66,51%;24,02%;23,29%;27,94%;19,47%;26,22%;37,31%;75,88%;24,85%;4,90%
2;2 - Privado Nacional;mar/19;714.400.288;1.036.546;14.159.369;35.989.462;60.249.113;27.082.324;8.720.132;927;147.237.873;4.396.031;16.261.929;23.876.816;18.172.744;3.959.385;983.024;6.139;67.656.068;1.635.759;14.236.086;34.146.675;47.039.781;6.189.964;11.371;0;103.259.637;211.142;1.620.302;3.725.121;9.354.380;8.576.726;33.582.769;26.945.124;84.015.562;12.145.426;97.639.226;36.204.802;1.763.498;29.457;1.008;0;147.783.418;385.659;11.925.471;21.547.977;12.944.057;5.453.409;3.880.930;8;56.137.510;5.270.721;17.968.713;11.873.715;10.596.343;2.947.719;1.744.483;67.532;50.469.226;57.840.995
2%;2 - Privado Nacional;mar/19;37,65%;20,65%;47,72%;46,55%;44,13%;39,96%;28,19%;0,25%;42,36%;66,80%;71,30%;61,10%;51,21%;37,47%;26,36%;0,73%;56,81%;62,17%;58,61%;57,91%;58,18%;56,32%;40,85%;0,00%;58,06%;12,49%;9,75%;8,64%;9,38%;10,51%;13,97%;21,98%;13,87%;66,28%;62,62%;68,10%;50,64%;15,08%;1,43%;0,00%;63,84%;12,81%;32,78%;27,37%;20,65%;13,97%;13,57%;0,00%;22,58%;53,16%;53,80%;46,24%;47,94%;32,93%;32,64%;15,97%;47,70%;94,48%
3;3 - Privado com Controle Estrangeiro;mar/19;259.882.863;650.747;3.927.324;10.337.895;17.230.900;7.863.360;3.436.220;756;43.447.203;973.659;1.613.475;3.489.352;4.790.319;1.544.862;325.093;17.461;12.754.221;825.062;9.110.145;22.770.902;31.689.424;4.448.873;16.230;3.500;68.864.136;41.398;1.329.783;3.199.872;6.765.456;4.936.943;11.981.494;5.036.308;33.291.254;3.639.714;29.599.744;10.229.677;1.295.042;149.762;54.325;29;44.968.293;161.237;5.272.618;5.423.219;8.639.502;5.217.192;2.418.084;0;27.131.851;2.262.887;7.653.722;6.629.899;7.202.122;3.657.268;1.605.912;34.457;29.046.268;379.637
3%;3 - Privado com Controle Estrangeiro;mar/19;13,70%;12,97%;13,23%;13,37%;12,62%;11,60%;11,11%;0,20%;12,50%;14,80%;7,07%;8,93%;13,50%;14,62%;8,72%;2,08%;10,71%;31,36%;37,51%;38,62%;39,19%;40,48%;58,31%;3,27%;38,72%;2,45%;8,00%;7,42%;6,78%;6,05%;4,98%;4,11%;5,50%;19,86%;18,98%;19,24%;37,19%;76,67%;76,89%;0,01%;19,43%;5,36%;14,49%;6,89%;13,78%;13,36%;8,46%;0,00%;10,91%;22,82%;22,91%;25,82%;32,59%;40,85%;30,05%;8,15%;27,45%;0,62%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;1.739.550.658;4.961.238;28.745.363;74.976.785;132.613.234;65.837.981;29.544.369;377.671;337.056.642;5.179.533;17.084.422;30.150.620;27.521.326;8.351.253;2.909.721;833.496;92.030.370;2.353.799;20.263.136;48.997.920;67.363.265;9.359.324;22.530;107.185;148.467.159;1.657.363;16.528.394;42.856.317;99.288.599;81.309.181;239.790.789;122.356.251;603.786.894;15.337.385;136.585.557;45.847.161;2.784.701;183.995;70.581;342.857;201.152.236;2.724.906;25.442.367;63.286.710;52.056.176;33.956.212;26.007.922;198.661;203.672.955;8.384.053;28.841.078;22.107.107;19.788.850;8.051.247;4.613.257;376.905;92.162.497;61.221.905
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/19;91,68%;98,86%;96,87%;96,98%;97,14%;97,13%;95,52%;99,90%;96,96%;78,71%;74,91%;77,16%;77,56%;79,03%;78,03%;99,30%;77,28%;89,46%;83,43%;83,10%;83,32%;85,16%;80,94%;100,00%;83,47%;98,06%;99,47%;99,43%;99,55%;99,66%;99,73%;99,81%;99,67%;83,70%;87,60%;86,24%;79,96%;94,20%;99,90%;100,00%;86,89%;90,54%;69,93%;80,39%;83,05%;86,97%;90,97%;99,79%;81,92%;84,56%;86,35%;86,09%;89,54%;89,93%;86,32%;89,15%;87,10%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;42.846.445;3.454;55.335;139.799;227.189;98.362;31.341;0;555.480;58.421;109.413;153.908;79.171;6.993;6.535;0;414.441;217.965;3.239.087;7.992.228;10.421.673;1.097.959;1.868;0;22.970.780;2.165;8.245;22.183;40.818;26.046;30.727;747;130.932;1.186.565;4.942.791;2.190.839;411.906;23;0;0;8.732.124;32.691;1.660.937;958.382;3.671.625;2.241.991;892.148;0;9.457.776;9.334;326.152;51.292;94.635;51.854;51.544;101;584.912;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/19;2,26%;0,07%;0,19%;0,18%;0,17%;0,15%;0,10%;0,00%;0,16%;0,89%;0,48%;0,39%;0,22%;0,07%;0,18%;0,00%;0,35%;8,28%;13,34%;13,55%;12,89%;9,99%;6,71%;0,00%;12,92%;0,13%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;6,48%;3,17%;4,12%;11,83%;0,01%;0,00%;0,00%;3,77%;1,09%;4,57%;1,22%;5,86%;5,74%;3,12%;0,00%;3,80%;0,09%;0,98%;0,20%;0,43%;0,58%;0,96%;0,02%;0,55%;0,00%
