Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41518;NA;NA;75972957;45807226;118377268;725288153;10074912;11354;1022082;7212;11115560;36951723;773355436;NA;NA%;NA%;0,1531;NA%;0,2175
ITAU;10069;b1;;C;2;SAO PAULO;SP;41518;NA;NA;85658857;37770727;122937961;621386228;0;1774609;19571164;1974173;23319945;36847149;681553323;NA;NA%;NA%;0,1804;NA%;0,4982
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41518;NA;NA;62025935;41076535;102882514;538894185;0;0;17188321;0;17188321;11036368;567118874;NA;NA%;NA%;0,1814;NA%;0,4194
BRADESCO;10045;b1;;C;2;OSASCO;SP;41518;NA;NA;71631970;21233625;92733723;490011580;9331233;93890;39862867;2072831;51360822;23334834;564707235;NA;NA%;NA%;0,1642;NA%;0,4509
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41518;NA;NA;40910253;33556468;73462946;410136623;0;0;1419102;0;1419102;19752990;431308715;NA;NA%;NA%;0,1703;NA%;0,1105
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41518;NA;NA;64590027;2692424;67278237;292584151;0;0;16689410;584600;17274010;15354431;325212592;NA;NA%;NA%;0,2069;NA%;0,321
HSBC;51152;b1;;C;3;CURITIBA;PR;41518;NA;NA;10048699;2279756;12328455;78725701;0;0;7201459;313418;7514877;9909117;96149695;NA;NA%;NA%;0,1282;NA%;0,3502
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41518;NA;NA;11586427;5793214;16608586;54476389;6201924;1163226;17931241;4890820;30187211;3626438;88290037;NA;NA%;NA%;0,1881;NA%;0,3795
