Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41518;1132232010;561541926;1067759435;886384859;64472574;2741241;118377268;0,1531;0,2175;5420;1564
ITAU;10069;b1;;C;2;SAO PAULO;SP;41518;1011197822;386944543;924730924;704187349;86466898;3580390;122937961;0,1804;0,4982;3971;865
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41518;858538302;463350850;831964507;723894349;26573795;1865359;73462946;0,1703;0,1105;3173;690
BRADESCO;10045;b1;;C;2;OSASCO;SP;41518;778670753;311222556;711441648;592642855;67229105;3070481;92733723;0,1642;0,4509;4725;1417
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41518;724950032;267946626;679618870;457890210;45331163;1624097;102882514;0,1814;0,4194;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41518;475021713;221936681;410576120;305204986;64445593;843946;67278237;0,2069;0,321;2729;1284
HSBC;51152;b1;;C;3;CURITIBA;PR;41518;163089322;61055446;153118243;96308940;9971078;-196388;12328455;0,1282;0,3502;868;402
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41518;131057913;50109586;123919370;106594747;7138543;301000;9419245;0,1391;0,2391;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41518;119583327;13811458;107987055;78919349;11596272;614791;16608586;0,1881;0,3795;13;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41518;112445954;54903448;105348410;75224911;7097545;-159115;10728322;0,1391;0,0348;117;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41518;66918679;22918372;59169400;30557907;7749279;48467;7682699;0,1451;0,1544;135;17
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41518;53753617;26023228;48744218;40514998;5009399;182969;6654722;0,1961;0,0863;503;217
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41518;37503247;4411341;34331863;25713975;3171384;65404;4256314;0,1954;0,2705;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41518;35038269;1262591;31567936;16092302;3470333;-54318;3470333;0,1839;0,0209;8;1
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41518;33863244;11590719;31350333;16885548;2512912;103695;5044842;0,1663;0,0465;223;5
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41518;29112398;2622770;27485176;6903776;1627222;98975;1627222;0,1581;0,0235;3;0
BMG;30290;b1;;C;2;SAO PAULO;SP;41518;28193273;20286240;24740353;10125241;3452920;70847;4074869;0,1362;0,0499;23;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41518;25480091;22668978;23297207;18532792;2182884;34935;3147711;0,1372;0,0519;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41518;24404647;10175316;23610947;23132395;793700;11906;925756;0,1654;0,1097;5;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41518;21447454;13541777;18693764;14862533;2753691;-42149;2624047;0,1517;0,4598;4;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41518;20588677;6706063;17841991;9934168;2746686;49670;2878962;0,1697;0,0316;12;2
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41518;19117017;6941213;18543049;16917765;573968;10056;594053;0,128;0,1185;5;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41518;17201596;8966624;15336871;11243169;1864725;67329;2767863;0,1732;0,0308;7;0
BIC;32119;b1;;C;2;SAO PAULO;SP;41518;15574560;10926997;13646758;11477301;1927802;5242;2853451;0,1887;0,0555;37;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41518;14893096;7770746;13769298;9938387;1123799;27714;1687166;0,1398;0,0091;16;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41518;14519006;8014765;12153730;10644662;2365276;41248;2365276;0,1724;0,0805;36;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41518;14111004;4060236;13209085;12417561;901919;27834;899178;0,1512;0,2248;136;27
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41518;13931535;9018503;13061795;10216733;869740;-47248;1251050;0,1203;0,1705;189;4
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41518;13809679;2863914;12880087;5157352;929592;-34655;928230;0,1893;0,0604;5;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;41518;13723862;7589979;11726230;10799484;1997632;24900;1967460;0,2063;0,1176;54;1
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41518;12530530;302425;11177747;1744209;1352783;35596;1403958;0,1806;0,0249;2;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41518;11584131;8857206;10228365;4291049;1355766;13747;1266442;0,1283;0,134;1;0
BRB;31976;b1;;C;1;BRASILIA;DF;41518;11274351;7434025;10271603;8723583;1002748;30384;1296586;0,1422;0,1553;112;7
