Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41518;16186984;225552249;108115169;521347107;-19621835;501725273;307781;1190258;686319;-31248;2153110;149387712;100422189;29375642;1132918328;686319;1132232010
ITAU;10069;b1;;C;2;SAO PAULO;SP;41518;14265073;185501296;184099429;332826671;-23894269;308932402;1498241;25668851;15805105;-956783;42015415;154342650;76121899;61724763;1027002928;15805105;1011197822
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41518;7083407;89906506;154920174;454772049;-22438958;432333092;0;0;0;0;0;52508843;112619314;9166967;858538302;0;858538302
BRADESCO;10045;b1;;C;2;OSASCO;SP;41518;16058806;144755261;163885437;280461706;-19957871;260503835;98917;12044180;6208064;-511860;17839300;84057241;55513744;42265193;784878816;6208064;778670753
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41518;1586;5603893;74320400;267931969;-1779257;266152712;0;0;0;0;0;20387876;271284661;87198905;724950032;0;724950032
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41518;5722457;44774644;74825695;193394539;-14416634;178977905;84358;9160513;4949902;-153809;14040964;98870116;40077723;22682110;479971615;4949902;475021713
HSBC;51152;b1;;C;3;CURITIBA;PR;41518;3080692;16523920;28541397;52860092;-3723269;49136823;20276;1634768;818020;-44757;2428307;48233084;11398045;4565074;163907341;818020;163089322
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41518;462631;37994713;36091044;43169239;-1425566;41743674;32291;1443795;1180784;-40556;2616313;9588025;1490526;2251771;132238697;1180784;131057913
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41518;465523;41925099;38817014;11849947;-159236;11690711;0;0;0;0;0;19279318;321226;7084436;119583327;0;119583327
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41518;135525;15936001;31784615;52723641;-3573790;49149851;23660;2852370;1732281;-95527;4512783;11032978;1201863;424619;114178236;1732281;112445954
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41518;579179;10287015;17689130;14028063;-1677769;12350294;2702;133301;21681;-2226;155458;20542644;4076428;1260211;66940360;21681;66918679
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41518;686747;1854480;18403491;24664117;-1516816;23147301;468;131744;59541;-6144;185609;3828170;5094086;613273;53813158;59541;53753617
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41518;2636874;19470727;4904214;4345373;-307962;4037411;0;0;0;0;0;5232477;69844;1151700;37503247;0;37503247
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41518;530516;12902442;9462482;639309;-31504;607805;0;0;0;0;0;11314513;122763;97748;35038269;0;35038269
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41518;132089;8197716;11650556;11001410;-821108;10180302;0;0;0;0;0;2967608;499975;234998;33863244;0;33863244
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41518;348324;3686313;2760075;1615613;-11196;1604418;0;0;0;0;0;20538459;136585;38224;29112398;0;29112398
BMG;30290;b1;;C;2;SAO PAULO;SP;41518;117651;589299;2316941;20162982;-854659;19308323;392;16183;10422;-534;26464;3110798;1121342;1612878;28203695;10422;28193273
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41518;2845;993881;175253;22314013;-961557;21352456;4649;809996;550390;-29363;1335672;1715952;281292;173130;26030481;550390;25480091
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41518;16633;10372352;3018318;9994790;-22048;9972742;0;0;0;0;0;264377;658665;101561;24404647;0;24404647
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41518;48988;1995158;1350854;12474118;-934770;11539348;4164;465105;297821;-27649;739440;4373190;491768;1206529;21745275;297821;21447454
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41518;28266;3149701;5301792;4794189;-293002;4501187;0;328937;0;0;328937;6712456;469828;96510;20588677;0;20588677
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41518;3194;7273977;3538305;6457822;-39217;6418605;0;0;0;0;0;615776;1196597;70562;19117017;0;19117017
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41518;23740;2438313;2880852;8056156;-156167;7899989;0;0;0;0;0;3729881;135421;93399;17201596;0;17201596
BIC;32119;b1;;C;2;SAO PAULO;SP;41518;323359;661292;1987771;9412018;-419405;8992614;4817;488717;137510;-10590;620454;2231298;662485;232798;15712070;137510;15574560
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41518;17490;2988359;1575372;6766477;-125535;6640941;0;0;0;0;0;3618087;8283;44564;14893096;0;14893096
