Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2015;473059299;2007112;4800351;13065689;26073480;11948929;357560;0;58253122;1479773;1425988;2883882;3230765;320986;2;352;9341749;458042;1517088;3654465;5143095;661887;475;0;11435051;2031628;11708857;30749717;69496343;54780538;141796447;51172410;361735940;2554489;5749978;1523730;114519;361;0;0;9943077;264915;620824;2110614;698468;437916;223135;0;4355872;2564041;4519109;4162477;3282922;1701471;1667877;96591;17994488;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2015;284383368;185619;4310280;12056479;23731450;13428322;7863523;220409;61796082;408023;3148093;8468917;9454070;3885593;1817469;260905;27443069;55954;1069373;2715693;3663580;579264;143;21458;8105466;23014;496766;1047735;2831570;2745556;12902901;14800280;34847821;1122797;17331608;2758375;145240;22;0;208446;21566488;1672500;14564796;33902944;28679268;19853146;22391356;64483;121128493;303618;1407559;2959195;1025300;556192;531630;69081;6852575;2643374
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2015;206035801;320207;3984195;10308922;19434589;9377562;2268731;5;45694210;806384;2477587;3463661;5161520;951882;103327;0;12964361;521250;3120502;7129457;9456297;1148963;2010;0;21378479;63620;635673;1370018;3219374;3022209;11935375;10481695;30727963;5215501;37312163;12351431;173025;0;0;0;55052120;1418;60300;128421;134240;89750;42510;0;456639;1775356;6026286;3220109;4910647;1445160;140580;0;17518137;22243892
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2015;143081819;204478;3451769;9111099;14391616;5413168;1276358;48;33848536;784685;4501635;4747298;2662194;215244;12458;12;12923526;379481;3543137;8289602;9310178;894687;4852;1;22421938;42647;400189;888613;2298831;2124016;8101667;6281868;20137830;3671984;15067687;6341197;229663;1869;19;0;25312419;215112;3161011;5577522;3821347;1781500;802062;53;15358606;1362748;5372647;2102422;2201314;722950;240006;17842;12019929;1059034
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2015;125620592;307934;1511618;3810361;5516046;1792314;476923;179;13415375;468911;940852;2077999;2905651;581238;62204;85;7036939;588039;4617239;10861353;13200149;1339766;7528;2110;30616183;41201;1025546;2456938;5116306;3727114;9034920;3754165;25156191;1300952;13234723;2744706;477300;114977;26992;19;17899669;37690;823625;1098265;899169;441367;175130;0;3475247;1701299;4713074;3087589;3537971;1382871;429178;855;14852837;13168151
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2015;34872499;96800;691463;1601818;1958432;588543;114282;0;5051338;11135;50980;44829;16331;2349;2757;0;128381;756586;4360681;9879602;12085969;1124522;304;0;28207665;0;0;0;0;0;0;0;0;228590;724905;190372;140;0;0;0;1144007;819;9353;17359;48737;50415;2967;0;129649;8368;70251;27088;89432;16320;0;0;211460;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2015;26464466;0;0;0;0;0;0;0;0;33607;88187;642702;119395;1280;0;0;885171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3100;2532;5151;5432;30481;0;46713;1108;5436;93569;10941;1860;427;0;113341;25419241
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2015;21530907;14657;127462;327319;584354;145030;7732;99;1206652;546638;1268958;1791263;1582100;468422;713;5434;5663526;32045;235940;559956;838013;143848;230;0;1810032;8143;110536;251208;648280;346452;2721521;1725748;5811887;486934;2715340;445209;6;0;0;0;3647489;29941;255269;1002124;267847;2353;0;0;1557535;248608;535718;691161;71047;10099;29507;8674;1594815;238971
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2015;15943975;124517;745351;2018349;3446282;1393836;541230;114;8269679;38483;608745;433305;192976;20263;47846;3;1341621;625;15328;39781;59222;14284;109;0;129350;2805;48673;130667;334587;308717;1211136;940794;2977379;50074;80075;6616;0;0;0;0;136764;28171;126355;651032;366717;268048;329573;12609;1782506;115213;640980;183363;207801;92955;66241;124;1306676;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2015;13125338;50576;420103;1146200;2068120;940038;319601;0;4944638;5942;8735;21463;10330;11;0;0;46481;175820;641847;1613322;2760257;481424;710;0;5673379;1143;7964;19984;43409;32539;74642;15334;195015;198652;966176;147173;9797;485;0;0;1322282;0;0;0;0;0;0;0;0;6798;93381;202416;307866;123157;195633;14292;943543;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2015;9633946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62841;1031034;1878279;1614979;595680;348893;0;5531706;70892;520025;1017828;1485849;849323;158322;0;4102240;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2015;9567938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80018;1431754;3415021;4147452;493264;429;0;9567938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2015;7627693;23784;361801;911694;1977054;889406;276676;0;4440416;20197;366918;383359;635938;141628;10870;0;1558911;2992;21274;53858;78980;12686;8;0;169799;673;25483;59204;153731;144769;193059;51;576969;5;2177;204;0;0;0;0;2386;37703;69214;62732;79420;51655;58293;2;359020;17815;40684;195107;81073;35004;12993;137518;520193;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2015;7526470;568;7477;20020;21849;2087;0;0;52000;194;424;1161;1208;72;0;0;3060;61941;1110541;2642174;3257793;398280;657;0;7471387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;11;1;0;0;0;23;0
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2015;7264615;6285;186468;500492;895586;450514;141072;0;2180417;2055;113367;211960;146728;22136;9995;0;506242;31873;533119;1231518;1447501;124378;21;0;3368411;41;99;573;868;500;943;0;3024;3104;94195;22482;13;0;0;0;119794;581;8757;30275;20314;7338;470;0;67735;2217;681934;169734;49034;3802;499;0;907220;111773
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2015;6901383;35666;368907;1101881;2010580;900892;230009;0;4647935;43;475;6328;201;0;0;0;7048;195;276;141;0;0;0;0;612;0;0;0;0;0;0;0;0;176559;1389492;513490;36613;0;0;0;2116154;0;0;953;0;0;0;0;953;18778;35395;53571;20938;0;0;0;128682;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2015;6252058;35308;389460;1066991;2014042;1095465;413289;0;5014555;11888;58914;72379;55302;245;22;0;198749;35209;128846;279840;309198;26145;4;0;779242;0;0;0;0;0;0;0;0;4047;23403;984;17;5;0;0;28455;0;0;825;737;0;0;0;1563;10794;135895;49529;18788;1564;8810;122;225502;3993
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2015;5585819;9124;30621;65111;91111;21458;79;0;217504;31737;146637;267936;431901;74929;0;0;953141;405;1531;600;0;0;0;0;2536;696;15231;35681;93272;86868;352038;287950;871735;249038;2322285;522640;164973;429;0;0;3259365;0;0;42884;0;0;0;0;42884;53190;154062;23180;7878;343;0;0;238654;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2015;5086795;41054;372352;930490;1368479;449830;66290;0;3228494;36488;195879;450773;513421;99499;6337;0;1302396;3286;16098;34769;31734;1147;0;0;87035;25;328;821;1527;1359;1013;0;5074;19197;104250;0;0;0;0;0;123446;0;18164;10815;16400;28128;9082;0;82590;49100;81392;88557;30013;7734;962;0;257758;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2015;5077368;0;457;1312;2101;870;220;0;4959;0;2322;177;251;55;0;0;2805;0;6417;18182;43512;28435;28851;0;125397;0;434;1265;3435;3297;13768;9869;32068;0;0;0;0;0;0;0;0;0;276582;543673;1402848;1251064;1382469;0;4856636;1688;9612;16637;24247;3240;79;0;55504;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2015;4840826;61897;206496;490470;613443;143509;45574;186;1561575;3014;56287;47547;56737;428;133;0;164145;117503;229200;472221;424277;31725;0;0;1274927;0;0;0;0;0;0;0;0;169190;1616187;7837;1168;66;0;0;1794447;0;0;0;0;0;0;0;0;330;1153;2544;7045;7498;27119;44;45733;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2015;4654504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;904174;2590237;1030361;129614;0;0;118;4654504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2015;4422486;549;14113;38156;61149;21024;992;5;135987;4032;9106;17802;17984;239;1;0;49164;0;0;0;0;0;0;0;0;0;2;5;14;14;69;139;243;7741;30327;9074;12;0;0;0;47154;511223;2975;27105;6837;44087;649817;0;1242044;49858;1904441;944768;41576;5590;1662;0;2947895;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2015;4410319;0;0;0;0;0;0;0;0;1716;10569;28163;45480;3553;767;0;90249;270;4156;26396;35471;1264;0;0;67557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16839;190940;779701;1433293;904908;363774;0;3689455;1073;86636;70236;312029;90352;2733;0;563059;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2015;4022433;1582;7604;21608;21284;2896;5;0;54979;509;2015;6089;1772;146;0;0;10531;6003;66787;157571;180641;16688;7;0;427696;0;0;0;0;0;0;0;0;330050;2393329;746785;50677;8371;4;0;3529215;0;0;0;0;0;0;0;0;1;2;4;6;0;0;0;13;0
