Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2015;408636830;12952480;55578197;98528757;174166884;27295;67383216
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2015;383630588;31823269;573049;55995876;295238394;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2015;351996566;4566625;17327832;58137173;79322806;62618;192579512
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2015;291334425;31834898;29803317;59688254;40453502;82937;129471516
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2015;186259680;39284530;34268260;59867875;52810614;28402;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2015;135574645;7546202;13754528;46483789;38514701;36175;29239249
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2015;49568664;2125475;2394375;13427416;20926207;4619;10690572
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2015;47839894;372364;188634;599400;8723686;0;37955810
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2015;47545613;1094757;855114;12789609;18547009;1635;14257489
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2015;17202879;17286;2615556;1635266;10025564;350;2908857
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2015;14420621;415172;1766710;6932444;5027961;7527;270807
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2015;14200739;2106050;1030412;1283781;9780368;129;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2015;13368095;246435;863980;4071926;3496897;43;4688814
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2015;12109937;1457310;3626756;2668247;4356560;1065;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2015;9791861;683841;1493383;6235444;1379188;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2015;9573528;777452;802878;4167974;3825089;135;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2015;9010999;204638;262656;980931;7561915;859;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2015;8720457;603105;630900;3968795;3517654;3;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2015;7447188;408541;505049;5728846;796216;8536;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2015;6777224;66890;32612;322996;2077411;0;4277314
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2015;6541634;574948;9301;758182;5199203;0;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2015;6455230;251305;649429;2992750;1577529;2;984216
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2015;6434804;402720;223856;2901023;2781597;619;124988
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2015;5509533;136080;428804;2757760;2186877;11;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2015;4872660;166662;590627;1268496;2846839;35;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2015;4862524;0;113731;549774;2719104;0;1479914
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2015;4578992;918022;564871;2000529;1095540;30;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2015;4525004;1234109;1101998;1917037;271856;5;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2015;4360888;281961;74321;684427;2754013;0;566166
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2015;3790498;104643;888068;2459541;338244;2;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2015;3559910;3132;40856;432287;3083633;3;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2015;3552293;2245;22985;433851;1240037;0;1853176
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2015;3377448;11784;136930;1321329;1907405;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2015;3336338;257861;382974;2425934;269290;279;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2015;3260543;0;8584;852191;2399766;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2015;3159540;340493;638161;1944624;236260;2;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2015;2998704;898697;23165;529415;1542766;4660;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2015;2989014;636352;647258;516020;1189385;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/09/2015;2867341;155592;69707;1208846;859884;21;573292
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2015;2755851;500509;325727;315638;1613933;44;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2015;2683677;20041;144957;361551;2157007;120;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2015;2507549;486;24709;544728;1937625;1;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2015;2293996;90934;136680;1134877;931505;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/09/2015;2121150;0;50681;428399;1642070;0;0
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/09/2015;1849139;17005;20423;359979;1451727;5;0
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/09/2015;1778772;224282;411652;1000470;142369;0;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/09/2015;1744606;31660;255;174500;1538192;0;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2015;1744453;88048;350554;1014586;291030;235;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2015;1734160;116985;489926;997839;129115;296;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2015;1685313;19110;101154;1244804;320245;0;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/09/2015;1630117;91044;47187;483292;1008594;0;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/09/2015;1580628;66258;94477;541970;760891;0;117032
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2015;1443525;1729;74156;600540;767099;1;0
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/09/2015;1360643;16295;31500;338994;948628;0;25226
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2015;1331644;207913;91186;917822;114602;122;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2015;1278224;33301;190175;695679;359052;17;0
BANCO RODOBENS S.A.;33603457;b1;I;2;;8;SAO PAULO;SP;01/09/2015;1264051;65647;376899;780439;41061;4;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2015;1171452;6163;175155;826629;160480;3026;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/09/2015;1161829;520;10913;285180;865215;2;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/09/2015;1066432;0;2972;329582;724905;0;8974
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/09/2015;1064954;714;0;915473;148767;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/09/2015;1063529;161967;80126;637451;183984;0;0
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/09/2015;1001519;40110;131061;166402;445558;0;218388
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2015;979405;48443;2760;82033;846169;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/09/2015;870368;51976;31293;531728;255198;174;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/09/2015;832897;45490;141007;625701;20700;0;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/09/2015;808459;114101;52866;357391;284101;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2015;807371;26588;131929;418738;230116;0;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;;8;SAO PAULO;SP;01/09/2015;776886;0;0;0;776886;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/09/2015;763314;0;0;202548;560767;0;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2015;710533;3942;75344;420055;210776;416;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/09/2015;652489;15174;55262;497684;84369;1;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/09/2015;555649;0;0;440103;115544;2;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/09/2015;533371;30179;61851;382988;58352;0;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/09/2015;523770;23110;84226;246600;169833;1;0
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2015;510935;106187;46577;263073;95097;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2015;493895;50896;62355;380388;0;256;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2015;475062;0;377771;66681;30603;7;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2015;465883;167516;222919;75023;0;425;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/09/2015;451568;46372;66491;278840;59813;52;0
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/09/2015;423133;4199;36734;330470;51717;14;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/09/2015;421263;32857;109462;271686;7194;63;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/09/2015;418133;43456;21127;152237;201313;0;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/09/2015;413368;32004;46933;305972;28460;0;0
