Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2015;693020198;354559030;99102468;107604913;22425717;5419675;10116481;3739946;3319545;16705833;70026590
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2015;659318979;296242674;120354320;100916480;80136020;28058797;9154147;4281778;3226658;16948105;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2015;558032367;150801979;123103071;22453791;14705951;8467460;3935715;3134817;3231648;13374531;214823404
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2015;434416244;43243650;127496912;61678491;43061085;7266722;3693874;2875249;2032289;12537422;130530550
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2015;383632101;90838124;174382405;106029024;9691484;1900792;510937;54261;75147;149926;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2015;261195237;80848364;90350156;15286954;10580925;7334541;2827472;2185414;1662804;7711206;42407400
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2015;74304360;2437967;3565398;2589948;469434;993959;208545;531847;9;132202;63375051
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2015;71099571;30358715;15944942;6466701;1498751;1024588;448103;794666;654782;2978780;10929543
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2015;54810228;27215647;7200264;3046055;1081085;405280;347138;179318;134074;832107;14369261
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2015;52075378;2630607;23973386;8277348;9122894;1114624;528830;418145;904265;2196423;2908857
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2015;30364596;5432348;13938422;5624321;2002202;1024007;286946;295678;136673;1353193;270807
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2015;19786559;7012035;7583035;2610696;622601;916259;179177;158041;136025;568689;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2015;19636407;493610;13496984;2286367;1673827;647419;361446;122634;88693;465428;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2015;17704331;0;11679413;2885832;1294436;563683;283761;206136;179674;611395;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2015;16175580;1877446;4286903;8367689;999180;165380;137087;86515;73196;182184;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2015;14088367;13691969;368016;12844;1950;3020;7467;509;493;2100;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2015;13996014;5180594;4603025;2521327;200094;159718;181478;96252;156440;897086;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2015;13706886;548311;2857821;4013776;1171616;209496;109205;37967;14780;34543;4709371
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2015;12686862;524;5443259;4449289;1504934;551179;73648;91398;35355;408296;128981
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2015;12040878;5094943;5703049;505713;225300;136745;68947;16826;89816;199539;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2015;10899583;4308;9431819;553715;594254;99608;36929;50351;28133;100467;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2015;10318592;212892;3338500;4958070;1258189;149246;186294;67473;53856;94071;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2015;10283101;6375292;3447255;323638;105465;8516;2509;6651;649;13126;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2015;10161926;1690386;7279536;435907;226171;129674;61402;67040;113235;158575;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2015;9361853;5679018;882059;1337809;636962;196894;117353;113831;67017;330909;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2015;8423132;695432;4903489;904445;612960;404189;220617;111698;126718;443584;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2015;7910044;1021027;4657583;1914678;202379;53899;21024;4973;12456;22025;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2015;7698490;1778009;1920687;574724;767894;603427;248391;169216;212335;439592;984216
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2015;7596677;12;5670518;1056358;289763;107476;74899;59606;45429;292618;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2015;7552139;751565;1255850;631017;294323;104615;46905;43095;0;147455;4277314
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2015;6438359;677603;2376464;1486944;865471;809638;53662;46878;33147;88552;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2015;6095632;124951;3269807;1729814;691661;80675;45757;67266;26644;59057;0
