Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2015;693020198;378883534;54160756;20429874;1441411;304295;116856341;0;43619942;1907896;206426;0;701;3246283;1936150;70026590
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2015;659318979;152280627;420286812;27581544;0;277;36323699;0;0;565686;3083084;0;38;17717707;1479505;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2015;558032367;243797754;41981640;10243894;2001356;9398339;27686175;44318;351076;471137;185764;0;6038;14472;7027000;214823404
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2015;434416244;177673303;40654827;30456855;5074;11433091;33344554;0;523069;3300048;0;0;14850;0;6480022;130530550
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2015;383632101;114643373;8833;226922408;10160846;20621002;0;8045408;0;2255;3227976;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2015;261195237;144998318;45647322;3057797;31850;332075;21722151;228266;0;157651;776877;0;13219;14897;1807413;42407400
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2015;74304360;1961508;148387;2061212;0;0;5719759;0;0;127277;828058;0;0;83102;6;63375051
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/09/2015;71099571;31048028;7298755;570108;72798;7410423;9565060;0;0;97263;90184;0;0;2845892;1171517;10929543
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2015;54810228;22265495;371046;1282534;0;1373842;14766092;152773;0;183452;5465;0;9797;0;30470;14369261
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2015;52075378;39856425;11256;1007332;61926;3216326;4530567;20128;0;0;77507;0;0;21332;363722;2908857
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2015;30364596;17108995;5281091;337334;0;1584015;5394206;0;0;40223;0;0;0;127355;220571;270807
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2015;19786559;14580707;1055442;193614;0;14259;3848392;0;0;0;0;0;0;0;94145;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2015;19636407;16427236;0;776212;0;0;2418907;0;0;0;0;0;0;0;14053;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2015;17704331;13207492;729772;0;0;0;2674938;0;0;526605;0;0;0;349789;215734;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2015;16175580;14639822;310;123076;0;0;1395167;0;0;0;13564;0;0;3642;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2015;14088367;12339333;0;80257;0;1414094;248868;0;0;0;0;0;0;0;5815;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2015;13996014;7498324;37374;1258900;0;2047978;891344;0;18;2067465;0;0;147262;0;47349;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2015;13706886;3791389;622;242909;0;23681;4542569;19579;0;6499;26828;0;0;343395;45;4709371
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2015;12686862;8150298;0;8254;0;15006;2283136;1148769;99431;282;0;0;1216;760040;91448;128981
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2015;12040878;8593088;2196;2434643;0;0;0;0;0;461853;1597;0;337;546877;286;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2015;10899583;10894393;0;0;0;0;0;0;0;0;0;0;0;0;5189;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2015;10318592;9546322;0;772256;0;0;0;0;0;0;0;0;0;0;14;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2015;10283101;9632715;42369;334470;0;0;169182;0;0;0;0;0;0;0;104364;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2015;10161926;9029389;0;16114;0;484;687807;0;0;0;0;0;0;7538;420593;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2015;9361853;7844443;901733;98639;0;495686;0;0;0;9773;0;0;0;0;11578;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2015;8423132;6436502;82846;0;0;251489;1451403;0;0;0;0;0;0;0;200892;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2015;7910044;5594684;0;184952;0;10119;1890724;7083;0;0;0;0;0;183189;39292;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2015;7698490;1879709;23094;0;0;0;3415909;0;1268676;99728;0;0;0;0;27159;984216
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2015;7596677;5399786;0;0;0;41151;1911870;0;0;0;0;0;0;86842;157029;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2015;7552139;763360;8974;0;0;0;1777824;0;0;0;724667;0;0;0;0;4277314
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2015;6438359;6427280;0;11077;0;0;0;0;0;0;0;0;0;0;2;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2015;6095632;5207895;594;31100;853523;0;0;2520;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2015;5690721;2470967;13379;1331027;0;21;203760;338981;35228;190681;622437;0;15429;468797;13;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2015;4862524;2909205;0;0;0;0;124853;0;348551;0;0;0;0;0;0;1479914
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2015;4680103;1282633;5358;114830;0;8803;2004950;89623;0;0;267586;0;0;330806;130;575384
