Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2014;383327346;15241184;58454075;101229104;154592304;27518;53783161
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2014;340429962;5656048;17929482;65221855;74790752;56191;176775634
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2014;333440610;23684917;639638;20608895;288507161;0;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2014;250196180;31088954;30430922;59178363;42039658;80763;87377520
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2014;171683237;37977224;33610860;45695106;54372097;27951;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2014;123822902;7762604;13184677;46454209;36023410;33777;20364225
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2014;47135238;1067964;1375770;15766972;19164202;1281;9759049
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2014;46004739;5343923;2544994;13797214;15009383;7893;9301331
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2014;17804214;157447;2939307;2536536;8917721;201;3253002
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2014;16350444;3945469;181687;3997481;3783600;0;4442208
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2014;14588212;668329;1677980;6664989;5370203;8015;198696
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2014;14332143;1782107;4346439;3237160;4965555;883;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2014;11624995;209089;415851;4365503;3497170;22;3137359
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2014;11219554;1734658;830217;1743054;6911455;170;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2014;10417179;800908;1705127;6464825;1446315;4;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2014;8988332;1282067;1536910;3839612;2329580;163;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2014;8793215;346214;278509;950926;7216519;1047;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2014;8453201;788217;946893;4321169;1906575;6;490340
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2014;8130149;517638;535612;3647040;3429847;13;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2014;6536440;401471;475430;5493080;160116;6343;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2014;6133984;567536;151439;1501926;2802539;0;1110545
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2014;5986533;125607;29910;700875;1539441;0;3590699
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2014;5227149;132352;478569;2492245;2123980;3;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/12/2014;5052729;170501;162007;2463326;2245681;128;11086
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2014;4860425;144389;866429;1317653;2531891;62;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2014;4668361;652011;1611118;2186988;218240;3;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2014;4420733;370678;1139698;2007711;902644;3;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2014;4372516;446606;84992;656665;3184253;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2014;3859138;123128;864196;2429800;442012;2;0
