Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2014;652818541;355300299;81341040;107527321;20156032;3224805;9099985;3431128;2657712;14458701;55621520
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2014;601120969;261383612;156833731;69282256;62272015;23037378;6819016;2765642;2230116;16497203;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2014;539634479;154174171;127616016;24756787;12948537;6253128;3334379;3114465;2420908;12157247;192858839
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2014;389843340;39657984;130676642;63941691;42733225;5744054;3778166;2213558;1880859;11189798;88027362
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2014;333442254;94146942;142988750;86052418;8654749;791916;532334;5624;22474;247048;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2014;245335852;81650030;82523561;18577735;9093981;7572458;3275419;2006154;1822757;7519414;31294343
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2014;66305987;28152164;17552194;5852597;946116;502597;333098;594759;572093;2499037;9301331
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2014;55518539;31337663;8774890;3145788;1139042;216234;182178;91529;49811;755459;9825944
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2014;54814035;3360810;26969181;8773461;7120297;1160899;697631;397154;1341324;1740276;3253002
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2014;29225984;5216744;13147765;6428405;1787903;820604;356600;206341;90812;972113;198696
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2014;22320072;451791;15812773;2986755;1584162;553136;335413;90697;71275;434070;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2014;18798959;2560742;4540857;2956240;864490;652580;1354206;101579;38805;46287;5683174
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2014;17584372;0;12094455;2735727;1237362;503052;198463;157626;111765;545922;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2014;16699646;4966068;6623073;2284744;689607;931627;120471;88752;137454;857852;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2014;13431066;12972822;416927;5100;7400;5218;8426;342;0;14832;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2014;13213985;4852000;4452345;2334791;145343;420094;187804;86388;120102;615118;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2014;12056051;11130;10449828;548445;820452;49139;31288;23726;21146;100898;0
