Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2014;20557387;107258038
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2014;14565007;90203957
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2014;12790726;53529788
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2014;10761648;41470740
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2014;8529402;30010390
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2014;3666690;6560094
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2014;2088929;10898125
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2014;1281634;3733620
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/12/2014;1281480;4318883
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2014;1216817;3959299
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2014;1194953;4053645
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2014;1117675;6136557
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2014;903169;2100270
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2014;773449;1514997
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2014;589701;4842234
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2014;588482;666233
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/12/2014;577246;1145676
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2014;560324;699278
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2014;535231;768636
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/12/2014;513233;849974
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/12/2014;494769;16928308
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/12/2014;403243;425873
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2014;381291;812339
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2014;353418;754295
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2014;325176;479401
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/12/2014;289366;933164
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/12/2014;252450;404141
DACASA FINANCEIRA;51891;n1;C;2;;197;VITORIA;ES;01/12/2014;218948;777473
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2014;197104;932450
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2014;183616;548480
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/12/2014;178766;909602
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2014;170331;360082
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2014;137584;303930
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/12/2014;134950;459777
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/12/2014;132879;363523
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2014;126350;262752
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/12/2014;122151;536421
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2014;117187;130032
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;01/12/2014;103378;140625
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;01/12/2014;100937;499175
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2014;95587;256140
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2014;88804;302467
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;;14;BARUERI;SP;01/12/2014;84560;180332
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;;14;CURITIBA;PR;01/12/2014;77697;341414
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;I;2;;14;PORTO ALEGRE;RS;01/12/2014;75464;212092
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/12/2014;72412;162171
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/12/2014;71028;106115
DREBES FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;;14;ELDORADO;RS;01/12/2014;70692;418449
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6040559;n1;I;2;;14;FLORIANOPOLIS;SC;01/12/2014;58931;169972
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5192316;n1;I;2;;14;SANTO CRISTO;RS;01/12/2014;58236;380793
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2014;51558;64016
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2014;50594;72870
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/12/2014;48099;76213
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;;14;BARUERI;SP;01/12/2014;45439;337045
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/12/2014;44040;1464396
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;;14;DOIS IRMAOS;RS;01/12/2014;41945;459216
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;n1;I;2;;14;JUNDIAI;SP;01/12/2014;38866;47253
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/12/2014;37985;91885
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;;14;PORTO ALEGRE;RS;01/12/2014;36731;78929
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;;14;VITORIA;ES;01/12/2014;36440;150432
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/12/2014;33210;95743
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2014;33112;72877
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2014;32568;47608
FINSOL SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;18810553;n1;I;3;;10;RECIFE;PE;01/12/2014;31157;62845
BANCO AZTECA DO BRASIL S.A.;9391857;b1;I;3;;8;RECIFE;PE;01/12/2014;31062;190066
BANCO GERADOR S.A.;10664513;b1;I;2;;8;RECIFE;PE;01/12/2014;29646;89474
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA DO ESTADO DE SÃO PAULO;62673470;b3S;I;2;;9;SAO PAULO;SP;01/12/2014;29064;76074
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/12/2014;28274;103868
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/12/2014;27880;99599
