Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2014;652818541;383469249;45152208;24907219;1542160;346283;106568274;0;28136518;1812075;182372;0;1184;3034363;2045116;55621520
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2014;601120969;142813807;377916352;24616532;0;311;38274041;0;0;643334;1504385;0;68;14015998;1336143;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2014;539634479;254502472;36083264;11986871;1856199;6149288;28359594;14233;162739;480942;239993;0;11076;16442;6912526;192858839
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2014;389843340;180995530;37279470;35138266;5368;8559126;29313298;0;599697;3159324;0;0;20656;0;6745245;88027362
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2014;333442254;85731665;14338;219272638;7332228;13331198;0;5529415;0;2087;2228684;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2014;245335852;150225362;41575546;3931849;51225;290906;15767213;49178;0;214304;187287;0;19511;14464;1714663;31294343
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2014;66305987;30062830;6917139;559528;79432;6683234;8155291;0;0;119706;81986;0;0;3066184;1279326;9301331
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2014;55518539;27048969;370651;1823640;0;1455022;14722653;10244;0;241699;2780;0;6290;0;10646;9825944
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2014;54814035;42191530;164899;1281866;40085;2603732;4796595;11228;0;0;68045;0;0;0;403052;3253002
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2014;29225984;16580527;4573571;401519;0;1432172;5683654;0;0;38353;0;0;0;95698;221794;198696
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2014;22320072;18035944;0;1233032;0;0;3040615;0;0;0;0;0;0;0;10481;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2014;18798959;2091370;106695;1549466;0;0;7821103;0;0;454665;1037573;0;12937;41970;7;5683174
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2014;17584372;13516931;734106;0;0;0;1955938;0;0;696254;0;0;0;494151;186993;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2014;16699646;12573445;857735;282704;0;35472;2856432;0;0;0;0;0;0;0;93858;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2014;13431066;11698746;0;79910;0;1297264;347227;0;0;0;0;0;0;0;7919;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2014;13213985;7159632;42646;1350979;0;1777945;792700;0;17;1914142;0;0;130412;0;45512;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2014;12056051;12052975;0;0;0;0;0;0;0;0;0;0;0;0;3076;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2014;11947871;3615816;846;242394;0;18570;4334923;20542;0;8523;28493;0;0;521871;25;3155867
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2014;11169546;7985248;5426;2336500;0;0;0;0;0;435303;2511;0;866;403200;491;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2014;10949638;9742729;0;1206896;0;0;0;0;0;0;0;0;0;0;14;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2014;10923758;9585878;310;100250;0;0;1215864;0;0;0;19233;0;0;2223;1;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/12/2014;10558071;6252422;0;19794;0;15167;2300102;1148232;104358;0;0;0;1162;623654;82094;11086
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2014;9774254;7774543;0;0;0;27650;1561491;0;48;0;0;0;0;82647;327874;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2014;9700247;2081275;80190;0;0;0;5764324;0;1226670;26576;0;0;0;0;30872;490340
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2014;9082810;7471566;754551;101863;0;734773;0;0;0;9286;0;0;0;0;10772;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2014;9023416;8321353;32088;421072;0;0;164905;0;0;0;0;0;0;0;83999;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2014;8775527;6139747;0;19311;0;1757896;489225;0;0;0;0;0;0;5837;363510;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2014;8719349;6434806;76717;0;0;236532;1703112;0;0;0;0;0;0;0;268182;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2014;7968304;5895201;0;283789;0;8099;1672331;0;0;0;0;0;0;71622;37262;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2014;6665049;6663103;0;1946;0;0;0;0;0;0;0;0;0;0;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2014;6477315;1566154;0;285801;0;10235;2619969;42143;0;19610;324583;0;0;491714;507;1116599
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2014;6470801;607762;11614;0;6887;0;1517064;0;0;0;736775;0;0;0;0;3590699
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2014;5452623;4834100;1640;52278;564605;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2014;5403700;2290375;14451;1528288;0;173;175542;346942;39252;184644;510649;0;14815;298563;5;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2014;4955678;4780447;0;84205;0;82725;8300;0;0;0;0;0;0;0;1;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2014;4765206;4587680;0;0;0;159066;18456;0;0;0;0;0;0;0;5;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2014;4474658;2140420;0;2486;0;583951;1270710;0;0;0;0;0;0;0;32625;444466
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2014;4328941;4211402;0;0;0;0;0;0;0;0;0;0;0;0;117539;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2014;4316987;2863519;222358;27085;0;3870;871601;0;0;10377;0;0;0;288210;29967;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/12/2014;4160298;3455875;0;0;0;0;0;0;0;0;0;0;0;0;704423;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2014;4046409;3869899;0;176507;0;0;0;0;0;0;0;0;0;0;3;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/12/2014;3843457;3695282;0;51577;0;0;73498;0;0;0;0;0;0;23100;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2014;3735928;3735574;0;0;0;0;0;0;0;0;0;0;0;0;354;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/12/2014;3735679;393045;0;0;0;0;3234977;0;0;0;0;0;0;107655;1;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/12/2014;3653315;2880553;0;21537;0;0;564832;26398;0;44477;0;0;0;35769;79748;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/12/2014;3599995;2314999;32413;972264;0;0;0;225544;0;625;1335;0;0;52800;14;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/12/2014;3415014;3404596;0;0;0;0;0;0;0;0;0;0;0;0;10418;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/12/2014;3247475;2812445;0;0;0;73507;336509;0;0;0;0;0;0;0;25014;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2014;3230755;1195678;595423;366966;0;437588;569286;8742;594;29061;0;0;22;24136;3259;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/12/2014;3036476;3021502;221;0;0;545;0;0;0;3834;0;0;0;1230;9145;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/12/2014;2988810;710133;88;41601;0;60017;1646778;1001;10942;0;148;0;26;351295;5;166776
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/12/2014;2861216;1681735;0;0;0;0;46596;0;140376;0;0;0;0;0;1;992508
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2014;2608630;2054810;0;0;0;0;553820;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2014;2547703;818161;0;0;0;0;925721;0;0;5817;0;0;0;794521;3484;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/12/2014;2396335;665092;0;0;76308;44;398091;0;0;0;0;0;0;0;2;1256798
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;;14;SAO PAULO;SP;01/12/2014;2306099;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;2306099;0
