Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42705;12989564;406220773;122971068;600044139;-34917774;565126366;304912;584915;285631;-41373;1134085;197916761;69362862;28239719;1403961198;285631;1403675567
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42705;18394765;279925778;219773559;426714626;-33884959;392829668;6736755;4887532;2949516;-353163;14220640;218899470;89489068;46119410;1279652359;2949516;1276702843
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42705;10763712;157075161;180790719;696727941;-35290921;661437019;0;0;0;0;0;78880494;153795871;13602847;1256345823;0;1256345823
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42705;14580321;177567922;219141631;344705171;-34309206;310395965;50752;4789731;2057127;-186594;6711015;146367424;63024225;62392762;1000181264;2057127;998124138
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42705;22436;54748832;159149688;357368341;-11853633;345514708;0;0;0;0;0;36978422;266976854;12745642;876136583;0;876136583
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42705;5714106;59665135;165724234;212780519;-17485461;195295058;23135;5206083;2349857;-57253;7521822;189582663;65503593;14943814;703950426;2349857;701600569
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42705;517958;46813833;39856542;42840233;-2370483;40469750;25229;2331385;1116136;-72027;3400723;13235236;2496783;3606257;150397082;1116136;149280946
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42705;601448;20748804;35952747;10233383;-580315;9653068;0;0;0;0;0;30644588;2384091;11631161;111615906;0;111615906
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42705;183582;17116281;29941848;44098612;-3352182;40746429;1130;133677;7467;-6011;136263;12295729;829101;1585515;102834749;7467;102827281
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42705;775813;9576392;25038073;13986063;-1053904;12932159;2362;99345;17870;-5144;114433;17031532;5872749;529481;71870633;17870;71852763
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42705;937491;1782724;21460630;27150017;-2510678;24639338;463;110798;56984;-6681;161564;7490359;11069222;1604734;69146062;56984;69089078
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42705;184575;9465283;20848876;12373958;-1235551;11138406;0;0;0;0;0;4150387;319032;214569;46321128;0;46321128
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42705;2914336;19934587;7765194;5846488;-433080;5413409;0;0;0;0;0;6338403;6475;547397;42919801;0;42919801
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42705;69638;14083559;8044110;15986380;-11878;15974501;0;0;0;0;0;1130033;830107;113568;40245518;0;40245518
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42705;43888;2963336;7155849;8131123;-402950;7728173;0;0;0;0;0;18004390;466321;100659;36462615;0;36462615
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42705;9463;9271907;10713574;9859494;-36465;9823029;0;0;0;0;0;3883970;518936;106555;34327432;0;34327432
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42705;958215;17803471;7904900;873411;-1962;871448;0;0;0;0;0;6178186;22242;113952;33852414;0;33852414
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42705;19507;972384;2208106;18010988;-1157383;16853605;102;9015;7390;-658;15850;6204061;685532;624460;27583504;7390;27576114
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42705;8777;5777686;7719198;10467839;-315369;10152469;0;0;0;0;0;1855063;131766;47652;25692611;0;25692611
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42705;212374;13077138;7027285;3347592;-275872;3071720;122;32544;18569;-1733;49503;957139;784365;288902;25468425;18569;25449856
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42705;144438;3476213;1891657;13864799;-593101;13271698;0;0;0;0;0;3444544;698;21240;22250487;0;22250487
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42705;111077;3723542;8004869;6704396;-465261;6239134;374;103037;52754;-5788;150377;3144385;398461;208367;21980212;52754;21927458
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42705;136235;3042695;2394329;10930620;-582567;10348052;2785;458873;52796;-16921;497534;4817548;472623;253352;21962368;52796;21909572
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42705;239023;2494677;1331052;1829035;-738;1828297;0;0;0;0;0;12688275;116786;13775;18711885;0;18711885
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42705;10845;4104040;3772013;818542;-3693;814849;0;0;0;0;0;8945313;36680;63124;17746864;0;17746864
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42705;42781;5159133;9033033;861383;-2391;858992;0;0;0;0;0;2273869;270085;48604;17686497;0;17686497
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42705;13012;910326;161832;14976112;-1063106;13913006;901;163674;46464;-9380;201660;2030937;86035;30084;17346893;46464;17300428
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42705;23;679963;2273732;13459014;-529994;12929020;0;0;0;0;0;590042;14203;31245;16518229;0;16518229
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42705;29491;662401;2340551;8205968;-575863;7630106;8;1677;1809;-57;3437;3810850;332579;859557;15668971;1809;15667162
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42705;30980;1438494;7042357;3712516;-200999;3511517;0;0;0;0;0;1433879;405392;311740;14174359;0;14174359
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42705;178822;592956;1389176;9358157;-501067;8857089;0;0;0;0;0;1815820;549937;273970;13657771;0;13657771
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42705;53565;3796107;1555464;72440;-10300;62140;2408;969457;63787;-27249;1008403;7125689;4800;51470;13657638;63787;13593851
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42705;2122;815632;4829988;6188280;-181271;6007010;1641;382829;114023;-21943;476550;787489;19511;309431;13247733;114023;13133710
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42705;62387;563795;214994;9131792;-256939;8874853;3;8423;694;-242;8877;1834626;94043;71346;11724920;694;11724227
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42705;0;1061448;9466343;236610;-11;236599;0;0;0;0;0;266637;92;117683;11148803;0;11148803
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42705;42428;2806810;1891324;641835;-76433;565401;0;0;0;0;0;5831940;2056;2464;11142424;0;11142424
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42705;410141;1652374;1086662;6329007;-759595;5569412;0;0;0;0;0;1200193;414931;251732;10585444;0;10585444
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42705;33206;2257058;1393892;425477;0;425477;0;0;0;0;0;6337184;2279;22969;10472066;0;10472066
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42705;50565;4513646;3575287;218270;0;218270;0;0;0;0;0;1761664;36;19644;10139112;0;10139112
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42705;605;326173;1610;7237852;-400884;6836968;208;91959;10439;-822;101784;1494486;58113;2267;8822005;10439;8811566
