Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42705;3557072;17432;1432582;-46901;73291;620502;5653978;-2745499;-158872;-14364;0;-530942;-3449678;2204300;147210;719141;-975569;-825383;-219310;18501;194269;-821385;-1762526;441774;-5473;436301;-118279;-47956;270066;-95062
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42705;615095;0;2993922;443225;467654;100352;4620249;-3269426;-411536;0;0;-95484;-3776446;843802;639041;4675;-235192;-582301;-453651;200714;1550965;-741989;382261;1226063;447161;1673224;-58372;-217987;1396865;-890000
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42705;1503127;60689;2179446;101800;0;221762;4066823;-1604964;-209273;-47286;-42686;-592454;-2496664;1570160;836955;176964;-738002;-768628;-183923;38097;372877;-627050;-892711;677449;-19171;658278;17680;-79512;596446;-500000
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42705;3431086;8184;196930;-102822;33766;0;3567145;-2122050;-33784;-8016;0;-551897;-2715746;851399;84842;164346;-238643;-1235930;-114676;47408;708515;-295865;-880004;-28605;-35334;-63940;51170;0;-12770;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42705;1014165;0;1814831;6027;43846;14700;2893570;-669544;-1083780;0;0;-432673;-2185998;707572;1175345;31639;-947343;-608645;-142839;0;834656;-944922;-602110;105462;-513;104949;431816;-30259;506507;-121036
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42705;483953;0;1898002;298258;44513;0;2724726;-1509290;-535462;0;0;-224994;-2269747;454979;370066;0;-445116;-181383;-48764;17225;64305;-161764;-385429;69550;3431;72981;-4556;-315;68110;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42705;551524;0;1600963;4362;6396;31205;2194450;-1794793;-83139;0;0;-4953;-1882884;311566;110665;44;-65208;-249970;-14008;1958;49764;-48143;-214898;96667;72;96740;-41678;0;55062;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42705;1491691;137611;357411;-44077;74024;0;2016660;-938997;-59866;-95209;0;-283200;-1377271;639390;15547;33668;-140475;-243508;-84204;10299;233064;-64930;-240538;398852;-3336;395516;-121041;-22064;252411;-89495
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42705;1085693;0;529720;198013;0;0;1813426;-723986;-207677;0;-55230;-288519;-1275412;538014;183863;75694;-202338;-534454;-67971;1542;384732;-245423;-404354;133660;-1234;132426;-30713;-10922;90791;-45000
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42705;498041;0;1260354;0;0;10617;1769012;-1540208;-39494;0;0;-5811;-1585512;183499;255708;36;-53606;-112234;-40945;4256;119034;-182637;-10388;173111;-93;173018;-74093;-6332;92592;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42705;54873;0;527421;116191;1027110;0;1725595;-377537;-29032;0;0;233;-406336;1319260;329413;2510;-256910;-87471;-48574;2447;117662;-1042877;-983800;335460;-167;335293;-166065;0;169227;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42705;431973;18294;1157605;0;0;19882;1627754;-1193581;-9908;-16594;-1167;-94440;-1315691;312063;93835;49189;-178381;-131655;-31490;9339;37007;-39296;-191452;120611;616;121227;-28379;-16172;76676;-28449
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42705;1430522;0;164288;0;0;0;1594810;0;0;0;0;-334029;-334029;1260781;0;0;-12482;-488048;-81946;0;259123;-7163;-330517;930264;-223;930041;-323248;-224;606569;-141190
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42705;1385128;0;187019;-6292;5768;18161;1589784;-587712;-2883;0;0;-380070;-970665;619119;27126;92435;-201775;-287660;-56894;6345;27416;-214246;-607253;11866;-4254;7612;2211;-3556;6267;-8507
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42705;1474200;425;143437;-112826;24177;0;1529413;-945347;-50302;-317;0;-303507;-1299473;229940;11147;8294;-85196;-497383;-28620;22290;286905;-494519;-777083;-547143;593176;46033;-9970;-15489;20573;-2500
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42705;1301026;0;146576;2;2042;13109;1462755;-535312;-4825;0;0;-182700;-722836;739919;44537;80909;-421726;-230632;-54060;15198;209239;-132420;-488954;250965;-4086;246879;-50214;-25658;171007;-25000
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42705;1328197;53371;103095;-114689;0;0;1369975;-390945;-175649;-40952;0;-349198;-956743;413232;120864;29061;-1479;-161530;-72966;0;104807;-263379;-244621;168611;-24767;143844;-19599;0;124245;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42705;70583;0;1940214;-934476;290126;0;1366447;-489888;-293250;0;0;1680;-781458;584990;243839;302;-367860;-122261;-62643;0;77625;-38150;-269148;315842;-1060;314781;-118680;-12258;183844;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42705;683616;0;699334;-54353;8844;0;1337441;-749507;-250852;0;0;-103912;-1104271;233170;124827;10715;-94572;-56171;-34527;15371;110219;-29247;46615;279785;-4050;275736;-9191;-55233;211311;-95857
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42705;846076;0;309680;29078;41497;0;1226331;-240428;-362896;0;0;-305794;-909118;317213;53818;9170;-89804;-54993;-26806;0;17184;-13168;-104599;212614;-38;212576;-35025;-20265;157286;-120475
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42705;84962;896519;78430;0;0;0;1059911;-226646;-20520;-755871;0;-13203;-1016239;43672;0;0;0;-22531;-3145;0;10658;-4962;-19979;23693;0;23693;-5694;0;17999;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42705;991274;3605;36340;0;0;0;1031219;-588745;0;-3283;0;-122259;-714287;316932;94701;37210;-63059;-202391;-64923;11133;59815;-46715;-174229;142703;1639;144342;-4308;-12644;127390;-102000
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42705;612129;95075;346166;-40905;8631;0;1021097;-561417;-76346;-72311;0;-50171;-760245;260852;21654;13493;-84889;-55392;-19407;12399;51209;-106753;-167685;93166;-1574;91593;-19275;-4156;68162;-20786
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42705;996575;0;23841;0;0;0;1020415;-26298;0;0;0;-484604;-510902;509513;173941;153834;-58301;-280903;-86789;0;43637;-155271;-209853;299661;1078;300739;-123570;0;177169;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42705;302620;0;550242;-673;5038;0;857227;-164813;-212590;0;0;-93245;-470648;386579;323848;48972;-344035;-136666;-54127;0;349458;-432490;-245040;141538;3125;144663;-96794;-2171;45698;-18452
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;42705;768881;0;44272;-12936;0;0;800218;-58548;-22391;0;-15;-288787;-369740;430477;116862;12099;-10143;-139153;-46573;0;21873;-173912;-218947;211531;38948;250479;-110229;-221;140029;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42705;597533;0;177778;-233;0;0;775078;0;-296459;0;0;-261266;-557724;217354;21340;0;-99384;-31435;-19256;0;13730;-11234;-126239;91115;-475;90640;-50532;0;40108;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;42705;665124;0;91177;0;1700;3057;761059;-240773;-61;0;0;-31957;-272791;488267;5596;37075;-165818;-144801;-28416;0;8444;-17819;-305738;182529;1340;183870;-7332;-19145;157393;-39261
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42705;41722;238718;486364;-13452;0;0;753353;-105614;-243607;-180601;-22230;-602;-552654;200698;9979;36;-55008;-53685;-13451;-7666;46906;-49864;-122752;77947;1070;79017;-63922;0;15095;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42705;20855;0;691084;0;0;0;711939;-690944;0;0;0;23;-690921;21018;0;0;-11249;118761;0;3731;1628;-133892;-21020;-3;3;0;0;0;0;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42705;650690;6383;12526;-532;0;0;669067;-158674;0;-3781;0;-140297;-302753;366314;16691;35344;-21828;-181091;-15361;218;35689;-223191;-353529;12785;-479;12306;2290;0;14596;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42705;616053;0;16773;0;4;0;632830;-27847;0;0;0;-318821;-346668;286162;26454;53734;-68632;-102246;-24166;0;33793;-96829;-177892;108270;-22921;85349;-43040;-275;42034;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42705;420966;0;111401;52251;6275;0;590893;-337089;-11748;0;0;-166021;-514858;76035;20392;1241;-147461;-217051;-12404;-1725;24030;-36882;-369861;-293826;365346;71519;-7639;-39571;24309;-7500
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42705;493523;0;89991;241;2439;0;586194;-313459;-3014;0;0;-112555;-429027;157167;3620;2085;-26609;-99440;-12455;27803;4342;-12160;-112813;44354;502;44856;29529;-6098;68286;-77261
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42705;32744;0;422224;93975;1528;0;550471;-493936;-10233;0;0;-11352;-515522;34949;6989;0;-30213;-21365;-3615;4809;72362;-67069;-38101;-3153;-167;-3320;2217;-1486;-2588;-4500
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42705;1322;0;521373;-95487;109785;0;536994;-182311;-41440;0;0;0;-223751;313243;151015;0;-175247;-53852;-25791;980;13448;-48227;-137674;175569;0;175569;1692;0;177261;-183237
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42705;108248;0;153049;254541;0;0;515837;-123043;-65239;0;-232574;48932;-371924;143913;67043;777;-128927;-63944;-9366;4402;73685;-52888;-109218;34695;-3442;31253;44929;0;76182;-130000
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42705;453401;16027;22739;0;0;0;492167;-67665;-169086;-10758;0;-42836;-290345;201822;14;4429;-36237;-59997;-18235;0;41703;-38645;-106968;94854;-27386;67468;-34844;0;32624;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;42705;1539;485774;0;0;0;0;487313;0;-39438;-380906;0;8363;-411981;75331;0;0;0;-12968;-4415;0;5555;-1341;-13169;62163;1411;63573;-29315;0;34258;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42705;71042;0;172351;84612;148699;0;476704;-85688;-872125;0;0;49781;-908032;-431327;26060;63;-45332;-24470;-9662;488;850721;-326024;471846;40518;-8;40510;-3039;-1019;36452;-34000
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42705;391475;24;86891;-16964;0;0;461425;-149468;0;-24;0;-72094;-221586;239840;483072;27807;-11921;-468770;-73045;0;73580;-49630;-18907;220933;872;221805;-94183;0;127621;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42705;216697;0;176185;30065;25137;0;448084;-347861;-57636;0;0;-28093;-433590;14494;40036;225;-43504;-35445;-6229;1100;9634;-3475;-37658;-23164;6894;-16269;7969;-7359;-15660;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42705;428341;0;24207;-8436;0;0;444112;-73185;-99;0;0;-187580;-260864;183248;267158;69325;-58838;-161160;-49702;0;33953;-131010;-30273;152974;0;152974;-43157;-7423;102394;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42705;373600;0;72070;-6311;8;0;439367;-36134;-190409;0;0;-97375;-323918;115449;14449;6807;-58942;-19162;-10778;43;24535;-45313;-88363;27086;-78;27008;-6246;-3379;17384;-15000
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42705;39126;0;419891;-35394;0;0;423623;-138993;-196126;0;-81894;3515;-413498;10125;3549;520;-71869;-33641;-4738;0;177401;-16197;55025;65150;227;65377;-35515;0;29862;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42705;367451;16676;34052;541;0;0;418719;-66283;-65246;-13431;0;-120790;-265750;152969;4507;19;-23308;-39181;-11803;0;15299;-19185;-73652;79317;-10172;69145;-16389;-2937;49819;-22579
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42705;274618;0;118098;17555;8445;0;418716;-279403;-37197;0;0;-25237;-341838;76878;16222;4246;-50518;-34989;-4352;395;45069;-55287;-79213;-2334;-85;-2419;6836;-225;4192;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42705;382743;33334;67773;-74536;0;0;409313;-108464;-73026;-21289;0;-12624;-215402;193911;0;24741;-26121;-70186;-20205;0;11885;-16179;-96066;97845;-11734;86111;-36677;-6459;42975;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42705;157519;0;204935;0;0;42829;405282;-225385;0;0;0;-17946;-243332;161950;0;2204;-60346;-27516;-10038;0;7546;-15890;-104039;57911;2640;60551;0;0;60551;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;42705;8519;0;388614;0;0;0;397133;-388614;0;0;0;-10;-388624;8509;0;0;-9900;77597;0;2038;925;-79194;-8534;-25;25;0;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42705;271741;0;105780;0;0;0;377521;-140834;-6790;0;0;-62107;-209731;167790;22266;12288;-46109;-61832;-243;0;2231;-8500;-79898;87892;-656;87236;0;-5034;82203;-61449
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;42705;234869;800;117196;11381;3735;0;367981;-221540;-9131;-629;0;-6456;-237756;130225;511;12182;-33635;-35456;-8180;3483;15584;-3910;-49422;80803;-1251;79552;-9560;-4701;65291;-45600
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;42705;240473;0;124265;0;0;0;364738;-122844;-38774;0;0;-31809;-193427;171311;3087;851;-44164;-36310;-513;0;8715;-2256;-70592;100719;-470;100249;261;-3762;96747;-74116
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42705;249769;0;91550;0;0;3183;344501;-150698;-3165;0;0;-42652;-196515;147986;39010;14116;-89776;-62359;-15820;23447;14259;-9727;-86852;61134;-939;60195;-9093;-6497;44605;-9899
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;42705;287820;246;29224;8872;0;0;326162;-196742;-3324;-238;0;-27177;-227481;98681;7646;15;-11724;-11735;-5692;0;7611;-27096;-40976;57706;-14118;43588;715;-814;43489;-46607
AGIPLAN - PRUDENCIAL;1000083694;b1;;C;2;PORTO ALEGRE;RS;42705;306301;0;18220;384;5;0;324911;-38550;-308;0;0;-76905;-115762;209148;3818;7613;-17461;-128648;-14940;0;14929;-14639;-149328;59820;13950;73770;-14172;0;59598;-9198
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;42705;553;0;316720;0;0;6802;324075;-300400;-13109;0;0;2063;-311445;12630;48;0;-13397;-6837;-5;12968;22320;-2935;12163;24793;2;24795;-10;-222;24564;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;42705;2246;0;307565;0;0;3927;313737;-309953;-4081;0;0;517;-313517;220;40;0;-7323;-6430;-45;0;14495;-938;-201;19;-11;8;-8;0;0;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;42705;259704;0;44900;3905;9;0;308519;-165906;-1533;0;0;-40456;-207894;100624;3680;3505;-31634;-48348;-6865;-412;2681;-4269;-81662;18963;-5183;13779;-357;0;13423;-12166
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;42705;4;0;300014;0;0;0;300017;-289113;0;0;0;0;-289113;10905;0;0;-2223;-1345;-12;8630;2263;-2788;4525;15429;0;15429;0;0;15429;-15093
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42705;205223;68737;25779;0;0;0;299739;-191;-50286;-59697;0;-52215;-162389;137350;14256;82;-27804;-34060;-8265;1081;22996;-29968;-61682;75668;-4119;71549;-15605;0;55944;-34660
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42705;284985;0;8114;-487;0;0;292613;-10864;-81764;0;0;-101192;-193820;98793;24604;170;-17813;-15118;-9164;0;794;-5002;-21528;77265;611;77876;-34572;-1871;41433;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;;C;2;RIO DE JANEIRO;RJ;42705;463;0;253846;36537;536;0;291383;-38441;-3;0;0;-1207;-39651;251732;215792;143477;-44015;-320094;-46522;0;13293;-18220;-56289;195443;15;195458;-51343;-80693;63422;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42705;239127;0;44325;53;0;0;283505;-86609;-9152;0;0;-67483;-163243;120262;38990;48897;-65792;-80547;-16851;2801;20673;-12413;-64242;56020;872;56892;-9559;-10952;36381;-15462
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42705;126130;0;190839;-71602;36822;0;282189;-120844;-65911;0;0;-20355;-207110;75079;7633;7;-29377;-11330;-4449;0;28912;-26447;-35052;40027;21;40049;4384;-1015;43418;-59231
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;42705;41188;0;93090;11797;111218;0;257292;-115712;-4522;0;0;-4525;-124760;132533;48808;19239;-47286;-62194;-14599;20;4529;-21105;-72587;59946;-802;59144;-26247;-3743;29154;-14500
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42705;43498;0;201202;-41850;49062;0;251912;-48566;-78355;0;0;-76060;-202981;48931;12222;0;-36466;-5303;-6178;0;19112;-72654;-89267;-40336;0;-40336;46624;0;6288;-65401
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42705;97484;0;105480;38217;9597;0;250778;-213033;-6191;0;0;-56124;-275348;-24570;32770;11474;-41152;-45158;-6966;1666;18524;-17994;-46836;-71406;-6204;-77610;34625;-7514;-50498;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;42705;203444;0;40091;0;0;0;243535;0;-64718;0;0;-195076;-259793;-16258;8574;349;-20667;-8265;-5301;0;1981;-5853;-29181;-45439;183;-45256;146;0;-45110;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42705;109806;0;112144;-149;21505;0;243307;-154957;-27003;0;0;-12262;-194222;49085;8917;1802;-27359;-21272;-4066;15093;1091;-2497;-28292;20793;-8242;12551;7571;-8331;11791;-23253
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;42705;4641;0;234864;0;0;0;239506;-234947;0;0;0;-147;-235093;4412;0;0;-5390;-2599;-32;6247;5178;-208;3196;7608;19;7627;0;-197;7430;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;42705;195050;10396;28721;0;0;0;234168;-765;-89970;-8963;0;-21476;-121174;112993;27290;2534;-19457;-51158;-9853;-417;9780;-3891;-45172;67821;636;68457;-11746;-668;56043;-38800
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;42705;204644;17095;22;-2472;0;0;219289;-30661;-42031;-13763;0;-39772;-126228;93061;3341;879;-19886;-17865;-5957;0;13749;-3013;-28752;64308;-3550;60758;-8107;0;52651;-48800
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42705;34271;0;165204;-3418;21925;0;217982;-129205;-18129;0;0;156;-147178;70804;8294;79;-34770;-14946;-4567;3521;17956;-35509;-59941;10862;72;10935;649;-457;11126;-17500
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;42705;154386;0;41249;-5964;28149;0;217819;-112814;-32217;0;0;1908;-143122;74697;5640;1770;-29811;-11874;-6098;270;2224;-2979;-40857;33839;634;34473;-5040;0;29433;-24000
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;C;2;RIO DE JANEIRO;RJ;42705;50877;0;93025;46764;21813;0;212480;-125293;-21;0;0;839;-124475;88005;27220;850;-19523;-24604;-5141;-328;7133;-41402;-55794;32212;-568;31644;-7002;-6696;17945;0
COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE;33667205;b3C;;I;2;CUIABA;MT;42705;4980;0;197124;0;0;0;202105;-196797;0;0;0;5;-196792;5313;0;0;-8722;44402;0;1687;489;-42094;-4238;1075;-76;999;0;0;999;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42705;93638;0;35797;-14136;83770;0;199069;-50467;-71713;0;0;-74731;-196910;2159;2;0;-6429;-5203;-6098;0;25;-9653;-27357;-25198;27;-25171;25558;0;387;-33000
