Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42705;115408342;532392;115940734;23536939;139477673;669284246;3717331;845110;18015738;1551786;24129965;37826292;731240503;1325388942;0,1578;0,1586;0,1907;0,0875;0,2541
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42705;67718439;22565113;90283551;40169657;130453208;643214021;16416423;2927;2424999;0;18844349;43792910;705851279;1182912293;0,0959;0,1279;0,1848;0,0763;0,1552
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42705;73747016;5015870;78762885;22363950;101126836;593241249;3384193;26195;12303005;54375;15767767;50443507;659452523;1100492792;0,1118;0,1194;0,1533;0,0716;0,4476
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42705;90413270;0;90413270;45206635;135619905;534198999;53222058;0;5089554;0;58311613;32338860;624849472;895263501;0,1447;0,1447;0,217;0,101;0,0884
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42705;54397312;0;54397312;23321987;77719299;509290815;3922153;1809534;6362640;0;12094327;52781594;574166736;1336637945;0,0947;0,0947;0,1354;0,0407;0,1445
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42705;52136783;4127184;56263966;4280864;60544831;317194537;4375121;0;19528770;284729;24188620;30086072;371469229;641466559;0,1404;0,1515;0,163;0,0877;0,1789
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42705;11924484;4291770;16216254;3421161;19637415;55813608;2943558;4984527;18988851;5039919;31956855;3385968;91156430;118951963;0,1308;0,1779;0,2154;0,1363;0,3855
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42705;9433347;981133;10414479;2152926;12567405;73846219;822291;0;1515210;113509;2451010;5255002;81552230;167281599;0,1157;0,1277;0,1541;0,0623;0,2831
