cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;set/19;51.580.877;281.783;3.937.048;8.817.653;11.117.291;3.089.474;1.166.024;1.604;28.410.877;18.323;659.529;1.869.497;3.008.972;1.063.323;365.697;699;6.986.040;169.969;2.126.690;2.336.402;108.123;3.938;15.660;11.593;4.772.375;119.558;4.109.083;387.398;1.103;531;24;0;4.617.698;0;0;0;0;0;0;0;0;177.412;882.432;1.430.142;1.605.289;761.396;562.859;5.123;5.424.654;1.388;27.086;55.360;90.163;46.706;1.521;0;222.225;18.030;237.225;628.143;197.695;53.849;12.066;0;1.147.007;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;set/19;2,82%;5,82%;7,81%;10,10%;10,62%;12,44%;18,22%;0,18%;10,17%;2,22%;5,71%;6,87%;6,83%;5,92%;1,29%;0,15%;5,36%;8,24%;7,58%;25,23%;24,46%;0,67%;1,31%;5,34%;11,41%;13,56%;4,95%;1,10%;0,05%;0,05%;0,04%;0,00%;3,76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,52%;4,53%;7,00%;8,33%;9,27%;7,50%;0,18%;6,40%;0,09%;0,11%;0,10%;0,08%;0,06%;0,00%;0,00%;0,05%;13,48%;4,72%;3,11%;2,10%;1,29%;0,33%;0,00%;2,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/19;1.053.984;0;182.817;435.564;215.269;41.892;1.021;0;876.563;0;689;2.007;5.693;3.278;395;0;12.062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;6.081;20.263;41.775;8.063;1.040;164;77.762;0;13.176;72.928;1.492;0;0;0;87.597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/19;0,06%;0,00%;0,36%;0,50%;0,21%;0,17%;0,02%;0,00%;0,31%;0,00%;0,01%;0,01%;0,01%;0,02%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,10%;0,22%;0,10%;0,01%;0,01%;0,09%;0,00%;0,05%;0,13%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;set/19;289.111.091;6.880;52.938;113.347;158.857;166.246;14.365;109.181;621.814;8.246;62.286;155.033;288.559;133.755;45.556;768;694.203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.332;47.472;63.744;98.879;21.557;858;0;237.843;198.168;9.935.912;25.846.590;55.771.619;42.329.567;117.446.953;30.237.787;281.766.596;5.052;250.407;1.105.518;1.836.314;1.267.885;1.325.383;74;5.790.634;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;set/19;15,78%;0,14%;0,11%;0,13%;0,15%;0,67%;0,22%;12,03%;0,22%;1,00%;0,54%;0,57%;0,66%;0,74%;0,16%;0,17%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,08%;0,24%;0,31%;0,51%;0,26%;0,01%;0,00%;0,28%;12,20%;39,57%;45,87%;51,29%;57,66%;64,75%;64,63%;57,11%;3,78%;4,98%;5,48%;19,46%;30,47%;36,62%;100,00%;13,60%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;set/19;9.955.222;42.869;174.752;387.960;372.709;86.721;37.109;379;1.102.498;28.002;705.044;1.565.959;2.288.124;780.288;302.118;547;5.670.082;0;9.876;7.683;2.076;0;0;0;19.635;3.716;110.959;446.529;3.221;496;121;0;565.041;0;0;0;0;0;0;0;0;4.407;19.404;17.914;22.298;14.942;3.583;0;82.549;14.268;151.080;408.743;861.908;475.226;355.928;9.315;2.276.468;401;7.337;78.355;72.782;30.072;20.323;0;209.271;0;14;34;29.402;98;128;0;29.677
n1%;n1 - Não Bancário de Crédito;set/19;0,54%;0,88%;0,35%;0,44%;0,36%;0,35%;0,58%;0,04%;0,39%;3,39%;6,11%;5,76%;5,20%;4,34%;1,06%;0,12%;4,35%;0,00%;0,04%;0,08%;0,47%;0,00%;0,00%;0,00%;0,05%;0,42%;0,13%;1,27%;0,14%;0,05%;0,18%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,10%;0,09%;0,12%;0,18%;0,05%;0,00%;0,10%;0,88%;0,60%;0,73%;0,79%;0,65%;0,20%;0,02%;0,46%;0,30%;0,15%;0,39%;0,77%;0,72%;0,56%;0,00%;0,49%;0,00%;0,00%;0,00%;0,34%;0,01%;0,04%;0,00%;0,15%
n2;n2 - Não Bancário de Mercado de Capitais;set/19;3.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.539;0;0;0;0;934;3.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;set/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;set/19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n4%;n4 - Instituições de Pagamento;set/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C;C - Conglomerado;set/19;1.265.675.963;2.796.832;39.341.706;65.043.962;76.719.123;16.340.205;4.309.796;681.256;205.232.879;692.286;8.096.501;19.144.470;31.821.557;13.942.006;27.419.205;463.001;101.579.025;1.629.309;25.361.808;5.617.786;318.185;584.859;1.180.645;205.403;34.897.995;691.039;72.006.791;27.205.225;1.910.573;1.024.602;20.730;366.365;103.225.325;2.080.277;40.712.190;62.934.853;23.450.554;19.607.365;13.361.365;0;162.146.603;5.382.623;16.594.001;17.341.381;15.667.638;6.857.966;6.577.597;2.711.811;71.133.018;888.570;8.189.368;18.026.198;29.446.938;16.158.762;28.151.411;7.916.747;108.777.995;83.354;4.102.913;16.075.342;6.769.286;2.279.010;2.102.154;0;31.412.060;860.247;1.106.109;3.067.027;5.486.144;1.175.742;157.886;6.488;11.859.642
C%;C - Conglomerado;set/19;69,09%;57,72%;78,07%;74,51%;73,30%;65,79%;67,33%;75,04%;73,47%;83,87%;70,11%;70,38%;72,26%;77,61%;96,58%;99,55%;77,88%;78,96%;90,40%;60,66%;71,97%;99,33%;98,69%;94,66%;83,44%;78,40%;86,73%;77,51%;83,42%;96,51%;30,83%;100,00%;84,07%;87,83%;90,25%;87,98%;86,83%;96,17%;99,46%;0,00%;90,16%;76,61%;85,10%;84,83%;81,33%;83,53%;87,70%;96,45%;83,93%;54,68%;32,62%;31,99%;27,08%;22,01%;15,52%;16,92%;22,05%;62,34%;81,60%;79,61%;71,75%;54,77%;58,08%;0,00%;73,79%;60,49%;46,54%;52,14%;63,05%;87,41%;53,57%;98,16%;59,22%
I;I - Instituição independente;set/19;566.207.838;2.048.550;11.051.321;22.251.400;27.949.025;8.495.258;2.090.977;226.587;74.113.119;133.150;3.451.627;8.056.395;12.218.709;4.022.282;971.877;2.114;28.856.153;434.240;2.692.593;3.644.054;123.941;3.938;15.660;11.593;6.926.019;190.394;11.016.761;7.895.963;379.786;37.083;46.511;0;19.566.499;288.306;4.400.166;8.599.644;3.556.247;780.655;73.064;33;17.698.115;1.643.595;2.906.464;3.100.532;3.596.886;1.352.474;922.753;99.810;13.622.514;736.395;16.917.594;38.326.147;79.287.723;57.250.446;153.243.999;38.868.138;384.630.441;50.354;925.123;4.116.769;2.665.182;1.881.764;1.517.413;74;11.156.677;561.840;1.270.475;2.815.226;3.214.443;169.283;136.834;122;8.168.223
I%;I - Instituição independente;set/19;30,91%;42,28%;21,93%;25,49%;26,70%;34,21%;32,67%;24,96%;26,53%;16,13%;29,89%;29,62%;27,74%;22,39%;3,42%;0,45%;22,12%;21,04%;9,60%;39,34%;28,03%;0,67%;1,31%;5,34%;16,56%;21,60%;13,27%;22,49%;16,58%;3,49%;69,17%;0,00%;15,93%;12,17%;9,75%;12,02%;13,17%;3,83%;0,54%;100,00%;9,84%;23,39%;14,90%;15,17%;18,67%;16,47%;12,30%;3,55%;16,07%;45,32%;67,38%;68,01%;72,92%;77,99%;84,48%;83,08%;77,95%;37,66%;18,40%;20,39%;28,25%;45,23%;41,92%;100,00%;26,21%;39,51%;53,46%;47,86%;36,95%;12,59%;46,43%;1,84%;40,78%
