cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;set/19;712.876.242;2.442.661;10.539.735;25.780.535;33.294.049;9.616.026;1.999.886;666.546;84.339.438;465.572;2.168.150;5.767.771;13.678.452;9.824.569;26.981.960;81.404;58.967.878;419.150;2.834.874;2.003.321;27.886;0;0;21.423;5.306.655;140.373;4.768.147;1.119.707;156.641;0;0;0;6.184.867;861.699;11.245.585;15.412.923;4.708.641;7.206.886;1.961.426;0;41.397.160;3.105.097;5.218.833;4.425.053;5.196.271;3.001.201;4.088.614;1.048.207;26.083.276;1.039.310;18.920.901;42.936.189;85.989.366;62.775.789;167.461.670;43.937.374;423.060.599;81.678;1.997.631;6.993.125;6.146.745;2.817.523;2.760.773;74;20.797.549;1.042.635;1.401.393;3.560.729;4.330.553;320.290;141.226;122;10.796.947
1%;1 - Público;set/19;38,91%;50,41%;20,92%;29,53%;31,81%;38,72%;31,24%;73,42%;30,19%;56,40%;18,77%;21,20%;31,06%;54,69%;95,04%;17,50%;45,21%;20,31%;10,10%;21,63%;6,31%;0,00%;0,00%;9,87%;12,69%;15,93%;5,74%;3,19%;6,84%;0,00%;0,00%;0,00%;5,04%;36,38%;24,93%;21,55%;17,44%;35,35%;14,60%;0,00%;23,02%;44,19%;26,76%;21,65%;26,97%;36,55%;54,51%;37,28%;30,77%;63,96%;75,36%;76,19%;79,08%;85,51%;92,32%;93,91%;85,74%;61,09%;39,73%;34,63%;65,15%;67,72%;76,27%;100,00%;48,86%;73,32%;58,97%;60,53%;49,77%;23,81%;47,92%;1,84%;53,91%
2;2 - Privado Nacional;set/19;852.085.543;1.785.729;29.413.600;49.878.819;58.329.033;12.211.908;3.314.043;42.937;154.976.069;233.029;5.203.434;11.874.819;15.891.103;3.992.955;617.322;36.812;37.849.474;1.371.508;20.679.031;5.447.726;209.686;517.497;1.115.881;11.593;29.352.922;598.136;48.643.095;14.017.277;1.412.326;999.103;8.368;360.245;66.038.549;1.242.901;19.945.831;31.587.204;13.615.442;9.326.864;10.044.007;0;85.762.250;3.024.787;11.067.221;12.436.193;8.972.597;3.715.480;2.907.300;1.570.773;43.694.351;489.355;4.264.445;8.882.461;15.457.901;7.820.593;10.721.637;2.097.586;49.733.976;34.365;1.857.531;8.511.290;1.985.070;692.193;534.127;0;13.614.577;325.636;729.779;1.644.087;3.890.368;1.008.570;123.598;6.486;7.728.524
2%;2 - Privado Nacional;set/19;46,51%;36,85%;58,37%;57,14%;55,73%;49,17%;51,78%;4,73%;55,48%;28,23%;45,06%;43,66%;36,08%;22,23%;2,17%;7,91%;29,02%;66,46%;73,71%;58,82%;47,43%;87,89%;93,28%;5,34%;70,18%;67,86%;58,59%;39,93%;61,66%;94,11%;12,45%;98,33%;53,78%;52,47%;44,21%;44,16%;50,41%;45,75%;74,76%;0,00%;47,69%;43,05%;56,75%;60,84%;46,58%;45,25%;38,76%;55,87%;51,55%;30,11%;16,99%;15,76%;14,22%;10,65%;5,91%;4,48%;10,08%;25,70%;36,94%;42,15%;21,04%;16,64%;14,76%;0,00%;31,98%;22,90%;30,71%;27,95%;44,71%;74,99%;41,94%;98,13%;38,59%
3;3 - Privado com Controle Estrangeiro;set/19;266.922.016;616.991;10.439.692;11.636.008;13.045.067;3.007.528;1.086.843;198.361;40.030.490;126.835;4.176.544;9.558.275;14.470.711;4.146.764;791.800;346.898;33.617.827;272.891;4.540.497;1.810.793;204.553;71.299;80.424;183.981;7.164.438;142.925;29.612.310;19.964.204;721.393;62.583;58.873;6.120;50.568.408;263.983;13.920.940;24.534.370;8.682.718;3.854.269;1.428.995;33;52.685.309;896.334;3.214.412;3.580.666;5.095.656;1.493.759;504.436;192.641;14.977.904;96.301;1.921.616;4.533.695;7.287.395;2.812.826;3.212.103;749.925;20.613.860;17.664;1.172.874;4.687.696;1.302.653;651.059;324.667;0;8.156.612;53.816;245.411;677.437;479.667;16.166;29.896;2;1.502.394
3%;3 - Privado com Controle Estrangeiro;set/19;14,57%;12,73%;20,72%;13,33%;12,46%;12,11%;16,98%;21,85%;14,33%;15,37%;36,17%;35,14%;32,86%;23,08%;2,79%;74,58%;25,77%;13,22%;16,18%;19,55%;46,27%;12,11%;6,72%;84,78%;17,13%;16,22%;35,67%;56,88%;31,50%;5,89%;87,55%;1,67%;41,18%;11,15%;30,86%;34,30%;32,15%;18,90%;10,64%;100,00%;29,29%;12,76%;16,48%;17,52%;26,45%;18,19%;6,73%;6,85%;17,67%;5,93%;7,65%;8,05%;6,70%;3,83%;1,77%;1,60%;4,18%;13,21%;23,33%;23,22%;13,81%;15,65%;8,97%;0,00%;19,16%;3,78%;10,33%;11,52%;5,51%;1,20%;10,14%;0,03%;7,50%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/19;1.429.309.494;4.476.338;44.147.988;76.141.012;92.073.463;21.342.525;5.158.313;796.679;244.136.317;722.540;7.874.823;18.429.200;30.058.553;13.153.490;27.572.051;463.100;98.273.757;1.893.580;25.917.836;6.917.755;331.926;584.859;1.180.645;205.403;37.032.004;722.655;72.164.792;25.921.190;2.145.556;1.024.602;20.730;366.365;102.365.889;2.368.583;45.112.356;71.348.516;27.006.801;20.382.928;13.414.065;33;179.633.281;6.815.084;18.114.280;18.754.146;17.376.386;7.378.203;6.927.138;2.796.513;78.161.751;1.360.439;13.680.915;26.815.842;47.105.415;29.031.824;63.456.241;16.429.771;197.880.447;108.703;4.497.347;18.288.789;7.149.503;2.685.833;2.216.188;0;34.946.363;1.422.087;2.376.570;5.882.219;8.671.185;1.344.927;294.592;6.609;19.998.188
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/19;78,02%;92,38%;87,61%;87,22%;87,97%;85,94%;80,59%;87,76%;87,40%;87,53%;68,19%;67,75%;68,25%;73,22%;97,12%;99,57%;75,34%;91,76%;92,38%;74,69%;75,08%;99,33%;98,69%;94,66%;88,54%;81,99%;86,92%;73,85%;93,68%;96,51%;30,83%;100,00%;83,37%;100,00%;100,00%;99,74%;100,00%;99,98%;99,85%;100,00%;99,88%;97,00%;92,89%;91,74%;90,20%;89,86%;92,36%;99,46%;92,22%;83,72%;54,49%;47,59%;43,32%;39,55%;34,98%;35,12%;40,10%;81,30%;89,45%;90,57%;75,78%;64,55%;61,23%;0,00%;82,09%;100,00%;100,00%;100,00%;99,66%;99,99%;99,96%;100,00%;99,85%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/19;50.869.661;37.513;1.897.483;1.399.827;730.559;108.605;23.941;0;4.197.928;48.325;2.245.758;5.179.169;8.390.364;2.830.155;105.264;0;18.799.034;0;0;0;0;0;0;0;0;35.506;6.638.719;8.346.070;140.480;36.056;46.366;0;15.243.196;0;0;185.981;0;5.091;20.364;0;211.437;23.607;428.257;155.703;119.896;26.278;4.872;8.887;767.501;50.702;1.298.793;3.152.882;4.904.065;1.525.884;134.766;108.011;11.175.102;1.521;35.720;91.306;178.174;123.134;45.606;0;475.462;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/19;2,78%;0,77%;3,77%;1,60%;0,70%;0,44%;0,37%;0,00%;1,50%;5,85%;19,45%;19,04%;19,05%;15,75%;0,37%;0,00%;14,41%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,03%;8,00%;23,78%;6,13%;3,40%;68,95%;0,00%;12,41%;0,00%;0,00%;0,26%;0,00%;0,02%;0,15%;0,00%;0,12%;0,34%;2,20%;0,76%;0,62%;0,32%;0,06%;0,32%;0,91%;3,12%;5,17%;5,59%;4,51%;2,08%;0,07%;0,23%;2,26%;1,14%;0,71%;0,45%;1,89%;2,96%;1,26%;0,00%;1,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
