cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/19;947.672.469;2.317.132;11.720.577;31.721.491;61.409.198;35.264.114;22.897.480;265.995;165.595.987;1.326.596;5.476.491;11.786.130;13.488.736;5.600.151;2.704.260;541.970;40.924.335;126.261;739.821;1.600.655;1.865.154;352.419;190;91.447;4.775.947;1.324.062;13.872.882;36.659.191;84.962.868;69.425.619;199.851.389;93.134.372;499.230.382;2.884.838;30.905.497;6.953.357;446.893;18.934;18.283;215.228;41.443.030;2.728.009;18.824.008;52.562.943;42.906.491;28.018.649;21.440.152;185.939;166.666.191;2.413.936;8.147.884;7.445.748;4.261.056;2.251.163;2.059.592;221.027;26.800.405;2.236.193
1%;1 - Público;set/19;47,26%;56,29%;38,66%;39,14%;42,63%;47,38%;60,17%;99,40%;44,48%;18,92%;21,76%;28,43%;33,88%;47,12%;63,98%;95,57%;31,45%;4,70%;2,87%;2,54%;2,09%;2,73%;0,52%;96,06%;2,47%;86,38%;79,04%;79,08%;79,33%;79,72%;80,35%;79,90%;79,89%;13,30%;18,13%;12,12%;10,47%;7,52%;20,70%;99,99%;16,29%;81,31%;63,69%;60,54%;65,42%;72,31%;78,72%;99,88%;66,27%;23,52%;23,98%;24,56%;17,29%;23,07%;35,10%;63,99%;23,27%;3,53%
2;2 - Privado Nacional;set/19;778.376.087;1.088.454;14.356.274;38.048.916;63.565.905;29.975.342;10.697.410;817;157.733.118;4.689.566;18.037.014;26.199.558;21.394.393;4.681.735;1.179.340;7.762;76.189.368;1.696.061;15.311.415;37.410.647;52.933.100;7.408.511;14.279;1;114.774.013;165.498;2.398.526;6.328.614;14.760.791;12.108.324;35.634.057;18.801.583;90.197.392;14.535.176;107.465.437;39.300.863;2.400.333;46.347;3.154;0;163.751.309;375.000;8.505.211;26.745.824;14.046.709;5.693.733;3.916.957;225;59.283.657;5.290.115;18.390.147;14.789.881;12.368.785;3.441.232;1.914.397;84.121;56.278.680;60.168.549
2%;2 - Privado Nacional;set/19;38,82%;26,44%;47,36%;46,95%;44,13%;40,27%;28,11%;0,31%;42,37%;66,89%;71,67%;63,19%;53,74%;39,39%;27,90%;1,37%;58,55%;63,14%;59,43%;59,39%;59,40%;57,42%;39,11%;0,00%;59,29%;10,80%;13,66%;13,65%;13,78%;13,90%;14,33%;16,13%;14,43%;67,03%;63,03%;68,50%;56,25%;18,41%;3,57%;0,00%;64,37%;11,18%;28,78%;30,80%;21,42%;14,69%;14,38%;0,12%;23,57%;51,55%;54,13%;48,79%;50,19%;35,27%;32,63%;24,36%;48,87%;94,97%
3;3 - Privado com Controle Estrangeiro;set/19;279.271.831;710.781;4.236.544;11.277.095;19.072.241;9.193.781;4.456.619;797;48.947.858;994.244;1.651.821;3.477.696;4.926.252;1.603.104;343.423;17.334;13.013.875;863.991;9.711.119;23.977.187;34.318.443;5.142.340;22.045;3.755;74.038.879;43.243;1.281.232;3.368.314;7.379.682;5.547.529;13.250.757;4.634.119;35.504.875;4.263.164;32.135.226;11.116.922;1.420.205;186.427;66.888;30;49.188.864;252.129;2.226.452;7.518.144;8.632.233;5.037.631;1.880.236;0;25.546.825;2.558.034;7.436.806;8.074.793;8.014.730;4.064.118;1.893.263;40.237;32.081.981;948.673
3%;3 - Privado com Controle Estrangeiro;set/19;13,93%;17,27%;13,98%;13,91%;13,24%;12,35%;11,71%;0,30%;13,15%;14,18%;6,56%;8,39%;12,37%;13,49%;8,12%;3,06%;10,00%;32,16%;37,69%;38,07%;38,51%;39,85%;60,37%;3,94%;38,25%;2,82%;7,30%;7,27%;6,89%;6,37%;5,33%;3,98%;5,68%;19,66%;18,85%;19,38%;33,28%;74,06%;75,73%;0,01%;19,34%;7,51%;7,53%;8,66%;13,16%;13,00%;6,90%;0,00%;10,16%;24,93%;21,89%;26,64%;32,52%;41,66%;32,27%;11,65%;27,86%;1,50%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/19;1.830.318.906;4.049.710;29.344.418;78.496.529;139.801.031;72.212.769;36.320.383;267.247;360.492.087;5.440.817;19.638.401;31.560.616;30.866.934;9.403.515;3.271.427;559.572;100.741.282;2.409.764;21.522.969;52.474.364;74.241.809;10.999.677;29.830;95.203;161.773.615;1.501.854;17.452.272;46.092.496;106.597.900;86.732.272;247.825.887;116.208.199;622.410.881;17.265.142;147.099.584;48.637.874;3.317.702;245.925;88.262;215.258;216.869.746;3.070.374;23.499.242;64.636.921;54.340.727;33.672.123;24.918.800;186.105;204.324.293;9.031.259;29.399.907;25.983.407;21.970.322;8.662.735;5.006.280;299.675;100.353.587;63.353.415
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/19;91,27%;98,38%;96,80%;96,85%;97,05%;97,02%;95,45%;99,86%;96,83%;77,61%;78,04%;76,12%;77,54%;79,12%;77,39%;98,68%;77,42%;89,71%;83,54%;83,31%;83,31%;85,25%;81,69%;100,00%;83,57%;97,98%;99,43%;99,43%;99,53%;99,60%;99,63%;99,69%;99,60%;79,62%;86,27%;84,78%;77,74%;97,70%;99,93%;100,00%;85,25%;91,51%;79,51%;74,44%;82,85%;86,90%;91,49%;99,97%;81,24%;88,01%;86,53%;85,72%;89,15%;88,79%;85,33%;86,77%;87,14%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/19;45.219.978;3.723;48.717;126.805;206.861;85.592;28.207;0;499.905;79.909;111.379;175.222;90.149;9.449;5.823;0;471.931;216.122;3.392.786;8.299.274;11.356.166;1.277.019;2.744;0;24.544.110;1.047;8.475;22.266;41.127;25.852;31.913;806;131.485;1.403.492;5.611.595;2.488.994;465.001;51;0;0;9.969.134;50.109;315.311;2.243.241;3.509.284;2.136.729;547.494;0;8.802.169;10.921;477.615;62.034;114.456;67.495;68.633;92;801.245;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/19;2,26%;0,09%;0,16%;0,16%;0,14%;0,11%;0,07%;0,00%;0,13%;1,14%;0,44%;0,42%;0,23%;0,08%;0,14%;0,00%;0,36%;8,05%;13,17%;13,18%;12,74%;9,90%;7,52%;0,00%;12,68%;0,07%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;6,47%;3,29%;4,34%;10,90%;0,02%;0,00%;0,00%;3,92%;1,49%;1,07%;2,58%;5,35%;5,51%;2,01%;0,00%;3,50%;0,11%;1,41%;0,20%;0,46%;0,69%;1,17%;0,03%;0,70%;0,00%
