Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;C;3;SAO PAULO;SP;44256;Sim;Sim;Não;17674228;NI;;S3
SICREDI - PRUDENCIAL;1000080745;b1;C;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;78988648;NI;;S3
GM - PRUDENCIAL;1000080848;b2;C;3;SAO PAULO;SP;44256;Sim;Sim;Não;10776678;NI;;S3
BANCOOB - PRUDENCIAL;1000080879;b1;C;2;BRASILIA;DF;44256;Sim;Sim;Não;80318298;NI;;S3
ORIGINAL;1000080903;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;18542011;419677;;S3
INTER - PRUDENCIAL;1000080996;b1;C;2;BELO HORIZONTE;MG;44256;Sim;Sim;Não;22993698;NI;;S3
APE POUPEX - PRUDENCIAL;1000081184;n1;I;2;BRASILIA;DF;44256;Não;Sim;Não;10194137;NI;;S3
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;I;1;BELEM;PA;44256;Sim;Sim;Não;35492982;NI;;S3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;C;1;PORTO ALEGRE;RS;44256;Sim;Sim;Não;17824338;NI;;S3
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;I;1;BELO HORIZONTE;MG;44256;Sim;Sim;Não;8503249;NI;;S3
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;I;3;CURITIBA;PR;44256;Sim;Sim;Não;12917029;NI;;S3
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;10245594;110515;;S3
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;I;3;SAO PAULO;SP;44256;Sim;Sim;Não;57763214;0;;S3
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;I;3;SAO PAULO;SP;44256;Sim;Sim;Não;8519776;NI;;S3
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;I;1;BELEM;PA;44256;Sim;Sim;Não;11987716;NI;;S3
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;I;3;SAO PAULO;SP;44256;Sim;Sim;Não;16826946;NI;;S3
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;C;2;RIO DE JANEIRO;RJ;44256;Sim;Sim;Não;11396084;NI;;S3
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;I;3;SAO PAULO;SP;44256;Sim;Sim;Não;16078836;NI;;S3
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;C;3;SAO PAULO;SP;44256;Sim;Sim;Não;8306894;24429;;S3
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;C;2;SAO PAULO;SP;44256;Sim;Sim;Não;51600336;275356;;S3
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;C;2;RIO DE JANEIRO;RJ;44256;Sim;Sim;Não;88634268;92483;;S3
BOCOM - PRUDENCIAL;1000084624;b1;C;3;SALVADOR;BA;44256;Sim;Sim;Não;12821138;722956;;S3
CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;106180;b3C;I;2;CUIABA;MT;44256;Sim;Sim;Não;754591;NI;;S4
COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM;184068;b3C;I;2;BELO HORIZONTE;MG;44256;Sim;Sim;Não;1456945;NI;;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;I;2;BELO HORIZONTE;MG;44256;Sim;Sim;Não;7309222;NI;;S4
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.;315557;b3C;I;2;SAO PAULO;SP;44256;Sim;Sim;Não;743631;NI;;S4
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;I;2;FLORIANOPOLIS;SC;44256;Sim;Sim;Não;2443505;NI;;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;692214;b3C;I;2;BRASILIA;DF;44256;Sim;Sim;Não;635431;NI;;S4
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA;966246;b3S;I;2;ITAI;SP;44256;Sim;Sim;Não;813471;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;I;2;FRANCISCO BELTRAO;PR;44256;Sim;Sim;Não;5310465;NI;;S4
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;I;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;1202860;NI;;S4
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;LONDRINA;PR;44256;Sim;Sim;Não;3561922;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;JOINVILLE;SC;44256;Sim;Sim;Não;1549162;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR;2924977;b3S;I;2;CURITIBA;PR;44256;Sim;Sim;Não;66284;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL E SANTA CATARINA – SICREDI POL RS/SC;3000142;b3S;I;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;60569;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;3042597;b3S;I;2;CAMPO GRANDE;MS;44256;Sim;Sim;Não;1790029;NI;;S4
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;I;2;LONDRINA;PR;44256;Sim;Sim;Não;1446263;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DO ESTADO DE SÃO PAULO - SICREDI NOROESTE SP;3065046;b3S;I;2;SAO JOSE DO RIO PRETO;SP;44256;Sim;Sim;Não;308933;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS MILITARES ESTADUAIS DO RIO GRANDE DO SUL – SICREDI MIL RS;3212823;b3S;I;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;108098;NI;;S4
