Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44256;120888837;18527702;139416539;15727877;155144417;963236280;5223644;1304615;14096816;6139369;26764444;82026127;1072026851;1918095300;0,1128;0,13;0,1447;0,0727;0,2302
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44256;110831741;9239397;120071138;15497223;135568361;797724844;7006587;46053;9106162;1400799;17559600;66907975;882192419;1477062166;0,1256;0,1361;0,1537;0,0813;0,2985
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44256;106652375;30622988;137275362;24507964;161783326;706343484;9364730;756154;6921198;0;17042082;103777787;827163353;1843160918;0,1289;0,166;0,1956;0,0745;0,1464
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44256;73524071;1713241;75237313;26155681;101392994;477332807;573509;0;21887964;69389;22530862;77302337;577166006;1539005409;0,1274;0,1304;0,1757;0,0489;0,1228
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44256;72732347;7326718;80059065;7294893;87353958;500635260;7434781;1055706;10151769;1557441;20199697;54851805;575686761;1025933091;0,1263;0,1391;0,1517;0,078;0,1459
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44256;147979448;0;147979448;42143187;190122634;389025990;31229808;0;690403;0;31920211;50877376;471823577;840362332;0,3136;0,3136;0,403;0,1761;0,0547
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44256;26468339;374465;26842803;4317293;31160097;136582110;2970701;2890643;18135572;5894138;29891054;9943021;176416185;342829641;0,15;0,1522;0,1766;0,0783;0,4318
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44256;13385925;2957022;16342946;2947468;19290415;124905111;988486;0;9908761;1306524;12203772;6040472;143149354;246685450;0,0935;0,1142;0,1348;0,0663;0,3547
