Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44256;1911910190;738796455;1759537241;1318072663;152372949;5847610;155144417;0,1447;0,2302;2900;880
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44256;1815118154;696963441;1687214963;1423229172;127903192;4253118;161783326;0,1956;0,1464;4406;733
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44256;1436040486;802383190;1370806831;1180893005;65233655;4291083;101392994;0,1757;0,1228;3374;788
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44256;1376666827;527551797;1232413267;1015469937;144253560;6159923;135568361;0,1537;0,2985;3423;1391
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44256;992406473;425570032;909838220;703177235;82568253;3039896;87353958;0,1517;0,1459;2732;1886
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44256;737237020;302599249;623350844;230526341;113886175;9807601;190122634;0,403;0,0547;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44256;275943603;55126427;245523837;174234698;30419766;1176496;31160097;0,1766;0,4318;26;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44256;228091906;92291226;214141478;182770409;13950428;552879;19290415;0,1348;0,3547;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44256;121313276;61188992;110248180;88295049;11065096;370885;11182419;0,1465;0,1849;9;33
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44256;120084825;4008802;114229125;70281524;5855701;-91992;5729517;0,1411;0,0146;10;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44256;116607506;25336404;106351159;59319006;10256346;246840;10037781;0,1565;0,0209;87;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44256;95490544;36852226;86909615;73490361;8580929;278935;6694239;0,1479;0,1013;522;127
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44256;89569391;5047396;85983848;66930169;3585543;42684;2234919;0,1321;0,0504;6;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44256;87453247;4377136;85111931;12597408;2341316;-36634;2334380;0,2253;0,0065;5;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44256;84596472;49235;71957437;6921805;12639035;265130;NA;NA%;NA%;1;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44256;78824327;15110688;77281160;71821462;1543167;28723;1768257;0,137;0,0547;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44256;77022504;13101628;74955922;65264026;2066582;57430;2039182;0,1392;0,1229;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44256;67999831;15223425;63508276;27550269;4491555;10046;5137659;0,1332;0,0173;7;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44256;61804561;13537627;55269689;24039838;6534872;376420;8886800;0,1317;0,0269;296;2
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44256;61691632;13897633;55966674;28157583;5724958;70138;4398854;0,1252;0,0399;10;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44256;53093098;28497639;48772040;33191732;4321058;99833;5965560;0,1468;0,0032;19;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44256;52749369;33315038;47893710;41320315;4855659;436693;5306554;0,15;0,1977;50;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44256;51654754;18433163;50150138;31695917;1504616;6789;*;*%;*%;5;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44256;47883947;21254169;43491995;32898106;4391953;122406;5400673;0,1594;0,0051;13;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44256;46375696;3014970;45088885;10464793;1286811;5120;1268928;0,2465;0,009;2;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44256;38840242;30159574;33406096;28754976;5434146;190277;3891312;0,1586;0,1135;5;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44256;36556762;1073681;33228668;16376458;3328094;121021;3312525;0,2089;0,0131;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44256;32083603;5413810;30319579;29309019;1764024;60848;1634965;0,1589;0,1214;109;48
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44256;28332053;17200624;26089921;22781699;2242132;127500;2134377;0,1456;0,0889;128;17
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44256;28201313;14282397;24048226;21160855;4153087;86478;3016067;0,1755;0,4673;37;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44256;23655471;19817113;20730090;15940307;2925381;144249;3467236;0,1701;0,0021;3;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44256;23621224;2577896;22089397;5681190;1531827;24645;1518122;0,3518;-0,006;4;0
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44256;22607476;237002;13479994;4944901;9127482;272636;*;*%;*%;4;0
