Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;44256;39284702;251125203;509999502;647648704;-47978544;599670160;9504461;388591;168113;-367609;9693556;302118188;140761175;59425817;1912078303;168113;1911910190
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;44256;31312469;569493984;284412335;640523367;-42610830;597912537;22719;268646;95004;-3340;383030;224096900;74236599;33365303;1815213158;95004;1815118154
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;44256;16490429;163783058;269161340;793167429;-34822352;758345078;0;0;0;0;0;93936823;114847384;19476374;1436040486;0;1436040486
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;44256;25236735;133966175;399537991;459889627;-43055872;416833755;19306;3930039;1290865;-67978;5172233;236614713;95008235;65587856;1377957692;1290865;1376666827
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;44256;14479582;79628820;257711603;352770126;-24318953;328451174;7216;4604193;2112900;-31457;6692852;192247747;96731487;18576108;994519373;2112900;992406473
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;44256;128001;83719346;162357352;300525476;-18447079;282078396;0;0;0;0;0;32394592;165366929;11192404;737237020;0;737237020
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44256;2576955;47926152;82962567;52037161;-1196133;50841028;0;0;0;0;0;69261424;7155898;15219579;275943603;0;275943603
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;44256;1829901;9533666;94312543;80932691;-3218820;77713870;1678;1344099;436838;-3483;1779132;17775619;18555761;7028251;228528744;436838;228091906
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44256;142684;11127569;38935683;54493500;-3713407;50780093;23;70052;4013;-312;73775;16493473;1233518;2530492;121317289;4013;121313276
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44256;39742;44251421;43884954;2543544;-152778;2390766;0;0;0;0;0;29424522;7129;86291;120084825;0;120084825
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44256;4443710;12123948;42082599;13764567;-160622;13603945;-181;66194;17623;-460;83175;38773572;5135742;378438;116625128;17623;116607506
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44256;1457540;8335935;34348619;34397499;-2543413;31854087;43;46674;29132;-6029;69820;7193486;10789607;1470581;95519676;29132;95490544
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44256;445834;6788394;70254095;4731660;-816;4730844;0;0;0;0;0;5297682;1391242;661300;89569391;0;89569391
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44256;8553;7694082;3899574;2455789;-49979;2405810;0;0;0;0;0;73419368;3762;22098;87453247;0;87453247
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44256;407640;229442;6415343;49235;-34319;14916;0;0;0;0;0;4117445;62495657;10916030;84596472;0;84596472
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44256;534348;2810593;25784601;14863866;-9495;14854371;0;0;0;0;0;4100350;30642835;97230;78824327;0;78824327
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44256;40629;24472195;19497228;7213255;-121455;7091800;0;0;0;0;0;6428394;19213748;278511;77022504;0;77022504
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44256;361280;7448778;18937593;9274272;-487767;8786505;0;0;0;0;0;32079284;208584;177807;67999831;0;67999831
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44256;149814;4573196;38599442;12717078;-648242;12068836;0;0;0;0;0;5209890;963706;239676;61804561;0;61804561
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44256;687286;17031730;15968708;13033503;-94169;12939333;0;0;0;0;0;14883907;4890;175777;61691632;0;61691632
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44256;192727;5572366;7210262;24160061;-1179838;22980223;0;0;0;0;0;17042410;50313;44797;53093098;0;53093098
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44256;249654;5526087;7918726;26319201;-1395298;24923903;33627;1445775;239147;-15558;1702992;11337454;280746;1048955;52988517;239147;52749369
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44256;286608;6906867;24741483;2921147;-107734;2813413;0;0;0;0;0;15742942;1082096;81346;51654754;0;51654754
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44256;1361952;6328132;12583128;18441391;-358151;18083241;0;0;0;0;0;8973774;449991;103730;47883947;0;47883947
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44256;70281;6117774;3806495;1874097;-3042;1871055;0;0;0;0;0;34465332;15506;29254;46375696;0;46375696
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44256;3533;50;3452275;28061067;-1648722;26412345;0;0;0;0;0;8028651;411644;531745;38840242;0;38840242
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44256;129461;18750463;11244788;1063775;-1428;1062346;0;0;0;0;0;5101400;224891;43413;36556762;0;36556762
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44256;730171;10573101;13825190;5063688;-243873;4819815;0;5874;4733;-6;10601;891044;910933;327481;32088336;4733;32083603
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44256;182322;2405196;6295176;16425932;-409019;16016913;0;0;0;0;0;2257202;813660;361584;28332053;0;28332053
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44256;388305;66617;7693706;13707882;-722062;12985820;0;0;5;0;5;5018477;384780;1663609;28201319;5;28201313
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44256;307;788565;187881;19112650;-571485;18541165;177;69272;14843;-1967;82324;3982098;57796;30177;23670314;14843;23655471
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44256;186264;4400680;1104381;984875;-3368;981507;617;259504;24312;-15661;268772;16695373;3972;4587;23645536;24312;23621224
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44256;74365;630108;1126139;25085;-6255;18831;0;0;0;0;0;1850915;15318485;3588633;22607476;0;22607476
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44256;1897;1441068;1550238;654070;-3665;650405;0;0;0;0;0;18780944;518;7285;22432355;0;22432355
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44256;69948;745586;12798226;5745820;-270629;5475192;0;0;0;0;0;1818652;559041;255715;21722361;0;21722361
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;44256;349843;1078076;6612040;7337204;-219139;7118065;0;0;0;0;0;3609306;1966927;479907;21214163;0;21214163
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;44256;59139;409862;2027843;1814964;-451140;1363825;0;100;0;0;100;664847;15751784;783518;21060918;0;21060918
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44256;4111;5555539;9453470;3068968;0;3068968;0;0;0;0;0;2661903;95;24744;20768830;0;20768830
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44256;2314;757014;5551727;9683765;-113304;9570461;173;653110;166689;-5664;814308;2108269;205599;375482;19385175;166689;19218487
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44256;201010;1530954;4638414;9369487;-379181;8990305;0;84950;20742;-6058;99634;3469287;162677;23411;19115692;20742;19094950
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44256;59286;2496151;3580726;5793919;-244749;5549171;0;0;0;0;0;3731108;2604449;952216;18973107;0;18973107
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44256;2503;3577979;11453561;413163;0;413163;0;0;0;0;0;3029708;1503;13619;18492036;0;18492036
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44256;331;711596;1979977;13507807;-335125;13172682;0;0;0;0;0;478186;62365;55172;16460309;0;16460309
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44256;41748;708352;7225678;312939;-928;312011;0;0;0;0;0;7310610;1044;72637;15672081;0;15672081
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44256;292788;12310;7671069;3555833;-264828;3291005;0;0;0;0;0;2550972;431027;127010;14376182;0;14376182
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44256;184147;3256362;2861577;851327;-1209;850117;0;0;0;0;0;6847707;17420;13634;14030964;0;14030964
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44256;117287;362016;192575;11729221;-483117;11246104;1684;151081;10874;-6853;156785;1836673;9611;12273;13933324;10874;13922450
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44256;258029;114503;2946470;5669873;-74522;5595351;0;0;0;0;0;3214369;518460;306629;12953812;0;12953812
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;44256;206838;783856;1447176;426709;-11537;415172;0;0;0;0;0;1008101;8820298;128554;12809995;0;12809995
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;44256;12209;7904409;876492;1769159;-840;1768319;0;0;0;0;0;2151137;1480;11777;12725823;0;12725823
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44256;76294;595746;22482;9660530;-341717;9318813;0;16568;3458;-119;19907;2229801;29901;8988;12301933;3458;12298475
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44256;5354;24313;360017;3321573;-1026637;2294936;0;0;0;0;0;8585106;88085;800042;12157853;0;12157853
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44256;181458;2918687;1041481;6667810;-190702;6477108;0;0;0;0;0;646481;484348;192540;11942103;0;11942103
