Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;44256;1427842;0;2208789;975978;0;25105;4637714;-1066875;-5308086;0;-363668;630721;-6107908;-1470193;1112922;50484;-276864;-507503;-118620;457096;4270791;-1024279;3964027;2493834;398;2494231;-337865;-979870;1176496;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44256;2134762;15465;650041;1374279;194689;3999;4373234;-2089700;-451467;-13635;0;-643594;-3198395;1174839;130877;212610;-288730;-360619;-105302;69075;240676;-483707;-585120;589719;24828;614547;-176649;-67013;370885;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44256;1858463;0;207418;186419;409894;0;2662192;-39327;-2254200;0;0;-67716;-2361243;300949;19479;461;-60262;-48137;-14971;0;211;-10817;-114036;186913;51;186964;-81224;-5907;99833;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44256;522137;8975;425938;1143441;0;9474;2109965;-293471;-758966;-7785;-500041;22555;-1537709;572256;341094;14847;-263047;-158781;-49958;0;100665;-88891;-104070;468186;1452;469638;-189271;-33527;246840;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44256;1080677;164310;61985;754210;0;0;2061182;-420608;-412151;-125560;-30480;-103357;-1092156;969026;32083;24804;-121513;-150007;-53799;6860;136562;-35584;-160593;808433;1690;810124;-335998;-37433;436693;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44256;1334024;4736;203970;290983;56892;53595;1944200;-680205;-102463;-3908;0;28992;-757584;1186616;167577;260293;-456734;-403436;-112475;26037;260370;-505095;-763463;423153;-4711;418442;-106535;-32972;278935;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44256;1155359;0;263376;400755;94458;0;1913948;-189311;-1574463;0;0;-34449;-1798224;115724;75312;4705;-65428;-39371;-14869;0;143184;-89773;13761;129485;-309;129176;32195;-38966;122406;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44256;413046;0;104746;773982;593855;0;1885629;-176633;-784710;0;0;-29392;-990735;894894;87420;23152;-150401;-167030;-36248;1848;65061;-697048;-873245;21649;-1169;20480;1493;-11927;10046;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44256;1447775;0;75888;244159;567;0;1768390;-240106;-8;0;0;-315652;-555767;1212623;67503;99749;-174715;-706545;-85515;2127;141735;-268951;-924613;288010;-8336;279674;-89398;0;190277;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44256;1303935;0;162530;-81382;19607;0;1404690;-394486;-3923;0;0;-217570;-615979;788710;16642;3274;-68988;-472879;-33423;10278;100069;-291024;-736052;52658;30676;83334;14163;-11019;86478;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44256;15935;73399;99602;1155074;0;0;1344010;-5059;-940179;-64336;-268226;360;-1277438;66572;21554;9;-36950;-18953;-9056;0;32936;-29990;-40450;26122;2;26124;-1479;0;24645;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44256;303592;0;-13155;829447;0;0;1119883;-82833;-712070;0;-413250;10618;-1197534;-77650;260746;0;-188739;-84868;-26565;17089;562444;-344639;195468;117818;0;117818;-41931;-5749;70138;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44256;669041;0;310389;21130;102063;4441;1107064;-109962;-294198;0;0;-70630;-474790;632274;678180;27473;-554213;-353653;-97978;0;578464;-234172;44100;676374;2367;678741;-279444;-22877;376420;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44256;648882;0;129243;115665;29052;13417;936259;-243460;-352424;0;0;-1391;-597276;338984;92525;1225;-22823;-322728;-20698;362;29129;-41623;-284631;54353;-5;54348;-23421;-2204;28723;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44256;32373;0;30969;46053;646762;0;756158;-5717;-733321;0;0;362;-738676;17481;17548;0;-17527;-11798;-2183;0;3927;-1516;-11551;5930;0;5930;-4825;-577;529;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44256;737532;10271;8048;-10440;0;0;745411;-113241;-52055;-8601;0;-96019;-269916;475495;42754;24670;-772;-69116;-28184;0;62003;-250372;-219017;256478;134;256612;-112363;0;144249;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44256;688922;0;44379;0;1307;4985;739594;-125198;-6838;-572;0;-34944;-167553;572041;33739;50047;-227203;-145344;-36534;16160;33276;-111149;-387007;185034;4925;189959;-41205;-21254;127500;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44256;41352;0;348947;299803;32455;0;722557;-183817;-309;0;0;-13235;-197362;525195;993323;374424;-341829;-1099393;-107100;-6061;251067;-210615;-146184;379010;-3849;375162;-16310;-316167;42684;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44256;506831;0;-309501;499193;0;2044;698566;-129977;-3127;0;0;-397205;-530308;168258;584352;69656;-270871;-400385;-136408;-2846;433172;-448578;-171908;-3650;0;-3650;10439;0;6789;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44256;367258;7099;43250;134898;118136;0;670641;-154935;-428329;-5824;0;-10388;-599476;71165;10920;540;-51339;-24094;-4689;44;28338;-23726;-64007;7158;11688;18847;-6069;0;12777;0
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44256;676301;0;-22287;0;0;0;654014;-17384;0;0;0;-2573;-19957;634058;1422311;0;-109620;-475473;-157853;34579;50317;-1037026;-272764;361293;35515;396808;-72644;-51527;272636;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44256;139463;0;46501;177398;289391;0;652754;-3817;-642095;0;0;-771;-646683;6070;19537;48;-34394;-41477;-3484;0;4203;-2553;-58120;-52050;0;-52050;16176;-761;-36634;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44256;566841;0;12196;12703;11885;530;604155;-41828;-44;0;0;-56664;-98536;505619;10413;46622;-106822;-188335;-31134;14400;25473;-189121;-418503;87116;-7040;80076;-20800;-7842;51434;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44256;270197;48181;26558;226880;19240;0;591056;-87558;-134720;-39848;0;-10539;-272665;318391;21494;9243;-73498;-32763;-11947;1046;25425;-205530;-266531;51860;199;52059;-20768;-3536;27755;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44256;575777;0;4231;0;0;0;580008;-8538;0;0;0;-201331;-209869;370138;195864;162503;-44102;-245849;-50661;-206;37559;-124324;-69216;300922;0;300922;-137871;0;163051;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44256;303467;0;220706;-1477;2300;5874;530869;-277417;-41143;0;0;-14651;-333211;197658;310771;12;-37959;-139147;-44747;25894;125457;-331656;-91375;106282;-12538;93745;-33894;-2420;57430;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44256;460518;0;31183;31877;4133;0;527711;-65749;-187402;0;0;-57481;-310632;217080;150383;11696;-158745;-288212;-35697;-4036;111958;-147549;-360202;-143122;78885;-64237;-32082;-16957;-113276;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44256;101345;0;-1768;335944;91725;0;527245;-19109;-210050;0;0;65;-229094;298151;4971;131;-28603;-20454;-8071;0;23263;-269482;-298244;-93;56;-37;5157;0;5120;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44256;473730;2480;5099;275;0;0;481583;-46594;-1984;-1322;0;-62997;-112898;368686;26309;26775;-25240;-150546;-16598;8998;13454;-203994;-320841;47845;7;47851;-4783;0;43068;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44256;9567;0;65055;23671;383084;0;481377;-35430;-42577;0;0;-210;-78217;403160;318506;1620;-202367;-53112;-29474;0;38196;-254172;-180803;222356;0;222356;-101336;0;121021;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44256;435819;0;22157;0;119;0;458095;-84;0;0;0;-119767;-119851;338244;637;9741;-6444;-275643;-25499;0;58824;-7334;-245718;92526;2310;94837;-46942;-1008;46887;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;44256;152636;0;48367;191254;54922;0;447179;-6948;-218764;0;0;-14494;-240205;206974;4821;0;-20189;-6314;-5840;0;874;-109088;-135737;71238;0;71238;-32035;0;39203;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44256;213157;4421;4773;218222;0;0;440574;-28910;-172371;-3324;0;-10623;-215230;225345;56;9455;-19756;-62825;-9116;0;6905;-7366;-82648;142697;-1165;141532;-62091;-5855;73587;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44256;259929;0;15153;53971;72874;0;401927;-12187;-213685;0;0;-108795;-334667;67259;1965;5497;-29505;-9661;-4806;0;31755;-12424;-17179;50081;623;50704;-21049;-3972;25683;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44256;379363;0;17959;0;1271;1899;400492;-39926;-1742;0;0;-44754;-86422;314069;6359;26691;-109009;-109142;-19603;0;6388;-5082;-203399;110670;-645;110026;-42358;-8602;59066;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44256;91427;0;27800;193435;74988;0;387650;-10438;-317489;0;0;-496;-328423;59227;9669;3;-31470;-14004;-2965;0;28625;-1902;-12044;47183;5;47188;-18262;-4079;24847;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;44256;2737;382048;231;0;0;0;385016;-22039;0;-330380;0;445;-351974;33042;0;0;0;-13507;-1565;0;349;-1907;-16629;16413;780;17193;-7642;0;9551;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44256;2889;0;-24125;396240;0;0;375004;-76419;-86804;0;-636;-609;-164467;210537;203380;0;-249807;-74599;-25178;0;32546;-70792;-184450;26087;0;26087;-9244;0;16844;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44256;347141;0;23551;2332;0;0;373024;-29;-178440;0;0;14477;-163992;209032;9199;0;-41316;-12562;-8316;0;7387;-13120;-58728;150304;1782;152085;-66361;-5758;79967;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;44256;364586;0;4051;4368;0;0;373006;-34890;0;0;0;-61408;-96297;276709;3121;5835;-22277;-213811;-17537;8831;424;-5409;-240823;35885;37;35922;-7910;-5397;22615;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;44256;284531;0;96372;-20968;2859;0;362793;-56744;-545;0;0;-94792;-152081;210712;75350;5348;-76314;-202396;-20678;28990;37216;-68093;-220577;-9865;4479;-5386;22176;-140;16650;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44256;190937;2655;154972;0;0;4779;353343;-140961;-910;-2608;-197;-17632;-162308;191035;32688;50960;-80154;-67273;-17024;4505;1709;-20305;-94895;96140;978;97118;-30552;-5718;60848;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;44256;106603;0;57947;172618;14583;0;351751;-105346;-238808;0;0;-349;-344503;7248;14788;2179;-34024;-17036;-4092;0;195748;-120558;37005;44253;1502;45755;-21792;-8411;15551;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44256;333188;6811;9197;0;0;0;349196;-57479;0;-6219;0;-53286;-116985;232212;65226;13308;-40248;-120051;-20105;10085;26339;-13168;-78613;153599;2411;156011;-61326;-7905;86780;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44256;194057;0;8198;137245;0;0;339500;-26546;-116024;0;0;-42336;-184906;154594;287409;12500;-8712;-301126;-50304;0;24976;-38297;-73554;81039;710;81749;-37659;0;44090;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44256;320956;0;5036;0;0;0;325992;-15051;0;0;0;-125470;-140520;185472;246460;62987;-29854;-191131;-44093;0;19095;-84691;-21227;164245;401;164646;-63196;-4457;96993;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44256;271725;0;30753;22060;0;0;324539;-99958;0;0;0;-55562;-155519;169020;1189;58;-20894;-62831;-10431;4158;3937;-1276;-86091;82929;170;83099;-31959;-15;51124;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44256;308323;0;14865;0;54;0;323241;-19790;-7658;0;0;109566;82118;405359;77551;32015;-17504;-170575;-23241;0;6648;-210462;-305568;99791;621;100412;-39436;-1919;59057;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44256;312071;20613;2257;-11877;0;0;323063;-80793;-50455;-15824;0;-11369;-158441;164623;0;3842;-18936;-21298;-8924;0;10664;-8643;-43296;121327;1559;122885;-54646;0;68240;0
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44256;239244;0;40;37870;30165;0;307319;-86741;0;0;0;-38655;-125396;181923;42489;2143;-69593;-259185;-13652;-15951;27980;-163038;-448808;-266885;3250;-263635;118889;-21012;-165758;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44256;161868;92622;860;28618;0;0;283968;-646;-112979;-77411;0;-12722;-203759;80208;0;230;-15189;-18156;-5091;885;8279;-5762;-34803;45405;-3;45402;-19630;0;25772;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44256;271968;0;5764;0;0;0;277732;-4906;-186577;0;0;-11952;-203435;74297;9513;138;-9863;-5750;-4292;0;0;-507;-10762;63535;-1852;61683;-27105;-3206;31373;0
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44256;291500;0;-32075;-3269;21322;0;277478;-120908;-827;0;0;-13867;-135602;141877;2295;85;-18471;-84232;-7028;4368;1816;-15974;-117141;24736;203;24939;-7342;-2571;15027;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;44256;166070;0;2949;98576;0;0;267594;-29;-229914;0;-15151;-4099;-249192;18402;0;0;-587;-3466;-905;0;0;-1929;-6888;11515;0;11515;-6028;0;5487;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44256;21040;0;31035;136479;76416;0;264970;-11405;-216711;0;0;-347;-228463;36507;9482;2;-13420;-9882;-2670;360;14939;-17358;-18547;17961;692;18653;-4728;-221;13704;0
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;44256;231944;0;31939;-1875;0;0;262007;-62579;-5224;-24;0;-167736;-235564;26444;447174;0;-215979;-201961;-56076;0;200058;-113735;59480;85924;-156;85768;-36258;-4404;45106;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44256;138555;0;103687;0;6781;0;249023;-22588;-79176;0;0;-29983;-131746;117277;209619;39296;-136929;-68970;-30208;0;237481;-121350;128938;246215;532;246747;-141264;0;105483;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44256;259943;1686;3381;-19134;0;0;245876;-25876;-91651;-1504;0;-24050;-143080;102796;1418;42;-9426;-11621;-5914;0;11;-1677;-27166;75630;2837;78468;-34045;-1574;42848;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44256;226387;0;14940;0;0;0;241327;-22789;-2232;0;0;-76050;-101071;140256;28616;13098;-34549;-58578;-183;0;433;-19778;-70942;69315;-24;69291;0;-3527;65763;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44256;12589;0;43942;95680;82613;0;234823;-33836;-75273;0;0;-1567;-110675;124148;64822;13;-102166;-14526;-4876;0;67853;-126124;-115005;9143;0;9143;-2644;-2787;3712;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44256;215664;0;2878;0;0;0;218542;-5504;-576;0;0;-66300;-72380;146162;30412;41542;-9992;-67458;-15893;0;1559;-36303;-56133;90029;0;90029;-36005;0;54025;0
NEGRESCO S.A. - CFI - PRUDENCIAL;1000083450;n1;S5;I;2;CURITIBA;PR;44256;218379;0;128;0;0;0;218506;-863;0;0;0;-11602;-12466;206041;791;0;-5370;-7042;-1739;0;911;-178219;-190668;15372;0;15372;-6030;-282;9060;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44256;103796;0;91603;-47596;69858;0;217661;-166449;-10780;0;0;9711;-167517;50144;5457;2166;-21480;-23387;-2714;-173;12193;-26219;-54156;-4012;3560;-452;1318;-336;530;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44256;124549;0;72613;8980;6793;0;212934;-128340;-33302;0;0;-8033;-169675;43259;10903;2132;-23276;-19251;-2481;113;15247;-6729;-23342;19917;6273;26190;-8117;-9053;9019;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;S4;I;3;SAO PAULO;SP;44256;59106;0;4057;0;147658;0;210821;-3560;-160203;0;0;-30370;-194132;16689;1897;15;-6622;-3925;-519;0;736;-40505;-48923;-32234;-22;-32256;0;0;-32256;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;44256;357;210123;0;0;0;0;210480;0;-10233;-182403;0;-5727;-198363;12117;0;0;0;-6570;-4271;0;423;-219;-10636;1481;1628;3109;-1196;0;1913;0
INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL;1000084057;b1;S4;I;3;SAO PAULO;SP;44256;11020;0;5327;50325;137677;0;204349;-86;-183952;0;0;-428;-184466;19883;1712;0;-4890;-3182;-625;0;311;-9543;-16216;3667;0;3667;-287;-64;3316;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44256;17663;0;-76631;231503;18919;0;191454;-169810;-5863;0;0;140;-175533;15921;2524;0;-10719;-6680;-562;0;532;-991;-15896;24;0;24;3048;0;3072;0
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;44256;175130;0;3823;0;71;0;179024;-10317;0;0;0;-169637;-179954;-930;25144;43324;-8981;-41335;-11791;-77;19597;-38230;-12350;-13280;2;-13277;6832;0;-6445;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44256;153979;0;17413;0;0;0;171392;-20816;-9303;0;0;-14704;-44823;126569;13758;582;-33506;-32282;-1193;0;8644;-6785;-50782;75787;215;76002;-2308;-2471;71224;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44256;94869;0;6542;17746;49485;0;168641;-24945;-70822;0;0;-8641;-104408;64233;2326;1511;-15590;-10495;-4747;32;310;-2784;-29437;34795;494;35290;-17240;0;18050;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44256;160191;3384;732;0;0;0;164306;-3081;-79783;-2684;0;-26630;-112178;52129;32745;2037;-10525;-24523;-8272;407;3493;-4782;-9420;42709;145;42854;-24624;-691;17538;0
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;44256;37147;0;18405;107479;0;0;163031;-2606;-83768;0;-73556;3969;-155961;7070;12223;0;-14509;-5746;-1687;0;5047;-1382;-6053;1016;0;1016;-6232;0;-5216;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44256;138249;0;23409;-28602;23005;0;156060;-48018;-3731;0;0;-7797;-59546;96514;615;11176;-28544;-30113;-6064;1217;11065;-3443;-44091;52423;236;52659;-11876;-9585;31199;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44256;21388;0;839;133689;0;0;155916;-11920;-12536;0;-81688;-8481;-114624;41292;24445;51;-42954;-30874;-3792;0;20007;-3853;-36969;4323;-3;4320;-2957;0;1363;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44256;135711;0;14599;0;0;2588;152899;-27370;-3613;0;0;-8691;-39675;113224;14506;17548;-43114;-48477;-8531;4700;5361;-14245;-72252;40973;-106;40866;-15001;-1939;23926;0
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;44256;144142;0;1878;0;0;0;146020;-4378;0;0;-9;-12571;-16958;129062;26223;6132;-15591;-62420;-10929;0;23313;-40129;-73401;55661;533;56194;-23884;-3196;29114;0
YAMAHA MOTOR - PRUDENCIAL;1000080721;b2;S4;C;3;GUARULHOS;SP;44256;83399;0;566;51134;0;0;135099;-7531;-34157;0;0;-17448;-59136;75963;29710;7668;-13674;-57572;-7843;0;39652;-9045;-11104;64859;-130;64729;-28668;0;36061;0
BMW - PRUDENCIAL;1000080635;n1;S4;C;3;SAO PAULO;SP;44256;60165;164;570;71286;0;0;132184;-2273;-112134;-156;0;-2395;-116958;15226;0;1744;-4064;-5211;-220;0;58450;-18690;32010;47236;0;47236;-19139;0;28098;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44256;122957;0;7391;0;0;0;130348;-8261;-51770;0;0;-3099;-63129;67219;21279;4268;-15598;-20013;-118;0;6110;-11286;-15357;51862;-157;51705;0;-2314;49391;0
