Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44256;681972;3594476;2163472;5422603;0;2134341;13996865;7052398;0;0;5684;0;0;5684;2984891;24039838;1722;31037027;55078587;191102;6534872;61804561
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44256;26320;0;0;2657369;0;272172;2955861;13069997;0;0;284321;0;1770641;2054962;10076762;28157583;6160247;21559283;55877113;89561;5724958;61691632
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44256;63383;0;0;3665113;0;0;3728496;862611;768851;953391;1896016;0;0;3618258;24982368;33191732;1659849;13920460;48772040;0;4321058;53093098
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44256;1215982;0;694907;12605293;0;6940;14523121;2241135;1302683;1270533;14250170;2632606;0;19455991;5100068;41320315;71478;6388649;47780443;113268;4855659;52749369
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;44256;0;0;0;25001504;6034286;0;31035790;0;0;0;314319;0;63328;377647;282481;31695917;80;18454141;50150138;0;1504616;51654754
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44256;320354;0;839249;8928836;0;0;10088440;1282514;1082995;2570790;7331119;0;8780;10993684;10533468;32898106;3211602;7365247;43474955;17040;4391953;47883947
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44256;136127;0;0;4448216;0;0;4584343;375710;0;0;0;0;0;0;5504739;10464793;1228602;33394802;45088197;688;1286811;46375696
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44256;98823;0;7767737;14425726;0;0;22292286;762704;302361;0;5397626;0;0;5699987;0;28754976;0;4651117;33406093;2;5434146;38840242
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44256;1134052;0;288486;11368973;0;0;12791511;3009581;0;0;0;0;0;0;575367;16376458;11634960;5214740;33226158;2510;3328094;36556762
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44256;1176373;3959022;1158;11119560;0;7395;16263507;12787904;96437;100052;0;0;0;196489;61120;29309019;0;1005918;30314938;4641;1764024;32083603
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44256;1191372;2521432;1034526;14738425;21953;3310;19511019;400559;239477;320;1856583;0;0;2096379;773742;22781699;0;3277916;26059615;30307;2242132;28332053
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44256;137750;0;8456;13303851;68056;0;13518114;3062902;35620;72046;3677452;0;0;3785118;794722;21160855;93321;2794051;24048226;0;4153087;28201313
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44256;0;0;1612317;7435370;0;0;9047686;0;0;0;5679151;0;0;5679151;1213469;15940307;2267;4696222;20638795;91295;2925381;23655471
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44256;17727;0;0;60424;0;0;78151;131335;0;0;0;0;0;0;5471703;5681190;991789;15412788;22085767;3630;1531827;23621224
