Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2021;438403797;242611;12779852;26278713;37907030;8234334;1484187;135550;87062278;28806;1719725;4643074;7372232;1865852;19856;0;15649546;422111;7558017;10897;0;0;0;0;7991025;77173;17441925;6465575;803238;96336;11366;0;24895613;5443;5479895;6908810;4572781;5140615;3578287;0;25685831;1480786;4909299;5958439;4982584;1225411;715051;23793;19295363;274545;1105147;2879596;4321827;1153087;1647192;246937;11628331;344;1612845;3187602;725137;229063;183700;0;5938692;189838;392354;955959;743575;80179;19975;0;2381879;237875238
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;01/06/2021;307404069;662877;10274368;28323972;38393330;8604792;2370946;602070;89232353;113667;3008890;7282109;9670791;2381657;190365;18;22647497;231993;4559673;321982;0;0;0;0;5113648;108895;22515346;5831074;70023;3528;0;0;28528866;15418;9841625;18548253;5506198;4378904;2583712;0;40874110;421664;4367305;3419984;1531953;243209;23371;0;10007486;12552;1547293;4079843;7085395;3235209;5341958;164630;21466880;2305;1270197;1215241;303428;153200;107289;0;3051660;30134;198598;530223;2038407;267006;80216;2929;3147513;83334056
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;01/06/2021;271219808;577145;9369231;23642839;33524014;5779421;1110964;302690;74306303;31887;1596320;5616158;10757962;9291262;26015479;517017;53826084;143418;1195069;452145;12462;0;0;8684;1811778;93183;5642717;2264077;247768;30;0;3;8247778;360362;8499955;13728301;11248806;4847959;215714;0;38901097;1034766;3690127;6704045;3151339;2138993;3620388;684180;21023838;74128;2259671;6141102;9097304;4018805;13596277;3736036;38923324;30195;728940;2897950;1601402;901298;1203331;0;7363115;19558;99433;176693;323896;19459;0;0;639038;26177454
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2021;267059942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;960056;7222327;19311185;43578316;40854680;121996514;32225376;266148453;761;38505;91146;183085;112444;485549;0;911489;0;0;0;0;0;0;0;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2021;193648330;328695;5752336;13995254;17742555;4222310;1107971;25131;43174251;169112;1263844;3334935;5021876;1233111;2530148;736339;14289365;249116;3618841;1127648;157405;69590;78010;10855;5311465;87792;21982642;9416601;469159;42615;18070;8831;32025709;18504;6695528;5423959;1834378;2759547;19460;0;16751375;1306994;2344430;2541366;3240573;1036184;2788804;27542;13285893;69073;594330;1493417;2344215;574224;231161;361;5306783;5279;1379855;2368192;313604;85310;80482;461;4233184;65751;62274;184116;438745;6418;25679;0;782982;58487323
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;01/06/2021;181103784;1813261;6121340;17644050;31597928;6435226;1781370;3506;65396682;17040;49858;148576;347596;171086;57518;0;791674;184646;203926;957834;9319;0;0;0;1355725;2879;65650;4937;0;0;0;0;73466;165384;614334;1204231;664179;49809;0;96;2698032;577662;1065463;1050982;632946;257941;114429;295;3699717;44718;5618607;8607919;19013017;15757218;40595798;5811750;95449027;134;899902;2398745;193725;94549;142213;0;3729267;3079461;846336;2198127;1617639;102428;66203;0;7910193;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;66619557;54199;4512409;10548817;12527443;2719023;724393;0;31086284;5696;618453;1155988;1242707;213213;9320;0;3245377;27424;622189;114460;1479;0;0;0;765551;17936;4845999;2220155;41798;254;0;0;7126141;37789;2712652;2769187;2133885;1283867;646217;0;9583596;6285;364576;1422152;674120;17780;0;0;2484914;3855;169403;474232;916023;313654;245074;0;2122241;0;154404;669965;340813;149360;163853;0;1478397;0;4440;26748;95841;5471;0;0;132499;8594557
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2021;57133274;110396;1687886;3674187;4789158;640644;532097;0;11434368;41144;20859;24716;21407;1509;59;0;109695;2267;4358;15806;0;1190328;390702;0;1603461;220;9974109;3625386;286101;14068;1824;0;13901708;5316;943769;2591627;2555395;302599;0;0;6398706;269114;36410;141025;734222;114729;13472;0;1308972;0;64645;177841;676614;442622;1523802;1242068;4127591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18248773
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;25733453;32023;1533910;4177534;5730786;583823;1737;1008;12060820;2396;208907;496996;706025;181653;828;28457;1625262;5889;861310;821134;2606;1238;0;0;1692177;11976;6419841;595060;70821;2047;0;0;7099745;3013;866452;920499;264523;4925;0;0;2059413;3872;13749;12098;11368;2993;0;0;44080;316;18953;46310;58810;16771;2279;0;143439;0;80687;139694;0;0;0;0;220381;0;0;0;0;0;0;0;0;788136
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2021;24909280;2426;1657007;1929991;1107448;329103;344;0;5026318;0;4996;15237;22064;1287;0;0;43584;0;136727;143990;0;0;0;0;280717;719;7202287;1929904;3191;214;55;0;9136370;0;3230223;2968266;1572109;912526;0;0;8683124;69915;422240;171396;0;0;0;0;663551;0;0;0;0;0;0;0;0;0;344590;713026;18000;0;0;0;1075616;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;20179063;63940;1455926;3476210;3765134;678742;30914;0;9470866;9442;377150;422256;613114;58688;0;0;1480650;1181;103891;66232;0;0;0;0;171303;713;511101;416086;0;0;0;0;927900;0;793558;1901731;1218462;161036;8500;0;4083287;150550;271720;242101;270558;108070;75592;0;1118590;0;40181;108573;183569;69897;14883;0;417103;0;189012;379536;245359;99507;104726;0;1018140;0;0;0;0;0;0;0;0;1491224
