Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/06/2021;37711496;389654;13505622;3622838;1066593;1066200;57362404;-17465958;-1955571;-37112;0;-6422631;-25881272;31481132;12637420;5850056;-9450740;-11089282;-3348409;315037;17426927;-19681186;-7340177;24140954;209528;24350482;-5735515;-5003350;13611618;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/06/2021;34654081;632924;11647495;1339067;0;937998;49211565;-13462676;-1398784;-532606;-346971;-7462447;-23203484;26008081;6684383;5483529;-8662682;-10326486;-2658891;2402796;6407982;-8508583;-9177951;16830130;-100014;16730115;-4413124;0;12316992;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/06/2021;35603701;47923;11879948;-384404;0;691976;47839144;-19091183;-2544968;-34373;-547120;-7455167;-29672811;18166332;6779665;4561698;-11396044;-5883352;-2133368;1910764;8080140;-8792119;-6872616;11293717;70596;11364313;-260009;-1249981;9854322;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/06/2021;34186995;0;3066651;2726581;0;1990385;41970611;-9544390;-9827164;0;-41942;-5132380;-24545876;17424735;8375512;2859044;-10754529;-4828125;-1746305;4349313;3088174;-9722360;-8379275;9045460;3170975;12216436;-444873;-1544605;10226957;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/06/2021;28098240;734047;6869842;2199642;0;1882762;39784534;-7630151;-1218740;-632477;-576899;-7070063;-17128330;22656204;5504877;2624266;-3143351;-6388768;-2108779;1045535;7361891;-14110593;-9214923;13441281;43250;13484531;-5392036;-882334;7210160;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/06/2021;17099268;0;6437535;359752;0;0;23896555;-1305595;-12547797;0;-5270;-550119;-14408782;9487773;219091;0;-602649;-114367;-666876;10563054;1163384;-723499;9838138;19325911;2092;19328003;-4211923;0;15116080;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/06/2021;5677121;0;6273175;-1344319;604769;78705;11289451;-3876507;-1178190;0;0;-191916;-5246614;6042837;2670980;342677;-945563;-3093539;-402579;582219;2633861;-1915584;-127527;5915310;77992;5993302;-1254857;-1562813;3175632;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/06/2021;4580492;250070;2437519;876492;0;123855;8268428;-4171916;-240876;-213475;-91701;-509133;-5227101;3041326;863535;288131;-1208152;-1323901;-282880;249536;1422949;-1585267;-1576048;1465278;42795;1508073;-379915;0;1128158;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/06/2021;4226155;28915;660150;196550;51848;11385;5175003;-1461563;-24856;-25272;0;-1246843;-2758535;2416468;340899;406477;-588744;-738043;-204153;104520;851724;-1183197;-1010518;1405950;14069;1420018;-482200;-121979;815839;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/06/2021;2735756;8478;545522;-197854;0;126641;3218543;-941521;-93669;-6914;-1554;32273;-1011385;2207158;47454;477446;-904103;-738097;-169388;218561;476217;-933217;-1525126;682032;-13506;668527;-59147;-65219;544161;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;01/06/2021;2360347;0;308112;107117;0;0;2775576;-700465;-8987;0;-696;-425512;-1135659;1639917;34008;6899;-136541;-954780;-70338;18840;256852;-699867;-1544925;94992;38812;133804;48905;-31419;151290;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;01/06/2021;2144451;342835;158858;-404817;132687;0;2374014;-498403;-9620;-264689;0;-259371;-1032083;1341931;66676;54352;-252375;-344695;-106249;-10928;708756;-109994;5543;1347473;30870;1378343;-570432;-74573;733338;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;01/06/2021;1254240;0;724025;19829;19753;10219;2028066;-260112;-354417;0;0;-126755;-741284;1286782;1395396;57392;-1089387;-728325;-199400;0;1194335;-621269;8741;1295523;4484;1300007;-546319;-43265;710423;0
