Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2021;809272443;145700448;557706981;22836920;0;0;22;36741878;15564313;0;276885;20434923;0;121;9991638;0;0;0;0;18314;0
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2021;799641194;337673099;66483842;1914223;1321567;167124;14427538;50910104;4008542;26788;95633;122308;0;0;9995057;0;0;0;0;123672;312371694
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2021;692777387;449383465;57281011;8539776;7803484;7147;391;85013623;6654301;42006543;2236298;119792;0;0;3489774;0;0;0;0;24011;30217771
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2021;588277107;324581715;75683241;2725120;5932994;0;19956178;50547292;7756270;0;186572;98806;0;416400;0;13585474;0;0;0;61539;86745507
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2021;438639284;286111862;57685016;1104687;964979;56;24916;26041901;2461940;0;595042;40342;0;2991;1860918;0;0;0;0;51997;61692636
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2021;267063554;37151146;85348;146995987;62650422;1266697;3936605;5589638;5193485;0;0;4194226;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;94321799;55944101;158315;298966;728264;0;0;27958347;617379;0;2771;0;0;0;15551;0;0;0;0;1957;8596148
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2021;90581505;49729811;114632;2854603;0;127873;0;16982647;882162;0;211556;166652;0;0;767360;0;0;0;0;18685;18725525
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;60664416;51721376;768714;42528;246184;13530;1875169;4949724;2312;0;0;74714;0;0;8209;0;0;0;0;1972;959984
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2021;36553595;26493810;5184323;109102;13682;0;6206;4060807;563250;0;33607;0;0;0;38368;0;0;0;0;1858;48582
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;35715683;28616935;5680;0;78001;0;120585;4400252;352234;205144;2916;0;0;49;1143165;0;0;0;0;2587;788136
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;25882496;22685550;157467;81230;60899;0;0;2897351;0;0;0;0;0;0;0;0;0;0;0;0;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2021;24976214;19219327;0;0;0;0;0;5756887;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;20726762;18114582;0;188580;654879;0;0;1532612;146886;0;0;0;0;0;89193;0;0;0;0;31;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;20667087;5071587;0;38710;166185;0;0;12068975;179803;0;62530;309694;0;448;1189696;0;0;0;0;3;1579456
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2021;17806648;13512525;0;27216;48429;0;3502939;549837;0;0;23956;141555;0;0;0;0;0;0;0;192;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/06/2021;16627123;16345863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281260;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2021;15176134;12355089;374794;100394;1129297;0;508208;669247;3545;0;0;0;0;0;0;0;35475;0;0;84;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;15168828;9900221;0;0;0;0;3988225;1261625;0;0;0;0;0;0;0;0;0;0;0;18756;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2021;14149480;9738178;17423;233969;1112214;0;1007178;526231;196067;0;1290347;0;0;27417;0;0;0;0;0;457;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2021;13774297;11869799;190931;307337;475686;0;0;40423;890122;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2021;13522886;11969006;0;42598;347261;0;0;1161954;0;0;0;1332;0;0;0;0;0;0;0;736;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2021;13249727;7075577;65412;1952862;831436;0;0;77297;1898404;0;216691;24691;0;218278;886105;0;2970;0;0;3;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;12561815;8625571;0;87620;114228;0;0;3411540;322799;0;0;0;0;0;0;0;0;0;0;57;0
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;12337462;7999705;1864009;0;0;0;2455242;12711;0;0;0;0;0;0;0;0;0;0;0;5794;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;12268958;10989563;0;0;0;0;11196;204485;0;0;0;0;0;0;78606;0;0;0;0;4813;980295
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;11619975;11612663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7312;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;11577470;6589950;4486;0;0;0;0;1293345;0;0;1068;0;0;0;1595394;0;0;0;0;1740;2091488
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;11513168;77411;0;0;0;872539;0;9033181;0;0;0;1286435;0;0;0;0;0;0;0;0;243601
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2021;11301989;10957782;0;67148;0;0;0;0;277058;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2021;11262862;11261512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1350;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;10347978;2080613;6520;0;0;0;0;4327651;0;1833181;0;0;0;0;0;0;0;0;0;779;2099234
