Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2021;809272443;422377059;124842633;107212661;90331658;28587473;7291776;6949830;9013443;12665911;0
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2021;799641194;238799575;157713684;30297250;26109218;8754154;4651397;5368856;5076892;10498474;312371694
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2021;692777387;299665964;67414156;155605633;85627186;13786011;7478579;2573900;3504832;26903354;30217771
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2021;588277107;155602932;111670334;115553734;64933777;20076321;7622120;5077474;4228246;16766662;86745507
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2021;438639284;149838242;122143064;41209217;29387683;12224009;4753655;3780834;3305464;10304481;61692636
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2021;267063554;40052667;100674084;71958365;20388649;12325710;5873608;4175911;5460;11609100;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;94321799;52655683;4329177;23219464;2587437;709392;231476;1054634;101386;837002;8596148
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2021;90581505;12347979;38570449;14229363;2166046;1245993;570443;634077;561332;1530297;18725525
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;60664416;3349229;25698004;11668699;11106190;1579629;1973043;399702;2169560;1760375;959984
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2021;36553595;3985587;19057067;8351167;1442086;750617;294406;378733;491028;1754322;48582
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;35715683;4151904;11727478;15644005;1974889;505380;178753;144669;78659;521810;788136
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;25882496;5272944;5516940;11088799;965878;1294808;435312;630641;196082;481092;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2021;24976214;10737505;10295082;3203355;396948;159561;89393;25697;264;68409;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;20726762;3951414;12703917;2038650;946194;340879;147374;221671;61738;314924;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;20667087;3046792;7010824;6894832;1307894;164203;164892;243548;88843;165802;1579456
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2021;17806648;10444153;3421211;2202106;1075746;218915;99935;62087;52126;230370;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/06/2021;16627123;0;16390928;6870;5838;2844;1667;3247;22040;193689;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2021;15176134;11992327;2998830;106738;76741;226;148;54;96;974;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;15168828;5408977;8514243;173104;106828;456880;19189;49600;47136;392871;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2021;14149480;3994681;7630355;840946;747997;216943;60544;167274;72448;418294;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2021;13774297;731770;7187292;3965164;749820;344259;439308;101925;203045;51712;0
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2021;13522886;894245;8562480;2379486;1191629;358468;72611;18211;23151;22605;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2021;13249727;6002643;5397006;985633;398197;174738;48041;34969;35830;172670;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;12561815;2551510;8664521;933163;364006;7502;5972;5935;8236;20967;0
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;12337462;5300861;5757662;440805;365113;142400;75054;75525;44583;135459;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;12268958;312668;9714102;238750;225183;75197;75047;101428;60720;485568;980295
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;11619975;0;9559189;236626;212441;267821;293392;192876;146269;711362;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;11577470;2003563;5872766;470291;488070;210285;205663;71277;41315;122752;2091488
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;11513168;6411940;4779993;0;0;0;0;0;45418;32216;243601
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2021;11301989;1313869;4682499;2790667;1506827;643151;206530;36342;46622;75483;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2021;11262862;269509;9473468;194515;494389;222320;145740;110270;63052;289600;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;10347978;2064732;3166848;1738392;969560;8370;641;13230;64916;222054;2099234
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;9257592;83341;8535199;247543;140194;63213;40692;45279;18734;83397;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;01/06/2021;7972399;6848881;1059396;61825;2017;36;224;20;0;0;0
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;01/06/2021;7942905;2449921;2545699;664653;206847;8628;16757;2790;0;2895;2044717
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;7621551;36659;4908074;564368;1599728;292170;62609;40050;30125;87770;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/06/2021;7581497;756378;1906684;2031477;2562676;107454;25708;48630;14431;128060;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2021;7555606;0;5204869;1772369;453926;44235;21133;8388;11373;39313;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;7512904;298191;6205777;218150;152173;127285;76532;72724;132111;229962;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/06/2021;7380403;1222594;5739918;66320;64316;74436;23815;20661;62362;105981;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2021;7080743;1486105;3072965;1089241;874468;120507;263253;27790;61354;85059;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2021;6684215;1439835;2274632;1881584;675919;227426;79107;29151;4975;71586;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;6292516;408252;3611614;1020413;1029362;164525;15972;10085;9063;23230;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2021;5938055;2099466;1582026;773247;505675;251141;106501;28745;226723;364531;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;5890656;317;4633096;684457;227333;92364;43190;833;8024;16204;184837
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2021;5803521;2497420;1606182;943392;381557;79828;33265;75247;72564;114065;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;01/06/2021;5801503;103355;3721599;998080;388073;207006;91730;73734;47519;170406;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2021;5789776;1;5131188;361657;267149;23844;5923;0;0;13;0
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/06/2021;5706697;0;5349536;110718;72375;28696;23626;31821;19089;70836;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2021;5634744;500744;1893790;2950112;234203;26886;6108;7106;7212;8580;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;4627359;3256940;980904;203847;41797;49543;5835;2908;3381;35629;46575
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;01/06/2021;4593350;0;3550809;200670;228137;164165;128828;126843;79050;114850;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;4298747;463258;1076508;1402547;988264;66648;44492;87715;97888;24519;46908
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;4274711;3944;731870;1634332;975163;404122;100769;82955;61032;280524;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/06/2021;4212641;843236;1643789;860448;459782;143118;46536;23212;22530;169989;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;4138061;3309658;373409;169282;69329;0;0;216384;0;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2021;4040816;2730295;584991;571494;25379;12874;1788;14772;29437;15463;54323
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;4030264;3678299;181443;0;119791;0;0;0;0;50732;0
MASTER;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/06/2021;3999045;2568918;856751;352804;112206;28162;21820;34442;8360;15581;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/06/2021;3983327;0;3110859;99689;99300;84868;93537;82510;71471;341092;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2021;3880178;0;1715249;109255;1660964;145922;68404;42831;33783;103770;0
