Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2021;29129589;88733092
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2021;25249771;72458772
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2021;19958339;47765653
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/06/2021;15143617;47638216
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2021;15063646;32316156
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2021;14653407;38207714
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;5655428;9430379
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2021;5262017;14729432
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/06/2021;4253901;22619036
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;3905815;7593259
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/06/2021;3586653;9414352
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;3080754;4346059
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;01/06/2021;3016605;5622674
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;2172833;3679558
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2021;2121872;2829010
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/06/2021;2082691;5319087
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2021;2040932;2746920
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2021;2037183;8893180
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;1857340;6770537
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;1780099;2666059
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;1701748;2168452
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/06/2021;1422574;1939676
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2021;1153732;1949606
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;1101840;3020640
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;1101228;3558083
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;941680;1922472
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;907633;2222563
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2021;869497;1137285
AGIBANK;51956;b1;C;2;S4;199;CAMPINAS;SP;01/06/2021;679421;1503852
BANCO SOROCRED S.A. - BANCO MÚLTIPLO;4814563;b1;I;2;S4;8;SOROCABA;SP;01/06/2021;567847;1934433
FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;2732968;n4;I;2;;41;FORTALEZA;CE;01/06/2021;535979;833786
M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/06/2021;494658;2426418
NEON PAGAMENTOS S.A.;20855875;n4;I;2;;41;SAO PAULO;SP;01/06/2021;463888;1656416
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;446419;566311
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2021;407394;1046341
WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;SAO PAULO;SP;01/06/2021;377867;1005937
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/06/2021;367488;1315406
CREDI SHOP SA ADMINISTRADORA DE CARTOES DE CREDITO;62895230;n4;I;2;;41;TERESINA;PI;01/06/2021;349184;367335
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2021;348797;350680
BRASIL CARD MEIOS DE PAGAMENTOS LTDA;3130170;n4;I;2;S4;41;MONTE BELO;MG;01/06/2021;341114;393167
ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/06/2021;337360;691299
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;320604;442493
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;01/06/2021;308557;884448
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;267670;293758
CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5676026;n1;I;2;S4;14;FARROUPILHA;RS;01/06/2021;259497;793633
PAGSEGURO INTERNET S.A.;8561701;n4;I;2;S4;41;SAO PAULO;SP;01/06/2021;247585;270691
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2021;237478;542846
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/06/2021;232520;440169
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S4;14;VITORIA;ES;01/06/2021;219789;357812
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/06/2021;204999;266909
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2021;177893;274922
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/06/2021;175157;557998
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/06/2021;171260;172705
