Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2021;438403797;5284346;25961725;75232244;93090896;958269;1078;237875238
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2021;307404069;8766299;45681088;72598597;96846745;176713;570;83334056
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2021;271219808;4681499;31171407;56512831;150378327;2297953;337;26177454
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2021;267059942;0;908613;13416645;247740675;4994010;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2021;193648330;6940391;33015792;43286547;49571769;2344610;1899;58487323
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2021;181103784;17316584;31971889;34240460;97574764;0;87;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;66619557;944560;3325159;20623741;32901418;229872;251;8594557
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2021;57133274;12898201;2360265;3743691;19676197;206146;0;18248773
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;25733453;413549;1001857;10596473;12046111;887313;14;788136
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2021;24909280;0;213;1891292;21714051;1303723;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;20179063;1511672;1482607;7234692;8458866;0;3;1491224
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2021;14722876;1500139;396574;1165408;10526862;173904;5;959984
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2021;13272285;510305;1977555;5345491;5438386;547;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2021;12546111;756742;3422733;6650797;1715838;0;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;11858382;256692;11490;748321;10841879;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2021;10449565;164823;902091;4365170;4513853;503627;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;8855938;7804;273220;2602160;3873521;0;0;2099234
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2021;8445039;314674;1605197;2951968;3331851;192742;24;48582
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;7871850;0;10965;751250;7109635;0;0;0
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;01/06/2021;7811498;1006;135975;2020188;3609611;0;0;2044717
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;7520573;247019;580841;1867196;4254620;570898;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2021;6492909;1186643;2237747;2841216;69937;157366;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;6341546;37993;404037;657465;4998449;0;0;243601
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;6258058;2246783;279992;805122;833813;310;550;2091488
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2021;6158558;369201;351487;2362019;2675948;399902;1;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;5839106;259108;21527;759179;4607942;6512;2;184837
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2021;5630492;331652;806976;1779862;2480228;231774;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2021;5627902;626839;1341116;2939474;609605;110868;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2021;5474513;304823;1338628;3188360;634680;8023;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2021;5260929;2386498;50172;2018243;806017;0;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;4140202;398400;140288;1397571;1997109;159924;2;46908
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;4029446;0;0;207372;3567098;254976;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2021;4001665;25335;111634;1065800;1996503;755818;0;46575
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2021;3931994;42531;198701;1390327;2080914;165197;0;54323
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;3844325;9152;0;1098348;2736825;0;0;0
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2021;3816246;974062;1411757;1086427;183948;159950;103;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2021;3378523;153319;547901;467040;2210262;0;1;0
MASTER;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/06/2021;3175943;87369;154189;143207;72655;2718522;0;0
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2021;3078209;1264736;142783;794893;875727;0;69;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;3068283;0;0;607789;2435248;0;0;25247
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;3025377;0;0;319685;2705692;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2021;2644557;241893;866934;1324340;211387;0;3;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/06/2021;2566299;72893;403782;1493377;579009;17238;0;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;I;3;S4;8;SAO PAULO;SP;01/06/2021;2535863;0;0;447204;1994387;0;0;94271
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;2248535;27462;20689;300074;1900311;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2021;2159658;152694;575730;1066428;349877;14928;1;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/06/2021;2112590;103459;655;37613;1970863;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2021;2059586;55201;249701;1298755;432506;23424;0;0
SCOTIABANK;52230;b1;C;3;S4;199;SAO PAULO;SP;01/06/2021;2055602;0;0;232011;1823591;0;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2021;2049425;272961;443920;672281;660146;115;2;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2021;2046532;584983;314905;749411;229752;167477;3;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;01/06/2021;2045142;631400;1087588;316001;3683;6464;6;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/06/2021;2023065;268830;535214;1014945;204076;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/06/2021;1983376;17659;113578;1298343;516928;36869;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/06/2021;1982841;273573;934866;718208;27272;28919;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/06/2021;1952677;70539;265773;305637;262812;1047914;1;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/06/2021;1929954;29828;196747;1137419;565960;0;0;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2021;1908038;0;0;119373;1610311;178354;0;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/06/2021;1877957;0;26930;264153;1511301;75574;0;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;01/06/2021;1792755;216389;430110;742758;124915;278583;0;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2021;1779300;22989;302551;1276085;153721;23933;22;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/06/2021;1774830;295294;717749;518710;243075;0;2;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/06/2021;1701500;292530;590101;737275;81593;0;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/06/2021;1559789;45565;164779;920866;314065;114513;0;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/06/2021;1524469;0;0;137857;1386612;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/06/2021;1469288;241382;569657;474671;183575;0;2;0
BANCO HSBC S.A.;53518684;b1;I;3;S4;8;SAO PAULO;SP;01/06/2021;1455521;61379;91360;455604;761518;85659;0;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/06/2021;1412383;117372;351114;808230;135667;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/06/2021;1409259;48972;426166;729651;108176;96292;1;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/06/2021;1403725;3729;58657;470874;870466;0;0;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/06/2021;1402364;149639;350982;735690;71154;94896;2;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/06/2021;1323800;155817;142486;714705;310769;21;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/06/2021;1296813;64887;396218;587419;153309;94979;1;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/06/2021;1296238;307462;261799;640801;23651;62526;0;0
