Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43525;238972;6183;946294;13151;40262;23699;1268561;-469894;-296769;-4533;0;-2010;-773206;495355;285777;21071;-185832;-193866;-54929;0;270218;-113014;29427;524781;541;525323;-190112;-28550;306661;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43525;898556;0;81537;28298;47163;0;1055554;-42243;-811840;0;0;-33590;-887674;167881;26653;1442;-47112;-32987;-12369;0;525360;-435601;25385;193266;56;193322;-74648;-6507;112168;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43525;946040;0;63494;6770;17138;0;1033443;-392872;-9891;0;0;-136799;-539562;493881;7654;2560;-46250;-287210;-23394;-2852;127319;-159986;-382160;111721;-352;111369;-24422;-10122;76825;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43525;791493;107755;111436;-41517;42963;0;1012131;-285906;-24656;-70212;0;-126541;-507314;504817;16087;27099;-84709;-129397;-35483;9721;99159;-74930;-172453;332364;-41;332323;-96798;-19887;215638;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43525;619593;0;211330;88842;14784;0;934549;-205405;-204485;0;0;-94391;-504281;430268;74735;30997;-138064;-192335;-35617;1137;132455;-142907;-269599;160670;-258;160412;-60893;-17069;82450;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43525;426021;0;331767;-573;14116;28812;800144;-481141;-96391;0;0;-398;-577930;222214;76732;114;-24476;-234384;-15105;-201;52507;-44738;-189551;32663;-6;32657;-14875;0;17782;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43525;707404;0;52361;0;0;0;759765;-47;-3;0;-130;-193433;-193612;566153;1195;3448;-6482;-312612;-37888;0;94961;-8323;-265700;300453;-53;300399;-113724;-940;185734;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43525;103985;0;993462;-355724;0;0;741723;-245234;-314446;0;-53291;43018;-569953;171769;173727;0;-148041;-89492;-26855;15690;186983;-35460;76552;248322;28;248349;-37968;-5669;204713;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43525;672546;33309;13948;0;0;0;719803;-162548;-87429;-22987;0;-30741;-303705;416098;49651;18792;-985;-66655;-50982;0;56933;-172795;-166042;250056;-1630;248426;-102401;0;146025;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43525;257116;0;450362;-329;1172;10989;719309;-570791;-27535;0;0;-6459;-604785;114524;215102;15;-34411;-54148;-34324;6141;159850;-304227;-46001;68523;-527;67996;-23613;-2679;41705;0
