Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;43525;Sim;Sim;Não;1187223592;31060318;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;1463219496;144178596;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;702140148;29016505;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;43525;Sim;Sim;Não;1325829591;47527287;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;43525;Sim;Sim;Não;232690970;14031058;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;43525;Sim;Sim;Não;1402149809;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;185619500;5573438;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;43525;Sim;Sim;Não;80736618;141941;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;75230032;NI;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;113162060;1480138;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;43525;Sim;Sim;Não;92049376;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;43525;Sim;Sim;Não;917349721;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;43525;Sim;Sim;Não;7107763;NI;42736;S3
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;PORTO ALEGRE;RS;43525;Sim;Sim;Não;10494156;NI;42736;S3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;47590479;NI;42736;S3
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;C;2;BELO HORIZONTE;MG;43525;Sim;Sim;Não;9507476;15112;42736;S3
BANESTES - PRUDENCIAL;1000080147;b1;C;1;VITORIA;ES;43525;Sim;Sim;Não;20909683;NI;42736;S3
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;16118796;102521;42736;S3
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;17146269;NI;42736;S3
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;43168793;1387104;43101;S3
PAN - PRUDENCIAL;1000080257;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;27190736;NI;42736;S3
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;8488325;NI;42736;S3
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;43525;Sim;Sim;Não;16829613;NI;42736;S3
CCB - PRUDENCIAL;1000080295;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;15869073;1401719;42736;S3
ABC-BRASIL - PRUDENCIAL;1000080312;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;42077827;1854466;42736;S3
JOHN DEERE - PRUDENCIAL;1000080343;b1;C;3;INDAIATUBA;SP;43525;Sim;Sim;Não;8434548;NI;43466;S3
PINE - PRUDENCIAL;1000080374;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;9823712;38874;42736;S3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;33463170;NI;42736;S3
ING - PRUDENCIAL;1000080501;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;12278288;NI;42736;S3
DEUTSCHE - PRUDENCIAL;1000080532;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;8522973;0;42736;S3
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;15783829;NI;42736;S3
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;10605680;NI;42736;S3
ALFA - PRUDENCIAL;1000080570;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;16810331;NI;42736;S3
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;31519391;20089;42736;S3
HAITONG - PRUDENCIAL;1000080666;b2;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;5959464;36893;42736;S3
BNP PARIBAS - PRUDENCIAL;1000080673;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;36713358;NI;42736;S3
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;10337084;NI;42736;S3
SICREDI - PRUDENCIAL;1000080745;b1;C;2;PORTO ALEGRE;RS;43525;Sim;Sim;Não;49697996;NI;42736;S3
GM - PRUDENCIAL;1000080848;b2;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;12576640;NI;42736;S3
BANCOOB - PRUDENCIAL;1000080879;b1;C;2;BRASILIA;DF;43525;Sim;Sim;Não;53330961;NI;42736;S3
ORIGINAL - PRUDENCIAL;1000080903;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;11083421;11401;42736;S3
APE POUPEX - PRUDENCIAL;1000081184;n1;I;2;BRASILIA;DF;43525;Não;Sim;Não;8358063;NI;42736;S3
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;I;1;BELEM;PA;43525;Sim;Sim;Não;29000853;NI;42736;S3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;C;1;PORTO ALEGRE;RS;43525;Sim;Sim;Não;15355409;NI;42736;S3
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;I;1;BELO HORIZONTE;MG;43525;Sim;Sim;Não;6610314;NI;42736;S3
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;I;3;CURITIBA;PR;43525;Sim;Sim;Não;9583129;NI;42736;S3
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;6661254;174490;42736;S3
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;I;3;SAO PAULO;SP;43525;Sim;Sim;Não;37566091;0;42736;S3
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;I;1;BELEM;PA;43525;Sim;Sim;Não;7143413;NI;43466;S3
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;I;3;SAO PAULO;SP;43525;Sim;Sim;Não;11484049;NI;42736;S3
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;C;2;RIO DE JANEIRO;RJ;43525;Sim;Sim;Não;10249567;NI;42736;S3
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;I;3;SAO PAULO;SP;43525;Sim;Sim;Não;15077112;NI;42736;S3
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;C;3;SAO PAULO;SP;43525;Sim;Sim;Não;8640136;232655;42736;S3
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;C;2;SAO PAULO;SP;43525;Sim;Sim;Não;28352263;184158;42736;S3
CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;106180;b3C;I;2;CUIABA;MT;43525;Sim;Sim;Não;282830;NI;42736;S4
COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM;184068;b3C;I;2;BELO HORIZONTE;MG;43525;Sim;Sim;Não;1102362;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;I;2;BELO HORIZONTE;MG;43525;Sim;Sim;Não;5208709;NI;42736;S4
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.;315557;b3C;I;2;SAO PAULO;SP;43525;Sim;Sim;Não;527192;NI;42736;S4
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;I;2;FLORIANOPOLIS;SC;43525;Sim;Sim;Não;1971653;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;692214;b3C;I;2;BRASILIA;DF;43525;Sim;Sim;Não;548831;NI;42736;S4
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA;966246;b3S;I;2;ITAI;SP;43525;Sim;Sim;Não;501578;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;I;2;FRANCISCO BELTRAO;PR;43525;Sim;Sim;Não;3279390;NI;42736;S4
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;I;2;PORTO ALEGRE;RS;43525;Sim;Sim;Não;1734530;NI;42736;S4
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;LONDRINA;PR;43525;Sim;Sim;Não;2489065;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;JOINVILLE;SC;43525;Sim;Sim;Não;660549;NI;43009;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR;2924977;b3S;I;2;CURITIBA;PR;43525;Sim;Sim;Não;47883;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;3042597;b3S;I;2;CAMPO GRANDE;MS;43525;Sim;Sim;Não;873371;NI;43160;S4
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;I;2;LONDRINA;PR;43525;Sim;Sim;Não;1901270;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE;3502131;b3C;I;2;PORTO VELHO;RO;43525;Sim;Sim;Não;833575;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;SAO GABRIEL DO OESTE;MS;43525;Sim;Sim;Não;1269724;NI;42736;S4
CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL;3618104;b3C;I;2;PORTO ALEGRE;RS;43525;Sim;Sim;Não;355213;NI;42736;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA – SICREDI SUL SC;3793242;b3S;I;2;CRICIUMA;SC;43525;Sim;Sim;Não;606526;NI;42736;S4
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;I;2;GOIANIA;GO;43525;Sim;Sim;Não;3134684;NI;42736;S4
COOPERATIVA CENTRAL DE CRÉDITO NOROESTE BRASILEIRO LTDA.;4632856;b3C;I;2;JI-PARANA;RO;43525;Sim;Sim;Não;272112;NI;42917;S4
