Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43525;109156378;10967848;120124226;11932110;132056336;705895736;11031182;811908;13863418;10876581;36583088;81341095;823819919;1463219496;0,1325;0,1458;0,1603;0,0821;0,2829
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43525;73781698;24256958;98038655;36898134;134936789;606099289;19242721;1395;5015732;0;24259848;70105346;700464483;1325829591;0,1053;0,14;0,1926;0,0739;0,1484
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43525;88943539;9426846;98370385;25041502;123411887;612394209;5161867;764039;5977674;843397;12746976;57494077;682635262;1187223592;0,1303;0,1441;0,1808;0,0829;0,353
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43525;134219058;0;134219058;52678983;186898041;482007543;42823959;0;3768224;0;46592183;39989984;568589709;917349721;0,2361;0,2361;0,3287;0,1463;0,0426
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43525;71622884;0;71622884;34731505;106354389;440627079;4296962;1799903;3961342;188298;10246504;78899760;529773343;1402149809;0,1352;0,1352;0,2008;0,0511;0,0975
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43525;60163699;5011149;65174849;4989383;70164231;367912877;8925763;38857;25583937;5651843;40200400;46526950;454640227;702140148;0,1323;0,1434;0,1543;0,0928;0,1052
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43525;11982059;1172427;13154486;2893913;16048399;94853781;926115;0;2401750;17350;3345215;8376129;106575125;185619500;0,1124;0,1234;0,1506;0,0709;0,3151
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43525;10342737;3497719;13840456;3765466;17605922;53689820;3097690;4526013;23925150;8816438;40365290;6958234;101013343;232690970;0,1024;0,137;0,1743;0,0595;0,4132
