Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43525;17565716;515782496;147529605;572275918;-33250658;539025260;78924;221644;87391;-6579;381380;185136411;76775176;34039295;1516235340;87391;1516147949
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43525;30318122;280781647;254561937;465555977;-30793625;434762352;7248968;1438990;972184;-292379;9367764;251015451;136469699;55549878;1452826849;972184;1451854665
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43525;7758144;206981680;202075899;676048515;-35354081;640694434;0;0;0;0;0;80868694;141208807;13314829;1292902487;0;1292902487
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43525;17725459;110630023;285693916;354404560;-34651861;319752699;29530;3562969;1469825;-133384;4928939;190580323;96062260;72305585;1097679204;1469825;1096209380
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43525;633;115925237;182591635;309494281;-19784983;289709298;0;0;0;0;0;36462393;201246730;9147646;835083571;0;835083571
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43525;9515605;33631666;191046640;253521682;-17188174;236333508;18387;4760777;2131478;-70201;6840442;218585431;94195685;13320301;803469278;2131478;801337799
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43525;1124574;53994288;69833484;19924583;-671583;19253000;0;0;0;0;0;51322698;1439317;11985480;208952840;0;208952840
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43525;1380065;43102768;33589051;58191205;-2431647;55759558;9751;1391641;563157;-18507;1946041;11081423;11847661;5202332;163908900;563157;163345743
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43525;156794;9357758;24645344;46282075;-3007178;43274897;1460;160922;381;-1875;160888;12707360;883613;2352332;93538987;381;93538606
